,Player Season,Player ID,Extra Pts Attempts,Extra Pts Blocked,Extra Pts Made
0,2012,a527b7db-0b52-4379-9e4c-2e08c1fe1bed,66,0,66
1,2012,e017e12b-07a7-4a35-b837-2faa9ffe3ce8,35,0,35
2,2012,e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d,29,0,29
3,2012,20a0bad2-d530-4ff4-a2df-5c0a21a1f5db,42,0,42
4,2012,9ecf8040-10f9-4a5c-92da-1b4d77bd6760,37,0,37
5,2012,67f5e782-f91c-4536-9818-cf4a0e7e821d,55,0,55
6,2012,ecc4f0c1-64e0-46cc-9b58-91c2b215e62a,17,0,17
7,2012,480277d1-47c9-44df-969e-038a84cd0fea,25,0,25
8,2012,beb64618-614c-49f7-a3aa-c0c75b7839ea,37,0,37
9,2012,5514afb6-bd43-49a8-9bf7-b8baaaecdabe,33,1,33
10,2012,abd73d50-ce60-47f1-b37f-2f9a05b0d7b9,33,0,33
11,2012,e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8,50,0,50
12,2012,218d1644-603e-4da3-9ce1-48ce3927494f,44,0,44
13,2012,63f8a401-f308-4463-9d0b-4335b98da682,21,0,20
14,2012,40cda44b-2ee3-4ad1-834e-995e30db84d4,46,2,46
15,2013,596c4000-ede5-45b0-8336-33efeb686d2b,33,0,33
16,2013,a527b7db-0b52-4379-9e4c-2e08c1fe1bed,44,0,44
17,2013,e017e12b-07a7-4a35-b837-2faa9ffe3ce8,52,1,52
18,2013,20a0bad2-d530-4ff4-a2df-5c0a21a1f5db,26,0,26
19,2013,9ecf8040-10f9-4a5c-92da-1b4d77bd6760,34,0,34
20,2013,c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e,26,0,26
21,2013,67f5e782-f91c-4536-9818-cf4a0e7e821d,75,0,75
22,2013,ecc4f0c1-64e0-46cc-9b58-91c2b215e62a,52,0,52
23,2013,480277d1-47c9-44df-969e-038a84cd0fea,37,0,37
24,2013,beb64618-614c-49f7-a3aa-c0c75b7839ea,47,0,47
25,2013,5514afb6-bd43-49a8-9bf7-b8baaaecdabe,26,0,26
26,2013,abd73d50-ce60-47f1-b37f-2f9a05b0d7b9,45,1,45
27,2013,e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8,42,0,42
28,2013,218d1644-603e-4da3-9ce1-48ce3927494f,39,0,39
29,2013,63f8a401-f308-4463-9d0b-4335b98da682,42,0,42
30,2013,e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d,44,0,44
31,2013,40cda44b-2ee3-4ad1-834e-995e30db84d4,44,0,44
32,2014,596c4000-ede5-45b0-8336-33efeb686d2b,41,0,41
33,2014,a527b7db-0b52-4379-9e4c-2e08c1fe1bed,51,0,51
34,2014,e017e12b-07a7-4a35-b837-2faa9ffe3ce8,39,0,39
35,2014,20a0bad2-d530-4ff4-a2df-5c0a21a1f5db,42,0,42
36,2014,9ecf8040-10f9-4a5c-92da-1b4d77bd6760,50,0,50
37,2014,c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e,40,0,40
38,2014,ecc4f0c1-64e0-46cc-9b58-91c2b215e62a,27,0,27
39,2014,6444feb1-f5a4-4b45-9a45-79308a4445fd,41,0,41
40,2014,d96ff17c-841a-4768-8e08-3a4cfcb7f717,38,0,38
41,2014,480277d1-47c9-44df-969e-038a84cd0fea,28,0,28
42,2014,beb64618-614c-49f7-a3aa-c0c75b7839ea,56,0,56
43,2014,4b99ead5-0f79-4899-84a7-075c08890698,54,0,54
44,2014,5514afb6-bd43-49a8-9bf7-b8baaaecdabe,31,1,31
45,2014,abd73d50-ce60-47f1-b37f-2f9a05b0d7b9,28,1,28
46,2014,67f5e782-f91c-4536-9818-cf4a0e7e821d,21,0,21
47,2014,e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8,53,2,53
48,2014,218d1644-603e-4da3-9ce1-48ce3927494f,40,0,40
49,2014,63f8a401-f308-4463-9d0b-4335b98da682,34,0,34
50,2014,e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d,33,0,33
51,2014,0d1171d4-c955-4966-9257-640b569866d1,27,0,27
52,2014,40cda44b-2ee3-4ad1-834e-995e30db84d4,41,0,41
53,2015,c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e,20,0,19
54,2015,a527b7db-0b52-4379-9e4c-2e08c1fe1bed,52,0,52
55,2015,e017e12b-07a7-4a35-b837-2faa9ffe3ce8,48,1,48
56,2015,20a0bad2-d530-4ff4-a2df-5c0a21a1f5db,29,0,29
57,2015,441eb531-1ec8-4f65-9174-78bc6adada63,27,0,26
58,2015,9ecf8040-10f9-4a5c-92da-1b4d77bd6760,34,1,32
59,2015,7af4c94b-529b-4403-ab66-2bfed3fcf0c7,39,0,32
60,2015,c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e,5,0,3
61,2015,ecc4f0c1-64e0-46cc-9b58-91c2b215e62a,30,1,29
