,Player Season,Player ID,Punt Returns Avg Yards,Punt Returns Fair Catches,Punt Returns Longest,Punt Returns Longest TD,Punt Returns Returns,Punt Returns Touchdowns,Punt Returns Yards
0,2012,969a4d68-1d76-4e64-bfff-e898a9ac6bd4,0.0,1,0,0,0,0,0
1,2012,769d7178-df4e-4127-8166-8116165921e8,10.947,36,68,68,19,1,208
2,2012,2bb70d56-a79a-4fa1-ae37-99858a3ffd55,15.471,1,68,68,17,1,263
3,2012,3289f9ce-e1d1-40ed-9d3f-242a1712c586,8.905,11,32,0,21,0,187
4,2012,4f0053fc-5559-4551-bd81-dcd1cdf3a9ec,49.667,1,93,93,3,1,149
5,2012,16e33176-b73e-49b7-b0aa-c405b47a706e,6.778,8,29,0,27,0,183
6,2012,fd4e8681-f2f4-47c7-b954-a72be9b1ca00,10.333,9,63,0,9,0,93
7,2012,b8426cea-f8b9-4061-8d56-e70d1230103e,11.538,18,75,75,26,1,300
8,2012,5ed2cea8-e0c6-482c-9ee1-548c06612226,16.091,11,78,78,22,1,354
9,2012,3e618eb6-41f2-4f20-ad70-2460f9366f43,-3.0,0,-3,0,1,0,-3
10,2012,3283f152-d373-43b3-b88f-f6f261c48e81,9.419,21,75,75,31,1,292
11,2012,15b156b5-30cc-4070-b60a-1c09e62c5a9b,7.957,14,37,0,23,0,183
12,2012,b4ce3e07-7848-4da2-a33e-4f04ce540ba5,2.0,2,2,0,1,0,2
13,2012,3aef6950-1c19-4454-a3d0-0afe9634ea9f,10.188,12,38,0,32,0,326
14,2012,9691f874-be36-4529-a7eb-dde22ee4a848,5.0,0,10,0,3,0,15
15,2012,c88d9352-b835-45ed-a909-1cfec09a58bc,0.0,1,0,0,0,0,0
16,2013,769d7178-df4e-4127-8166-8116165921e8,8.846,5,24,0,13,0,115
17,2013,2bb70d56-a79a-4fa1-ae37-99858a3ffd55,10.686,23,43,0,35,0,374
18,2013,973bfe3c-6d0d-4130-a79c-f860650b1da6,13.0,0,13,0,1,0,13
19,2013,3289f9ce-e1d1-40ed-9d3f-242a1712c586,9.333,16,43,0,36,0,336
20,2013,4f0053fc-5559-4551-bd81-dcd1cdf3a9ec,11.682,7,79,79,22,1,257
21,2013,16e33176-b73e-49b7-b0aa-c405b47a706e,12.781,23,67,67,32,1,409
22,2013,b8426cea-f8b9-4061-8d56-e70d1230103e,9.353,12,34,0,17,0,159
23,2013,5ed2cea8-e0c6-482c-9ee1-548c06612226,12.8,10,86,86,20,1,256
24,2013,7092bb09-a161-4ab9-8d19-fdcf1a91bb3d,6.8,3,14,0,10,0,68
25,2013,3e618eb6-41f2-4f20-ad70-2460f9366f43,5.071,8,32,0,14,0,71
26,2013,0366fd06-19a3-4b69-8448-6bfbfad1250b,5.143,1,11,0,7,0,36
27,2013,c87f0526-a85d-439d-a447-070c66ede612,0.0,1,0,0,1,0,0
28,2013,3283f152-d373-43b3-b88f-f6f261c48e81,7.667,5,16,0,3,0,23
29,2013,da85107c-365c-4d58-90ab-479d97d798b4,0.0,1,0,0,0,0,0
30,2013,3aef6950-1c19-4454-a3d0-0afe9634ea9f,12.154,26,41,0,26,0,316
31,2013,5707d2b0-ea9e-4a5e-8289-9d52197301d9,0.0,0,0,0,1,0,0
32,2013,15b156b5-30cc-4070-b60a-1c09e62c5a9b,6.69,21,28,0,29,0,194
