,Player Season,Player ID,Punt Attempts,Punt Avg Hang Time,Punt Avg Net Yards,Punt Avg Yards,Punt Blocked,Punt Hangtime,Punt Inside 20,Punt Longest,Punt Net Yards,Punt Return Yards,Punt Touchbacks,Punt Yards
0,2012,ea357add-1a41-4a8b-8f34-bbfade7f4d98,1,2.2,26.0,26.0,0,2.2,1,26,26,0,0,26
1,2013,41c44740-d0f6-44ab-8347-3b5d515e5ecf,1,3.6,32.0,32.0,0,3.6,0,32,32,0,0,32
2,2013,e017e12b-07a7-4a35-b837-2faa9ffe3ce8,2,2.7,40.0,40.0,0,5.4,0,43,80,0,0,80
3,2013,ea357add-1a41-4a8b-8f34-bbfade7f4d98,1,2.5,28.0,28.0,0,2.5,1,28,28,0,0,28
4,2013,ecc4f0c1-64e0-46cc-9b58-91c2b215e62a,1,2.4,9.0,29.0,0,2.4,0,29,9,0,1,29
5,2014,ea357add-1a41-4a8b-8f34-bbfade7f4d98,0,0.0,0.0,0.0,1,0.0,0,0,0,0,0,0
6,2015,6444feb1-f5a4-4b45-9a45-79308a4445fd,1,4.27,21.0,41.0,0,4.27,0,41,21,0,1,41
7,2015,e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d,1,4.38,47.0,48.0,0,4.38,0,48,47,1,0,48
8,2016,218d1644-603e-4da3-9ce1-48ce3927494f,2,3.749,33.5,33.5,0,7.497,0,36,67,0,0,67
9,2016,63f8a401-f308-4463-9d0b-4335b98da682,4,4.222,29.75,45.0,0,16.888,0,54,119,21,2,180
10,2016,0d1171d4-c955-4966-9257-640b569866d1,2,3.816,33.0,33.0,0,7.632999999999999,0,47,66,0,0,66
11,2017,cd0f4ef0-9914-4125-be4d-804a72350ceb,1,3.237,16.0,16.0,0,3.237,0,16,16,0,0,16
12,2017,6444feb1-f5a4-4b45-9a45-79308a4445fd,1,0.0,26.0,26.0,0,0.0,1,26,26,0,0,26
13,2017,67f5e782-f91c-4536-9818-cf4a0e7e821d,4,3.639,34.75,34.75,0,14.554,1,47,139,0,0,139
14,2018,ea357add-1a41-4a8b-8f34-bbfade7f4d98,1,2.502,9.0,27.0,0,2.502,0,27,9,18,0,27
15,2018,596c4000-ede5-45b0-8336-33efeb686d2b,1,0.0,24.0,24.0,0,0.0,1,24,24,0,0,24
