,Player Season,Player ID,Rush Attempts,Rush Avg Yards,Rush Broken Tackles,Rush Kneel Downs,Rush Longest,Rush Longest TD,Rush Red Zone Attempts,Rush Scrambles,Rush Tackles for Loss,Rush Tackles for Loss Yards,Rush Touchdowns,Rush Yards,Rush Yards After Contact
0,2012,0742d2ea-1cf2-49a6-a150-77ba6e034d8c,48,4.104,0,10,20,1,0,0,1,-1,1,197,50
1,2012,5812204c-6dae-4450-8011-99e0f72864ac,49,4.306,0,16,31,2,0,0,3,-8,2,211,64
2,2012,a212c5d8-67f8-48b9-99be-2c121ee56366,51,4.902,0,0,28,15,0,0,2,-2,1,250,140
3,2012,4a38cda2-e92f-47f8-b324-0c34e09d83f2,110,3.973,0,0,18,11,7,0,9,-16,4,437,197
4,2012,769d7178-df4e-4127-8166-8116165921e8,5,1.6,0,0,5,0,0,0,1,-1,0,8,7
5,2012,e6c40f79-1bbd-4f62-9391-7f535f110c0d,22,1.273,0,5,8,0,0,0,1,-8,0,28,14
6,2012,170b4c5f-a345-4899-8d81-e8982b0f3d65,290,4.355,0,0,41,14,3,0,30,-58,12,1263,716
7,2012,2bb70d56-a79a-4fa1-ae37-99858a3ffd55,4,11.25,0,0,47,0,0,0,1,-13,0,45,19
8,2012,41c44740-d0f6-44ab-8347-3b5d515e5ecf,23,1.391,0,9,7,4,0,0,2,-2,4,32,9
9,2012,dba5e3ec-2c77-4f65-ad6e-cee246f816ef,56,4.893,0,0,27,7,0,0,11,-23,2,274,162
10,2012,1726a359-9444-4761-a1f2-cb35ee6fa60e,5,3.0,0,0,7,0,0,0,1,-4,0,15,10
11,2012,1a2fbc23-e6db-4d2f-a152-2c774341b7c4,3,15.667,0,0,37,0,0,0,0,0,0,47,10
12,2012,3289f9ce-e1d1-40ed-9d3f-242a1712c586,1,0.0,0,0,0,0,0,0,0,0,0,0,2
13,2012,c9701373-23f6-4058-9189-8d9c085f3c49,4,9.5,0,0,20,0,0,0,0,0,0,38,5
14,2012,d2a0e5af-3850-4f16-8e40-a0b1d15c2ce1,47,2.553,0,18,17,11,0,0,0,0,4,120,66
15,2012,01291a8d-d97c-4d88-b497-b5ad4b72f626,27,4.111,0,5,25,0,0,0,0,0,0,111,93
16,2012,3699dfd9-d437-43f7-b674-adbb31e7e64b,4,3.75,0,2,15,0,0,0,0,0,0,15,19
17,2012,4f0053fc-5559-4551-bd81-dcd1cdf3a9ec,6,11.0,0,0,35,0,0,0,0,0,0,66,54
18,2012,64797df2-efd3-4b27-86ee-1d48f7edb09f,32,0.688,0,14,16,1,2,0,2,-11,3,22,17
19,2012,7f3ef024-eb34-46af-8b9e-544cdf09378f,14,5.214,0,3,28,1,2,0,0,0,1,73,61
20,2012,a735765c-3ca8-4557-b06e-a30fd415982c,3,3.0,0,0,13,0,0,0,1,-4,0,9,8
21,2012,16e33176-b73e-49b7-b0aa-c405b47a706e,7,3.429,0,0,13,0,1,0,1,-13,0,24,16
22,2012,b37b5be9-4771-4368-988f-fb936f4fc0ad,5,1.4,0,0,13,0,0,0,2,-7,0,7,12
23,2012,ea357add-1a41-4a8b-8f34-bbfade7f4d98,26,3.538,0,8,14,0,0,0,0,0,0,92,19
24,2012,fd4e8681-f2f4-47c7-b954-a72be9b1ca00,1,4.0,0,0,4,0,0,0,0,0,0,4,2
25,2012,b8426cea-f8b9-4061-8d56-e70d1230103e,5,5.8,0,0,19,0,0,0,1,-2,0,29,15
26,2012,cc745cc3-d52a-454b-98c8-ac9155a9405c,3,1.667,0,0,3,0,0,0,0,0,0,5,2
27,2012,e3181493-6a2a-4e95-aa6f-3fc1ddeb7512,62,4.113,0,19,19,5,3,0,0,0,5,255,102
28,2012,de816e24-8442-49a4-99cd-dde7e7c05863,18,3.111,0,2,10,0,0,0,0,0,0,56,23
29,2012,f55053e4-4bfd-495d-981a-d62e3662f01b,19,3.368,0,3,15,1,0,0,0,0,1,64,25
30,2012,1f09583f-dcc1-43e8-a7fc-f063d2c96508,21,-0.429,0,16,8,0,0,0,0,0,0,-9,0
31,2012,441e8866-33f1-4820-9fa3-3aa2c7535975,1,4.0,0,0,4,0,0,0,0,0,0,4,4
32,2012,0847010c-9a77-4f0b-9d63-c8b4b224d263,8,-1.625,0,8,-1,0,0,0,0,0,0,-13,0
33,2012,8263e101-aa33-435f-bf0f-388e1c4eeb59,27,5.37,0,3,21,5,0,0,0,0,1,145,52
34,2012,aca06a5e-0e3a-4285-a025-199f8fa0376f,285,5.295,0,0,91,91,2,0,36,-98,5,1509,634
35,2012,adadafa1-dc37-486d-8538-7db1e1b5f71e,6,3.5,0,0,7,0,0,0,0,0,0,21,10
36,2012,af48c3f0-040b-40f9-95ab-6ebcb4c16cf8,10,5.1,0,0,9,3,3,0,1,-1,1,51,15
37,2012,c456e060-d4d8-46cb-acf4-296edfb4f7bd,2,8.0,0,0,20,0,0,0,1,-4,0,16,16
38,2012,166292fc-629e-4c7b-b7bf-f572ca9eeb43,200,4.2,0,0,34,2,2,0,27,-67,2,840,504
39,2012,3e618eb6-41f2-4f20-ad70-2460f9366f43,3,-2.333,0,0,5,0,0,0,1,-14,0,-7,2
40,2012,b25ba2bd-80bd-4295-9034-cf9242fb207b,13,5.308,0,0,17,17,0,0,1,-4,1,69,38
41,2012,c8232b55-6617-4dd9-a7cf-cf14cd9a29ab,11,3.818,0,0,14,10,1,0,0,0,1,42,10
42,2012,6cb6226e-f08c-4192-95f1-69709ed686c6,20,1.5,0,10,13,0,0,0,0,0,0,30,15
43,2012,38f5843a-8318-4eb7-b517-c83d415e77a4,1,-1.0,0,0,-1,0,0,0,1,-1,0,-1,1
44,2012,8dfb370d-460c-4bfc-9d62-888687248783,120,6.792,0,9,76,76,1,0,8,-36,7,815,260
45,2012,a824d9ff-12a4-4ed2-812d-404b0b4e52f9,2,4.5,0,0,7,0,0,0,0,0,0,9,6
46,2012,b030b668-0f41-484f-8e94-9fc576b8af63,1,14.0,0,0,14,0,0,0,0,0,0,14,7
47,2012,bbd0942c-6f77-4f83-a6d0-66ec6548019e,3,7.333,0,1,17,0,0,0,0,0,0,22,0
48,2012,bd10efdf-d8e7-4e23-ab1a-1e42fb65131b,335,4.815,0,0,39,39,11,0,31,-71,13,1613,984
49,2012,bbca096b-fd15-498a-86c2-feb44737363f,1,-2.0,0,0,-2,0,0,0,1,-2,0,-2,0
50,2012,ade43b1a-0601-4672-83b6-d246bc066a19,35,3.6,0,4,11,4,1,0,0,0,4,126,19
51,2012,0ce48193-e2fa-466e-a986-33f751add206,54,4.796,0,13,27,27,0,0,0,0,2,259,77
52,2012,3283f152-d373-43b3-b88f-f6f261c48e81,10,13.2,0,0,28,0,0,0,0,0,0,132,89
53,2012,250199f2-1387-4b55-b96f-17fedea6db7f,1,-1.0,0,1,-1,0,0,0,0,0,0,-1,0
54,2012,6a11f09e-268c-4e5a-9b0f-cc0f4bc353c3,2,5.5,0,0,8,0,0,0,0,0,0,11,13
55,2012,ab58c0ac-a747-47e6-9b3c-505e41d2bd3d,348,6.026,0,0,82,82,15,0,51,-90,12,2097,1369
56,2012,5c2a0c83-e18a-43dd-bd65-704771157e42,319,4.558,0,0,70,70,11,0,35,-76,11,1454,1005
57,2012,f5d20030-d934-45e3-8282-e34c6c83ad84,41,3.683,0,0,35,12,0,0,2,-3,2,151,75
58,2012,0b3217b9-ba37-4222-95cb-a7a222441e8b,6,5.0,0,0,18,0,0,0,1,-7,0,30,34
59,2012,7e648a0b-fdc8-4661-a587-5826f2cac11b,34,4.147,0,11,16,5,1,0,0,0,1,141,12
60,2012,91a95850-9514-49d5-b2b0-f8e21156daa0,94,3.851,0,0,43,5,1,0,10,-17,1,362,251
61,2012,214e55e4-a089-412d-9598-a16495df0d25,127,5.835,0,10,72,72,2,0,9,-23,8,741,338
62,2012,5707d2b0-ea9e-4a5e-8289-9d52197301d9,3,11.667,0,0,25,0,0,0,0,0,0,35,18
63,2012,96a1fc85-5af7-49fa-a5ac-ddc06c205ced,93,3.613,0,0,21,1,0,0,15,-36,1,336,235
64,2012,0045a36c-f464-49e0-a25a-9210edc94bc1,3,5.667,0,2,19,0,0,0,0,0,0,17,3
65,2012,15b156b5-30cc-4070-b60a-1c09e62c5a9b,48,5.083,0,0,47,13,2,0,10,-22,1,244,90
66,2012,72f5a27a-544f-468a-b10b-89a1fc5d0e9f,40,5.425,0,0,56,56,0,0,6,-16,2,217,189
67,2012,b4ce3e07-7848-4da2-a33e-4f04ce540ba5,1,5.0,0,0,5,0,0,0,0,0,0,5,0
68,2012,bb5957e6-ce7d-47ab-8036-22191ffc1c44,15,0.333,0,11,11,1,0,0,0,0,1,5,1
69,2012,f336567d-44a9-4245-8452-1dd485fd70fb,156,3.859,0,0,31,27,2,0,12,-27,5,602,431
70,2012,2fda010a-8c62-4c07-b601-4ba03f57e6af,31,4.258,0,9,24,0,0,0,0,0,0,132,23
71,2012,3aef6950-1c19-4454-a3d0-0afe9634ea9f,1,7.0,0,0,7,0,0,0,0,0,0,7,0
72,2012,6a2b129d-a9e5-4131-b491-82269b323f77,258,4.705,0,0,37,23,5,0,26,-53,8,1214,682
73,2012,fe767946-236d-4c04-9c59-5e3edd51acfe,1,8.0,0,0,8,0,0,0,0,0,0,8,10
74,2012,9691f874-be36-4529-a7eb-dde22ee4a848,4,7.25,0,0,15,0,0,0,1,-2,0,29,20
75,2012,af4ba620-2f00-4b00-9111-7897f2b1cde8,1,6.0,0,0,6,0,0,0,0,0,0,6,0
76,2012,409d4cac-ee90-4470-9710-ebe671678339,94,5.202,0,10,25,25,3,0,4,-10,4,489,173
77,2012,63fd9abe-4bdf-4611-9497-0c67e030ce01,80,4.425,0,0,26,0,2,0,9,-21,0,354,179
