,Player Season,Player ID,Team ID,Kick Off End Zone,Kick Off Inside 20,Kick Off Kick Offs,Kick Off Onside Attempts,Kick Off Onside Successes,Kick Off OOB,Kick Off Ret Yds,Kick Off Squib Kicks,Kick Off Touchbacks,Kick Off Yds
0,2012,a527b7db-0b52-4379-9e4c-2e08c1fe1bed,97354895-8c77-4fd4-a860-32e62ea7382a,35,20,111,1,0,0,1220,0,52,7061
1,2012,e017e12b-07a7-4a35-b837-2faa9ffe3ce8,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,30,17,65,1,0,0,1116,0,21,4252
2,2012,e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d,d5a2eb42-8065-4174-ab79-0a6fa820e35e,25,21,77,2,0,1,853,0,30,4820
3,2012,20a0bad2-d530-4ff4-a2df-5c0a21a1f5db,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,30,16,88,3,0,0,842,0,49,5607
4,2012,67f5e782-f91c-4536-9818-cf4a0e7e821d,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,17,7,98,0,0,0,735,0,65,6254
5,2012,ecc4f0c1-64e0-46cc-9b58-91c2b215e62a,6680d28d-d4d2-49f6-aace-5292d3ec02c2,22,6,58,2,0,2,690,0,27,3579
6,2012,480277d1-47c9-44df-969e-038a84cd0fea,1c1cec48-6352-4556-b789-35304c1a6ae1,23,11,73,7,0,2,868,0,38,4473
7,2012,beb64618-614c-49f7-a3aa-c0c75b7839ea,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,31,19,84,5,1,1,1102,0,30,5089
8,2012,5514afb6-bd43-49a8-9bf7-b8baaaecdabe,22052ff7-c065-42ee-bc8f-c4691c50e624,17,7,62,1,0,1,1048,0,15,3853
9,2012,abd73d50-ce60-47f1-b37f-2f9a05b0d7b9,7b112545-38e6-483c-a55c-96cf6ee49cb8,23,14,66,1,0,0,586,0,38,4306
10,2012,e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8,a20471b4-a8d9-40c7-95ad-90cc30e46932,28,12,88,1,1,1,1193,0,35,5531
11,2012,63f8a401-f308-4463-9d0b-4335b98da682,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,12,8,35,0,0,0,360,0,20,2320
12,2012,40cda44b-2ee3-4ad1-834e-995e30db84d4,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,39,22,87,2,0,0,1130,0,36,5623
13,2013,596c4000-ede5-45b0-8336-33efeb686d2b,4809ecb0-abd3-451d-9c4a-92a90b83ca06,26,13,74,0,0,1,811,0,38,4783
14,2013,a527b7db-0b52-4379-9e4c-2e08c1fe1bed,97354895-8c77-4fd4-a860-32e62ea7382a,19,15,99,1,1,1,664,0,65,6315
15,2013,e017e12b-07a7-4a35-b837-2faa9ffe3ce8,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,33,9,86,1,0,1,1219,0,32,5428
16,2013,20a0bad2-d530-4ff4-a2df-5c0a21a1f5db,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,24,6,82,1,0,1,873,0,42,5114
17,2013,c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e,82d2d380-3834-4938-835f-aec541e5ece7,26,12,67,0,0,0,982,0,29,4381
18,2013,67f5e782-f91c-4536-9818-cf4a0e7e821d,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,26,11,114,2,0,1,920,0,81,7348
19,2013,ecc4f0c1-64e0-46cc-9b58-91c2b215e62a,6680d28d-d4d2-49f6-aace-5292d3ec02c2,30,12,91,0,0,2,1025,0,47,5860
20,2013,480277d1-47c9-44df-969e-038a84cd0fea,1c1cec48-6352-4556-b789-35304c1a6ae1,11,8,74,6,0,1,613,0,38,4363
21,2013,beb64618-614c-49f7-a3aa-c0c75b7839ea,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,20,9,93,3,1,0,791,0,52,5815
22,2013,5514afb6-bd43-49a8-9bf7-b8baaaecdabe,22052ff7-c065-42ee-bc8f-c4691c50e624,16,9,57,2,0,0,950,0,14,3420
