,Season,Team ID,TKey,Def Assisted Tackles,Def Blitzes,Def Combined Tackles,Def Defensive Completions,Def Defensive Targets,Def Forced Fumbles,Def Fumble Recoveries,Def Hurries,Def Interceptions,Def Knockdowns,Def Misc Assists,Def Misc Forced Fumbles,Def Misc Fumble Recoveries,Def Misc Tackles,Def Missed Tackles,Def Passes Defended,Def QB Hits,Def Sack Yards,Def Sacks,Def Safeties,Def Special Team Assists,Def Special Team Bocks,Def Special Team Forced Fumbles,Def Special Team Fumble Recoveries,Def Special Team Tackles,Def Tackles,Def Tackles for Loss,Def Tackles for Loss Yards
0,2012,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242012,271,0,936,301,473,18,8,156,12,40,2,1,7,27,69,79,66,196.0,36.0,1,15,5,2,0,77,665,72.0,0.0
1,2012,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062012,209,0,897,346,559,11,5,138,10,69,0,0,8,20,92,66,96,242.0,42.0,0,19,3,4,2,67,688,78.0,0.0
2,2012,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32012,260,0,866,262,441,13,11,116,11,42,2,0,10,23,81,58,67,170.0,30.0,1,16,1,1,4,73,606,67.0,0.0
3,2012,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2012,295,0,904,368,569,28,20,141,20,47,0,0,4,12,78,78,71,213.0,37.0,1,23,0,2,1,67,609,72.0,43.0
4,2012,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232012,361,0,973,342,512,16,13,164,14,59,0,0,6,17,88,74,93,351.0,51.0,0,28,1,0,5,69,612,85.0,0.0
5,2012,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2012,292,0,978,377,564,16,13,124,17,39,0,0,11,17,88,81,68,231.0,38.0,0,29,0,0,1,67,686,59.0,0.0
6,2012,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2012,292,0,1021,331,504,6,10,136,13,71,0,0,5,11,95,86,87,250.0,37.0,0,13,0,4,5,83,729,80.0,0.0
7,2012,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982012,257,0,864,299,496,15,9,95,10,51,0,0,11,20,82,80,76,196.0,37.0,0,26,1,0,3,60,607,65.0,0.0
8,2012,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92012,256,0,867,326,493,6,3,104,12,43,0,0,9,19,90,65,68,189.0,32.0,0,16,0,0,1,58,611,65.0,36.0
9,2012,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2012,188,0,945,337,504,12,9,94,12,53,0,0,8,17,89,59,62,128.0,20.0,0,14,1,0,3,66,757,52.0,0.0
