,Season,Team ID,TKey,Rec Air Yards,Rec Avg Yards,Rec Broken Tackles,Rec Catchable Passes,Rec Dropped Passes,Rec Longest,Rec Longest TD,Rec Receptions,Rec Red Zone Targets,Rec Targets,Rec Touchdowns,Rec Yards,Rec Yards After Catch,Rec Yards After Contact
0,2012,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242012,1625,11.1,0,0,37,68,68,309,5,509,24,3430,1805,0
1,2012,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062012,2154,11.689,0,0,37,80,80,293,5,500,13,3425,1271,0
2,2012,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32012,2054,11.684,0,0,33,66,33,272,4,488,14,3178,1124,0
3,2012,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2012,2607,12.05,0,0,48,83,83,402,3,634,34,4844,2237,0
4,2012,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232012,2112,11.364,0,0,28,73,73,335,10,529,28,3807,1695,0
5,2012,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2012,1768,11.183,0,0,39,71,71,328,7,562,16,3668,1900,0
6,2012,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2012,2372,11.964,0,0,25,61,61,334,4,556,22,3996,1624,0
7,2012,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982012,2169,11.333,0,0,30,82,82,354,9,563,27,4012,1843,0
8,2012,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92012,2718,12.903,0,0,50,70,70,339,9,618,23,4374,1656,0
9,2012,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2012,2202,11.421,0,0,50,81,81,328,5,580,20,3746,1544,0
10,2012,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72012,2259,11.429,0,0,34,60,60,354,4,549,22,4046,1787,0
11,2012,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152012,2185,11.248,0,0,40,71,71,318,5,537,17,3577,1392,0
12,2012,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02012,2779,11.619,0,0,40,71,71,402,14,584,37,4671,1892,0
13,2012,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22012,1676,10.758,0,0,34,57,33,273,6,466,8,2937,1261,0
14,2012,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12012,2265,11.415,0,0,42,64,64,376,6,624,24,4292,2027,0
15,2012,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602012,3016,11.502,0,0,40,85,85,434,6,650,29,4992,1976,0
16,2012,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802012,2260,11.104,0,0,31,77,77,367,9,598,18,4075,1815,0
17,2012,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2012,2561,12.282,0,0,32,80,80,323,14,535,26,3967,1406,0
18,2012,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242012,2023,12.598,0,0,37,88,88,291,3,434,24,3666,1643,0
19,2012,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82012,2067,11.491,0,0,37,60,60,287,10,484,21,3298,1231,0
20,2012,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2012,3044,11.548,0,0,50,57,46,445,6,730,22,5139,2095,0
21,2012,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322012,2256,11.61,0,0,46,73,72,374,9,544,40,4342,2086,0
22,2012,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522012,1325,9.783,0,0,26,65,20,300,6,479,18,2935,1610,0
23,2012,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692012,2488,13.325,0,0,33,95,64,311,7,559,27,4144,1656,0
24,2012,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292012,2658,11.182,0,0,28,80,80,422,14,611,32,4719,2061,0
25,2012,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142012,2183,13.827,0,0,22,82,53,284,12,485,19,3927,1744,0
26,2012,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732012,3024,12.262,0,0,49,80,80,423,13,655,43,5187,2163,0
27,2012,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92012,2071,12.287,0,0,31,57,49,289,2,431,23,3551,1480,0
28,2012,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2012,2020,10.039,0,0,35,53,46,337,3,605,11,3383,1363,0
29,2012,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82012,1963,12.486,0,0,26,67,46,259,5,401,27,3234,1271,0
30,2013,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242013,1865,11.281,0,0,35,59,59,299,37,519,16,3373,1508,0
31,2013,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062013,2431,11.109,0,0,33,67,53,357,64,582,24,3966,1535,0
