,Season,Team ID,TKey,Rush Attempts,Rush Avg Yards,Rush Broken Tackles,Rush Kneel Downs,Rush Longest,Rush Longest TD,Rush Red Zone Attempts,Rush Scrambles,Rush Tackles for Loss,Rush Tackles for Loss Yards,Rush Touchdowns,Rush Yards,Rush Yards After Contact
0,2012,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242012,442,5.016,0,11,62,56,8,0,37,-92,12,2217,1219
1,2012,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062012,440,4.095,0,20,65,65,4,0,41,-104,15,1802,907
2,2012,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32012,494,3.838,0,7,61,11,12,0,32,-78,12,1896,1056
3,2012,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2012,523,4.176,0,17,47,15,3,0,50,-124,25,2184,1175
4,2012,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232012,430,4.058,0,20,48,11,2,0,24,-49,11,1745,876
5,2012,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2012,396,4.023,0,7,35,32,10,0,36,-64,12,1593,935
6,2012,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2012,444,4.282,0,17,78,34,11,0,30,-69,17,1901,1118
7,2012,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982012,412,3.731,0,8,34,31,6,0,42,-100,8,1537,1073
8,2012,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92012,440,3.798,0,19,26,18,12,0,58,-135,11,1671,1009
9,2012,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2012,358,3.824,0,5,59,59,2,0,26,-59,5,1369,749
10,2012,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72012,508,4.179,0,17,81,81,5,0,55,-118,19,2123,1201
11,2012,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152012,378,4.463,0,7,94,94,6,0,50,-161,10,1687,736
12,2012,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02012,481,3.809,0,25,31,7,19,0,47,-93,12,1832,984
13,2012,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22012,500,4.79,0,6,91,91,5,0,54,-139,9,2395,1058
14,2012,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12012,376,3.777,0,4,64,64,5,0,47,-127,4,1420,933
15,2012,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602012,355,3.563,0,14,48,22,5,0,40,-101,8,1265,743
16,2012,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802012,413,4.538,0,6,65,65,6,0,52,-146,10,1874,1031
17,2012,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2012,409,4.553,0,13,52,52,15,0,30,-54,18,1862,1050
18,2012,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242012,519,5.22,0,10,76,76,12,0,43,-111,22,2709,1407
19,2012,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82012,470,4.191,0,19,46,46,5,0,39,-80,11,1970,1035
20,2012,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2012,391,4.125,0,4,67,23,4,0,32,-53,17,1613,817
21,2012,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322012,433,3.931,0,16,41,27,6,0,27,-52,9,1702,943
22,2012,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522012,486,5.42,0,16,82,82,15,0,65,-124,16,2634,1593
23,2012,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692012,416,4.416,0,9,70,70,11,0,39,-87,13,1837,1138
24,2012,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292012,378,3.696,0,13,43,17,6,0,45,-88,12,1397,856
25,2012,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142012,462,4.519,0,10,72,72,13,0,55,-118,21,2088,1314
26,2012,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732012,370,4.262,0,13,56,56,5,0,37,-84,10,1577,1020
27,2012,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92012,492,5.063,0,16,50,50,14,0,36,-75,17,2491,1155
28,2012,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2012,352,3.42,0,4,52,31,3,0,52,-125,10,1204,705
29,2012,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82012,536,4.812,0,14,77,77,10,0,43,-117,16,2579,1315
30,2013,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242013,546,4.225,0,18,77,54,92,0,53,-116,15,2307,1163
31,2013,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062013,349,4.126,0,9,55,10,51,0,37,-65,8,1440,706
32,2013,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32013,493,4.377,0,10,69,17,54,0,37,-90,12,2158,1208
33,2013,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2013,470,4.394,0,20,47,47,86,0,33,-65,19,2065,1014
34,2013,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232013,481,3.649,0,22,35,35,57,0,39,-87,14,1755,949
35,2013,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2013,348,3.974,0,6,45,5,52,0,33,-79,4,1383,691
36,2013,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2013,423,3.139,0,8,47,5,62,0,42,-89,7,1328,668
37,2013,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982013,394,3.51,0,10,43,13,56,0,35,-97,9,1383,781
38,2013,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92013,409,4.262,0,17,51,51,50,0,27,-65,15,1743,942
39,2013,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2013,378,3.333,0,2,48,6,40,0,48,-101,7,1260,749
40,2013,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72013,414,4.21,0,1,60,20,52,0,36,-74,7,1743,883
41,2013,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152013,462,4.1,0,10,39,30,66,0,43,-90,16,1894,975
42,2013,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02013,461,4.063,0,27,45,25,71,0,34,-77,16,1873,937
43,2013,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22013,442,4.652,0,19,46,31,72,0,28,-56,17,2056,854
44,2013,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12013,437,4.577,0,8,93,93,57,0,31,-72,16,2000,1011
45,2013,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602013,336,4.476,0,10,45,7,53,0,28,-79,12,1504,841
46,2013,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802013,500,5.132,0,22,65,65,74,0,52,-153,19,2566,1153
47,2013,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2013,381,3.496,0,10,49,49,44,0,48,-123,11,1332,826
48,2013,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242013,453,4.777,0,3,45,45,58,0,45,-89,14,2164,1061
49,2013,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82013,404,4.525,0,11,55,53,69,0,44,-106,13,1828,926
50,2013,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2013,445,4.027,0,12,39,37,58,0,39,-94,15,1792,937
51,2013,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322013,459,4.654,0,14,67,32,86,0,33,-74,17,2136,1105
52,2013,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522013,423,4.92,0,8,78,78,60,0,43,-119,23,2081,1298
53,2013,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692013,420,3.838,0,9,80,80,33,0,45,-100,6,1612,1026
54,2013,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292013,321,3.885,0,7,50,50,51,0,36,-68,11,1247,659
55,2013,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142013,483,4.195,0,15,56,43,88,0,42,-72,14,2026,1170
56,2013,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732013,391,3.767,0,22,38,9,59,0,45,-114,10,1473,754
57,2013,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92013,505,4.358,0,17,51,34,92,0,61,-165,18,2201,1088
58,2013,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2013,422,3.649,0,21,80,80,53,0,39,-86,12,1540,873
59,2013,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82013,509,4.299,0,18,43,14,83,0,52,-130,14,2188,1183
60,2014,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242014,402,3.687,0,11,53,30,57,0,39,-97,7,1482,818
61,2014,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062014,399,4.692,0,16,97,97,88,0,45,-118,12,1872,864
62,2014,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32014,507,4.497,0,6,71,71,69,0,48,-89,11,2280,1198
63,2014,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2014,438,3.943,0,21,43,6,86,0,39,-67,13,1727,898
64,2014,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232014,492,4.364,0,14,89,89,79,0,39,-85,19,2147,1179
65,2014,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2014,477,3.623,0,6,36,26,72,0,63,-164,17,1728,886
66,2014,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2014,448,4.507,0,17,52,20,89,0,41,-84,16,2019,922
67,2014,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982014,423,4.142,0,18,81,38,59,0,37,-100,10,1752,966
68,2014,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92014,415,3.884,0,21,49,49,69,0,39,-83,9,1612,862
69,2014,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2014,360,4.536,0,3,62,62,33,0,32,-64,9,1633,796
70,2014,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72014,551,3.922,0,18,51,34,57,0,56,-133,12,2161,1268
71,2014,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152014,356,4.065,0,12,52,11,40,0,21,-41,6,1447,864
72,2014,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02014,443,4.029,0,25,47,37,63,0,37,-85,15,1785,930
73,2014,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22014,420,4.567,0,10,63,63,58,0,36,-104,18,1918,953
74,2014,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12014,337,3.68,0,6,90,90,33,0,31,-82,4,1240,582
