Key,Converse Defense Attempts,Converse Defense Success,Converse Pass Attempts,Converse Pass Success,Converse Rec Attempts,Converse Rec Success,Converse Rush Attempts,Converse Rush Success,Converse Turnover Success
5812204c-6dae-4450-8011-99e0f72864ac 2012 4809ecb0-abd3-451d-9c4a-92a90b83ca06,0,0,2,2,0,0,0,0,0
e6c40f79-1bbd-4f62-9391-7f535f110c0d 2012 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,0,0,1,0,0,0,0,0,0
2142a164-48ad-47d6-bb27-0bc58c6b2e62 2012 97354895-8c77-4fd4-a860-32e62ea7382a,0,0,0,0,1,0,0,0,0
41c44740-d0f6-44ab-8347-3b5d515e5ecf 2012 97354895-8c77-4fd4-a860-32e62ea7382a,0,0,1,0,0,0,0,0,0
3699dfd9-d437-43f7-b674-adbb31e7e64b 2012 d5a2eb42-8065-4174-ab79-0a6fa820e35e,0,0,0,0,0,0,1,0,0
64797df2-efd3-4b27-86ee-1d48f7edb09f 2012 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,0,0,1,1,0,0,0,0,0
ea357add-1a41-4a8b-8f34-bbfade7f4d98 2012 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0,0,2,1,0,0,0,0,0
e3181493-6a2a-4e95-aa6f-3fc1ddeb7512 2012 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,0,0,1,0,0,0,0,0,0
de816e24-8442-49a4-99cd-dde7e7c05863 2012 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,0,0,4,2,0,0,0,0,0
f55053e4-4bfd-495d-981a-d62e3662f01b 2012 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,0,0,1,0,0,0,0,0,0
d2cad5f8-b35f-4cf4-9567-57c387ba6225 2012 1c1cec48-6352-4556-b789-35304c1a6ae1,0,0,0,0,1,1,0,0,0
5ed2cea8-e0c6-482c-9ee1-548c06612226 2012 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,0,0,0,0,1,1,0,0,0
b25ba2bd-80bd-4295-9034-cf9242fb207b 2012 386bdbf9-9eea-4869-bb9a-274b0bc66e80,0,0,0,0,1,0,0,0,0
c8232b55-6617-4dd9-a7cf-cf14cd9a29ab 2012 386bdbf9-9eea-4869-bb9a-274b0bc66e80,0,0,3,0,0,0,0,0,0
bbd0942c-6f77-4f83-a6d0-66ec6548019e 2012 22052ff7-c065-42ee-bc8f-c4691c50e624,0,0,0,0,0,0,1,1,0
bbca096b-fd15-498a-86c2-feb44737363f 2012 7b112545-38e6-483c-a55c-96cf6ee49cb8,0,0,0,0,1,0,0,0,0
ade43b1a-0601-4672-83b6-d246bc066a19 2012 c5a59daa-53a7-4de0-851f-fb12be893e9e,0,0,1,1,0,0,0,0,0
0ce48193-e2fa-466e-a986-33f751add206 2012 a20471b4-a8d9-40c7-95ad-90cc30e46932,0,0,3,1,0,0,0,0,0
9f2aebe4-b654-4f0e-a437-ec46f20b6bfe 2012 a20471b4-a8d9-40c7-95ad-90cc30e46932,0,0,0,0,1,1,0,0,0
1059e9dc-97df-4643-9116-883a0573d8b1 2012 33405046-04ee-4058-a950-d606f8c30852,0,0,0,0,1,1,0,0,0
ab58c0ac-a747-47e6-9b3c-505e41d2bd3d 2012 33405046-04ee-4058-a950-d606f8c30852,0,0,0,0,0,0,1,1,0
7e648a0b-fdc8-4661-a587-5826f2cac11b 2012 e6aa13a4-0055-48a9-bc41-be28dc106929,0,0,1,0,0,0,0,0,0
15b156b5-30cc-4070-b60a-1c09e62c5a9b 2012 0d855753-ea21-4953-89f9-0e20aff9eb73,0,0,0,0,0,0,1,1,0
618bedee-9259-4536-b0ff-fec98d2a20de 2013 768c92aa-75ff-4a43-bcc0-f2798c2e1724,0,0,0,0,1,1,0,0,0
5812204c-6dae-4450-8011-99e0f72864ac 2013 4809ecb0-abd3-451d-9c4a-92a90b83ca06,0,0,1,0,0,0,0,0,0
