Key,Extra Pts Attempts,Extra Pts Blocked,Extra Pts Made
a527b7db-0b52-4379-9e4c-2e08c1fe1bed 2012 97354895-8c77-4fd4-a860-32e62ea7382a,66,0,66
e017e12b-07a7-4a35-b837-2faa9ffe3ce8 2012 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,35,0,35
e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d 2012 d5a2eb42-8065-4174-ab79-0a6fa820e35e,29,0,29
20a0bad2-d530-4ff4-a2df-5c0a21a1f5db 2012 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,42,0,42
9ecf8040-10f9-4a5c-92da-1b4d77bd6760 2012 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,37,0,37
67f5e782-f91c-4536-9818-cf4a0e7e821d 2012 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,55,0,55
ecc4f0c1-64e0-46cc-9b58-91c2b215e62a 2012 6680d28d-d4d2-49f6-aace-5292d3ec02c2,17,0,17
480277d1-47c9-44df-969e-038a84cd0fea 2012 1c1cec48-6352-4556-b789-35304c1a6ae1,25,0,25
beb64618-614c-49f7-a3aa-c0c75b7839ea 2012 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,37,0,37
5514afb6-bd43-49a8-9bf7-b8baaaecdabe 2012 22052ff7-c065-42ee-bc8f-c4691c50e624,33,1,33
abd73d50-ce60-47f1-b37f-2f9a05b0d7b9 2012 7b112545-38e6-483c-a55c-96cf6ee49cb8,33,0,33
e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8 2012 a20471b4-a8d9-40c7-95ad-90cc30e46932,50,0,50
218d1644-603e-4da3-9ce1-48ce3927494f 2012 e6aa13a4-0055-48a9-bc41-be28dc106929,44,0,44
63f8a401-f308-4463-9d0b-4335b98da682 2012 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,21,0,20
40cda44b-2ee3-4ad1-834e-995e30db84d4 2012 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,46,2,46
596c4000-ede5-45b0-8336-33efeb686d2b 2013 4809ecb0-abd3-451d-9c4a-92a90b83ca06,33,0,33
a527b7db-0b52-4379-9e4c-2e08c1fe1bed 2013 97354895-8c77-4fd4-a860-32e62ea7382a,44,0,44
e017e12b-07a7-4a35-b837-2faa9ffe3ce8 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,52,1,52
20a0bad2-d530-4ff4-a2df-5c0a21a1f5db 2013 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,26,0,26
9ecf8040-10f9-4a5c-92da-1b4d77bd6760 2013 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,34,0,34
c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e 2013 82d2d380-3834-4938-835f-aec541e5ece7,26,0,26
67f5e782-f91c-4536-9818-cf4a0e7e821d 2013 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,75,0,75
ecc4f0c1-64e0-46cc-9b58-91c2b215e62a 2013 6680d28d-d4d2-49f6-aace-5292d3ec02c2,52,0,52
480277d1-47c9-44df-969e-038a84cd0fea 2013 1c1cec48-6352-4556-b789-35304c1a6ae1,37,0,37
beb64618-614c-49f7-a3aa-c0c75b7839ea 2013 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,47,0,47
5514afb6-bd43-49a8-9bf7-b8baaaecdabe 2013 22052ff7-c065-42ee-bc8f-c4691c50e624,26,0,26
abd73d50-ce60-47f1-b37f-2f9a05b0d7b9 2013 7b112545-38e6-483c-a55c-96cf6ee49cb8,45,1,45
e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8 2013 a20471b4-a8d9-40c7-95ad-90cc30e46932,42,0,42
218d1644-603e-4da3-9ce1-48ce3927494f 2013 e6aa13a4-0055-48a9-bc41-be28dc106929,39,0,39
63f8a401-f308-4463-9d0b-4335b98da682 2013 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,42,0,42
e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d 2013 f0e724b0-4cbf-495a-be47-013907608da9,44,0,44
40cda44b-2ee3-4ad1-834e-995e30db84d4 2013 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,44,0,44
596c4000-ede5-45b0-8336-33efeb686d2b 2014 4809ecb0-abd3-451d-9c4a-92a90b83ca06,41,0,41
a527b7db-0b52-4379-9e4c-2e08c1fe1bed 2014 97354895-8c77-4fd4-a860-32e62ea7382a,51,0,51
e017e12b-07a7-4a35-b837-2faa9ffe3ce8 2014 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,39,0,39
20a0bad2-d530-4ff4-a2df-5c0a21a1f5db 2014 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,42,0,42
9ecf8040-10f9-4a5c-92da-1b4d77bd6760 2014 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,50,0,50
c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e 2014 82d2d380-3834-4938-835f-aec541e5ece7,40,0,40
ecc4f0c1-64e0-46cc-9b58-91c2b215e62a 2014 d26a1ca5-722d-4274-8f97-c92e49c96315,27,0,27
6444feb1-f5a4-4b45-9a45-79308a4445fd 2014 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,41,0,41
d96ff17c-841a-4768-8e08-3a4cfcb7f717 2014 6680d28d-d4d2-49f6-aace-5292d3ec02c2,38,0,38
480277d1-47c9-44df-969e-038a84cd0fea 2014 1c1cec48-6352-4556-b789-35304c1a6ae1,28,0,28
beb64618-614c-49f7-a3aa-c0c75b7839ea 2014 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,56,0,56
4b99ead5-0f79-4899-84a7-075c08890698 2014 386bdbf9-9eea-4869-bb9a-274b0bc66e80,54,0,54
5514afb6-bd43-49a8-9bf7-b8baaaecdabe 2014 22052ff7-c065-42ee-bc8f-c4691c50e624,31,1,31
abd73d50-ce60-47f1-b37f-2f9a05b0d7b9 2014 7b112545-38e6-483c-a55c-96cf6ee49cb8,28,1,28
67f5e782-f91c-4536-9818-cf4a0e7e821d 2014 c5a59daa-53a7-4de0-851f-fb12be893e9e,21,0,21
e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8 2014 a20471b4-a8d9-40c7-95ad-90cc30e46932,53,2,53
218d1644-603e-4da3-9ce1-48ce3927494f 2014 e6aa13a4-0055-48a9-bc41-be28dc106929,40,0,40
63f8a401-f308-4463-9d0b-4335b98da682 2014 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,34,0,34
e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d 2014 f0e724b0-4cbf-495a-be47-013907608da9,33,0,33
0d1171d4-c955-4966-9257-640b569866d1 2014 de760528-1dc0-416a-a978-b510d20692ff,27,0,27
40cda44b-2ee3-4ad1-834e-995e30db84d4 2014 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,41,0,41
c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e 2015 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,20,0,19
a527b7db-0b52-4379-9e4c-2e08c1fe1bed 2015 97354895-8c77-4fd4-a860-32e62ea7382a,52,0,52
e017e12b-07a7-4a35-b837-2faa9ffe3ce8 2015 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,48,1,48
20a0bad2-d530-4ff4-a2df-5c0a21a1f5db 2015 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,29,0,29
441eb531-1ec8-4f65-9174-78bc6adada63 2015 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,27,0,26
9ecf8040-10f9-4a5c-92da-1b4d77bd6760 2015 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,34,1,32
7af4c94b-529b-4403-ab66-2bfed3fcf0c7 2015 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,39,0,32
