Key,Field Goal Attempts,Field Goal Avg Yards,Field Goal Blocked,Field Goal Longest,Field Goal Made,Field Goal Yards
a527b7db-0b52-4379-9e4c-2e08c1fe1bed 2012 97354895-8c77-4fd4-a860-32e62ea7382a,35,29.714000000000002,0,53,29,1040
e017e12b-07a7-4a35-b837-2faa9ffe3ce8 2012 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,23,29.043000000000003,0,55,19,668
e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d 2012 d5a2eb42-8065-4174-ab79-0a6fa820e35e,31,36.2,1,53,29,1086
20a0bad2-d530-4ff4-a2df-5c0a21a1f5db 2012 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,33,35.211999999999996,0,56,30,1162
9ecf8040-10f9-4a5c-92da-1b4d77bd6760 2012 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,33,31.0,2,53,26,961
67f5e782-f91c-4536-9818-cf4a0e7e821d 2012 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,32,27.781,0,53,26,889
ecc4f0c1-64e0-46cc-9b58-91c2b215e62a 2012 6680d28d-d4d2-49f6-aace-5292d3ec02c2,34,30.941,0,52,28,1052
480277d1-47c9-44df-969e-038a84cd0fea 2012 1c1cec48-6352-4556-b789-35304c1a6ae1,34,32.176,0,57,31,1094
beb64618-614c-49f7-a3aa-c0c75b7839ea 2012 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,31,33.903,0,51,29,1051
5514afb6-bd43-49a8-9bf7-b8baaaecdabe 2012 22052ff7-c065-42ee-bc8f-c4691c50e624,18,38.389,0,50,17,691
abd73d50-ce60-47f1-b37f-2f9a05b0d7b9 2012 7b112545-38e6-483c-a55c-96cf6ee49cb8,25,32.522,2,54,21,748
e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8 2012 a20471b4-a8d9-40c7-95ad-90cc30e46932,33,24.605999999999998,0,54,21,812
218d1644-603e-4da3-9ce1-48ce3927494f 2012 e6aa13a4-0055-48a9-bc41-be28dc106929,38,31.526,0,55,33,1198
63f8a401-f308-4463-9d0b-4335b98da682 2012 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,11,26.909000000000002,0,51,9,296
40cda44b-2ee3-4ad1-834e-995e30db84d4 2012 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,27,30.576999999999998,1,52,24,795
596c4000-ede5-45b0-8336-33efeb686d2b 2013 4809ecb0-abd3-451d-9c4a-92a90b83ca06,34,29.424,1,54,26,971
a527b7db-0b52-4379-9e4c-2e08c1fe1bed 2013 97354895-8c77-4fd4-a860-32e62ea7382a,41,34.171,0,54,38,1401
e017e12b-07a7-4a35-b837-2faa9ffe3ce8 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,22,33.318000000000005,0,54,18,733
20a0bad2-d530-4ff4-a2df-5c0a21a1f5db 2013 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,41,34.829,0,61,38,1428
9ecf8040-10f9-4a5c-92da-1b4d77bd6760 2013 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,40,35.0,1,52,35,1365
c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e 2013 82d2d380-3834-4938-835f-aec541e5ece7,35,27.735,1,51,26,943
67f5e782-f91c-4536-9818-cf4a0e7e821d 2013 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,26,37.961999999999996,0,64,25,987
ecc4f0c1-64e0-46cc-9b58-91c2b215e62a 2013 6680d28d-d4d2-49f6-aace-5292d3ec02c2,28,28.296,1,51,22,764
480277d1-47c9-44df-969e-038a84cd0fea 2013 1c1cec48-6352-4556-b789-35304c1a6ae1,30,26.366999999999997,0,53,21,791
beb64618-614c-49f7-a3aa-c0c75b7839ea 2013 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,30,37.067,0,53,28,1112
5514afb6-bd43-49a8-9bf7-b8baaaecdabe 2013 22052ff7-c065-42ee-bc8f-c4691c50e624,22,31.95,2,50,18,639
abd73d50-ce60-47f1-b37f-2f9a05b0d7b9 2013 7b112545-38e6-483c-a55c-96cf6ee49cb8,29,30.965999999999998,0,58,26,898
e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8 2013 a20471b4-a8d9-40c7-95ad-90cc30e46932,37,30.296999999999997,0,57,33,1121
218d1644-603e-4da3-9ce1-48ce3927494f 2013 e6aa13a4-0055-48a9-bc41-be28dc106929,27,31.296,0,53,24,845
63f8a401-f308-4463-9d0b-4335b98da682 2013 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,27,34.0,1,55,24,884
e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d 2013 f0e724b0-4cbf-495a-be47-013907608da9,36,32.417,0,56,32,1167
40cda44b-2ee3-4ad1-834e-995e30db84d4 2013 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,35,35.5,1,53,33,1207
596c4000-ede5-45b0-8336-33efeb686d2b 2014 4809ecb0-abd3-451d-9c4a-92a90b83ca06,37,27.857,2,53,29,975
a527b7db-0b52-4379-9e4c-2e08c1fe1bed 2014 97354895-8c77-4fd4-a860-32e62ea7382a,37,33.595,0,53,35,1243
e017e12b-07a7-4a35-b837-2faa9ffe3ce8 2014 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,33,29.469,1,49,26,943
20a0bad2-d530-4ff4-a2df-5c0a21a1f5db 2014 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,34,30.485,1,55,29,1006
9ecf8040-10f9-4a5c-92da-1b4d77bd6760 2014 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,31,33.839,0,53,30,1049
