Key,Fumble End Zone Touch Downs,Forced Fumbles,Fumbles,Lost Fumbles,Fumbles Opponent Recovery,Fumbles Opponent Recovery Touchdowns,Fumbles Opponent Recovery Yards,Fumbles Out of Bounds,Fumbles Own Recovery,Fumbles Own Recovery Touchdowns,Fumbles Own Recovery Yards
0742d2ea-1cf2-49a6-a150-77ba6e034d8c 2012 768c92aa-75ff-4a43-bcc0-f2798c2e1724,0,0,8,6,0,0,0,0,2,0,0
5812204c-6dae-4450-8011-99e0f72864ac 2012 4809ecb0-abd3-451d-9c4a-92a90b83ca06,0,0,9,4,0,0,0,3,1,0,0
4a38cda2-e92f-47f8-b324-0c34e09d83f2 2012 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,0,0,0,0,0,0,0,0,1,0,0
769d7178-df4e-4127-8166-8116165921e8 2012 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,0,0,4,3,0,0,0,0,1,0,1
e6c40f79-1bbd-4f62-9391-7f535f110c0d 2012 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,0,0,14,8,0,0,0,1,3,0,-22
eeb9e3f4-e378-44ca-94b6-a724011ad710 2012 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,0,0,1,0,0,0,0,0,1,0,0
170b4c5f-a345-4899-8d81-e8982b0f3d65 2012 97354895-8c77-4fd4-a860-32e62ea7382a,0,0,4,2,0,0,0,1,0,0,0
2142a164-48ad-47d6-bb27-0bc58c6b2e62 2012 97354895-8c77-4fd4-a860-32e62ea7382a,0,0,1,1,0,0,0,0,0,0,0
2bb70d56-a79a-4fa1-ae37-99858a3ffd55 2012 97354895-8c77-4fd4-a860-32e62ea7382a,0,1,1,1,1,1,22,0,0,0,0
41c44740-d0f6-44ab-8347-3b5d515e5ecf 2012 97354895-8c77-4fd4-a860-32e62ea7382a,0,0,2,0,0,0,0,0,1,0,-3
3289f9ce-e1d1-40ed-9d3f-242a1712c586 2012 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,0,0,4,1,0,0,0,0,2,0,0
b44773b9-af17-4d6c-a453-132e20849712 2012 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,0,0,2,1,0,0,0,0,1,0,0
c9701373-23f6-4058-9189-8d9c085f3c49 2012 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,0,0,2,1,0,0,0,0,1,0,0
d2a0e5af-3850-4f16-8e40-a0b1d15c2ce1 2012 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,0,0,4,4,0,0,0,0,0,0,0
01291a8d-d97c-4d88-b497-b5ad4b72f626 2012 d5a2eb42-8065-4174-ab79-0a6fa820e35e,0,0,6,1,0,0,0,0,2,0,-3
4f0053fc-5559-4551-bd81-dcd1cdf3a9ec 2012 d5a2eb42-8065-4174-ab79-0a6fa820e35e,0,0,1,1,0,0,0,0,1,0,0
73e133bf-d3f7-4fda-bd25-2fde66cb8ee1 2012 d5a2eb42-8065-4174-ab79-0a6fa820e35e,0,0,1,1,0,0,0,0,0,0,0
b228c353-bb1f-4ba8-aa6d-d18ecf297259 2012 d5a2eb42-8065-4174-ab79-0a6fa820e35e,0,0,1,1,0,0,0,0,0,0,0
d81844de-54c3-42ee-9850-072dc4131b6f 2012 d5a2eb42-8065-4174-ab79-0a6fa820e35e,0,0,1,0,0,0,0,0,0,0,0
64797df2-efd3-4b27-86ee-1d48f7edb09f 2012 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,0,0,9,4,0,0,0,0,1,0,-10
c323cdb9-74bc-4d68-9358-609f80eedbb7 2012 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,0,0,1,1,0,0,0,0,0,0,0
16e33176-b73e-49b7-b0aa-c405b47a706e 2012 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0,0,4,2,0,0,0,0,2,0,0
b37b5be9-4771-4368-988f-fb936f4fc0ad 2012 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0,0,2,1,0,0,0,0,1,0,0
ea357add-1a41-4a8b-8f34-bbfade7f4d98 2012 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0,0,6,3,0,0,0,0,3,0,-8
fd4e8681-f2f4-47c7-b954-a72be9b1ca00 2012 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0,0,3,2,0,0,0,1,0,0,0
b8426cea-f8b9-4061-8d56-e70d1230103e 2012 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,0,0,1,0,0,0,0,0,0,0,0
cc745cc3-d52a-454b-98c8-ac9155a9405c 2012 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,0,0,1,0,0,0,0,1,2,0,0
e3181493-6a2a-4e95-aa6f-3fc1ddeb7512 2012 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,0,0,10,5,0,0,0,1,2,0,-3
9c21e9af-681c-41ef-9b00-fbc9e1668ed1 2012 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,0,0,0,0,0,0,0,0,1,0,0
de816e24-8442-49a4-99cd-dde7e7c05863 2012 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,0,0,5,3,0,0,0,0,1,0,0
f55053e4-4bfd-495d-981a-d62e3662f01b 2012 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,0,0,4,2,0,0,0,0,2,0,-2
1f09583f-dcc1-43e8-a7fc-f063d2c96508 2012 82d2d380-3834-4938-835f-aec541e5ece7,0,0,4,0,0,0,0,0,2,0,-2
3b7a1409-d154-4e5c-8c94-9d4a0e0993c7 2012 d26a1ca5-722d-4274-8f97-c92e49c96315,0,0,1,1,0,0,0,0,0,0,0
441e8866-33f1-4820-9fa3-3aa2c7535975 2012 d26a1ca5-722d-4274-8f97-c92e49c96315,0,0,1,1,0,0,0,0,0,0,0
6e444737-a1e1-4ddd-b963-cd6a9496fde0 2012 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,0,0,3,3,0,0,0,0,0,0,0
8263e101-aa33-435f-bf0f-388e1c4eeb59 2012 6680d28d-d4d2-49f6-aace-5292d3ec02c2,0,0,9,7,0,0,0,0,1,0,-8
aca06a5e-0e3a-4285-a025-199f8fa0376f 2012 6680d28d-d4d2-49f6-aace-5292d3ec02c2,0,0,5,3,0,0,0,1,0,0,0
adadafa1-dc37-486d-8538-7db1e1b5f71e 2012 1c1cec48-6352-4556-b789-35304c1a6ae1,0,0,1,0,0,0,0,0,2,0,-2
c456e060-d4d8-46cb-acf4-296edfb4f7bd 2012 1c1cec48-6352-4556-b789-35304c1a6ae1,0,0,0,0,0,0,0,0,1,0,0
d2cad5f8-b35f-4cf4-9567-57c387ba6225 2012 1c1cec48-6352-4556-b789-35304c1a6ae1,0,0,1,1,0,0,0,0,0,0,0
5ed2cea8-e0c6-482c-9ee1-548c06612226 2012 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,0,0,1,0,0,0,0,0,0,0,0
c43cf6a1-8faa-4f95-aa2a-f1aac3ffe103 2012 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,0,0,0,0,1,0,0,0,0,0,0
166292fc-629e-4c7b-b7bf-f572ca9eeb43 2012 386bdbf9-9eea-4869-bb9a-274b0bc66e80,0,0,4,3,0,0,0,1,2,0,0
3e618eb6-41f2-4f20-ad70-2460f9366f43 2012 386bdbf9-9eea-4869-bb9a-274b0bc66e80,0,0,1,0,0,0,0,0,1,0,0
c8232b55-6617-4dd9-a7cf-cf14cd9a29ab 2012 386bdbf9-9eea-4869-bb9a-274b0bc66e80,0,0,8,3,0,0,0,0,2,0,-18
6cb6226e-f08c-4192-95f1-69709ed686c6 2012 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,0,0,5,1,0,0,0,0,2,0,0
38f5843a-8318-4eb7-b517-c83d415e77a4 2012 22052ff7-c065-42ee-bc8f-c4691c50e624,0,0,1,0,0,0,0,1,0,0,0
8dfb370d-460c-4bfc-9d62-888687248783 2012 22052ff7-c065-42ee-bc8f-c4691c50e624,0,0,12,2,0,0,0,0,4,0,-16
a824d9ff-12a4-4ed2-812d-404b0b4e52f9 2012 22052ff7-c065-42ee-bc8f-c4691c50e624,0,0,0,0,0,0,0,0,2,1,0
bbd0942c-6f77-4f83-a6d0-66ec6548019e 2012 22052ff7-c065-42ee-bc8f-c4691c50e624,0,0,1,0,0,0,0,0,1,0,0
bd10efdf-d8e7-4e23-ab1a-1e42fb65131b 2012 22052ff7-c065-42ee-bc8f-c4691c50e624,0,0,4,3,0,0,0,0,2,0,0
