Key,Passing Avg Yards,Passing Blitzes,Passing Completion Pct,Passing Completions,Passing Defended Passes,Passing Dropped Passes,Passing Gross Yards,Passing Hurries,Passing Interceptions,Passing Knockdowns,Passing Longest,Passing Longest TD,Passing Net Yds,Passing Pocket Time,Passing Rating,Passing Redzone Attempts,Passing Sack Yds,Passing Sacks,Passing Spikes,Passing Throw Away,Passing Touchdowns,Passing Yards
0742d2ea-1cf2-49a6-a150-77ba6e034d8c 2012 768c92aa-75ff-4a43-bcc0-f2798c2e1724,6.733,165,60.593999999999994,306,0,37,3400,0,16,0,68,68,3239,0.0,83.3,5,161,30,0,0,24,3400
5812204c-6dae-4450-8011-99e0f72864ac 2012 4809ecb0-abd3-451d-9c4a-92a90b83ca06,6.806,183,58.263999999999996,282,0,36,3294,0,13,0,80,80,3060,0.0,76.1,5,234,35,0,0,12,3294
769d7178-df4e-4127-8166-8116165921e8 2012 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,42.0,0,100.0,1,0,0,42,0,0,0,42,0,42,0.0,118.8,0,0,0,0,0,0,42
e6c40f79-1bbd-4f62-9391-7f535f110c0d 2012 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,6.364,188,54.305,246,0,31,2883,0,18,0,66,33,2674,0.0,66.9,4,209,34,0,0,13,2883
41c44740-d0f6-44ab-8347-3b5d515e5ecf 2012 97354895-8c77-4fd4-a860-32e62ea7382a,7.577999999999999,173,62.951,401,0,47,4827,0,8,0,83,83,4645,0.0,98.7,3,182,27,0,0,34,4827
1726a359-9444-4761-a1f2-cb35ee6fa60e 2012 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,73.0,1,100.0,1,0,0,73,0,0,0,73,73,73,0.0,158.3,0,0,0,0,0,1,73
d2a0e5af-3850-4f16-8e40-a0b1d15c2ce1 2012 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,6.949,189,62.31100000000001,329,0,28,3669,0,16,0,59,59,3440,0.0,87.4,8,229,46,0,0,27,3669
01291a8d-d97c-4d88-b497-b5ad4b72f626 2012 d5a2eb42-8065-4174-ab79-0a6fa820e35e,6.547000000000001,176,57.446999999999996,297,0,38,3385,0,17,0,71,71,3199,0.0,72.6,6,186,28,0,0,14,3385
3699dfd9-d437-43f7-b674-adbb31e7e64b 2012 d5a2eb42-8065-4174-ab79-0a6fa820e35e,4.647,8,52.941,9,0,0,79,0,0,0,21,6,54,0.0,85.2,0,25,4,0,0,1,79
64797df2-efd3-4b27-86ee-1d48f7edb09f 2012 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,7.188,182,59.699,317,0,23,3817,0,10,0,61,61,3590,0.0,87.7,4,227,35,0,0,22,3817
7f3ef024-eb34-46af-8b9e-544cdf09378f 2012 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,6.172000000000001,9,58.621,17,0,2,179,0,1,0,25,0,149,0.0,62.3,0,30,3,0,0,0,179
