Key,Punt Returns Avg Yards,Punt Returns Fair Catches,Punt Returns Longest,Punt Returns Longest TD,Punt Returns Returns,Punt Returns Touchdowns,Punt Returns Yards
969a4d68-1d76-4e64-bfff-e898a9ac6bd4 2012 4809ecb0-abd3-451d-9c4a-92a90b83ca06,0.0,1,0,0,0,0,0
769d7178-df4e-4127-8166-8116165921e8 2012 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,10.947000000000001,36,68,68,19,1,208
2bb70d56-a79a-4fa1-ae37-99858a3ffd55 2012 97354895-8c77-4fd4-a860-32e62ea7382a,15.470999999999998,1,68,68,17,1,263
3289f9ce-e1d1-40ed-9d3f-242a1712c586 2012 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,8.905,11,32,0,21,0,187
4f0053fc-5559-4551-bd81-dcd1cdf3a9ec 2012 d5a2eb42-8065-4174-ab79-0a6fa820e35e,49.667,1,93,93,3,1,149
16e33176-b73e-49b7-b0aa-c405b47a706e 2012 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,6.778,8,29,0,27,0,183
fd4e8681-f2f4-47c7-b954-a72be9b1ca00 2012 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,10.333,9,63,0,9,0,93
b8426cea-f8b9-4061-8d56-e70d1230103e 2012 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,11.538,18,75,75,26,1,300
5ed2cea8-e0c6-482c-9ee1-548c06612226 2012 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,16.090999999999998,11,78,78,22,1,354
3e618eb6-41f2-4f20-ad70-2460f9366f43 2012 386bdbf9-9eea-4869-bb9a-274b0bc66e80,-3.0,0,-3,0,1,0,-3
3283f152-d373-43b3-b88f-f6f261c48e81 2012 a20471b4-a8d9-40c7-95ad-90cc30e46932,9.419,21,75,75,31,1,292
15b156b5-30cc-4070-b60a-1c09e62c5a9b 2012 0d855753-ea21-4953-89f9-0e20aff9eb73,7.957000000000001,14,37,0,23,0,183
b4ce3e07-7848-4da2-a33e-4f04ce540ba5 2012 0d855753-ea21-4953-89f9-0e20aff9eb73,2.0,2,2,0,1,0,2
3aef6950-1c19-4454-a3d0-0afe9634ea9f 2012 f0e724b0-4cbf-495a-be47-013907608da9,10.187999999999999,12,38,0,32,0,326
9691f874-be36-4529-a7eb-dde22ee4a848 2012 de760528-1dc0-416a-a978-b510d20692ff,5.0,0,10,0,3,0,15
c88d9352-b835-45ed-a909-1cfec09a58bc 2012 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,0.0,1,0,0,0,0,0
769d7178-df4e-4127-8166-8116165921e8 2013 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,8.846,5,24,0,13,0,115
2bb70d56-a79a-4fa1-ae37-99858a3ffd55 2013 97354895-8c77-4fd4-a860-32e62ea7382a,10.686,23,43,0,35,0,374
973bfe3c-6d0d-4130-a79c-f860650b1da6 2013 97354895-8c77-4fd4-a860-32e62ea7382a,13.0,0,13,0,1,0,13
3289f9ce-e1d1-40ed-9d3f-242a1712c586 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,9.333,16,43,0,36,0,336
4f0053fc-5559-4551-bd81-dcd1cdf3a9ec 2013 d5a2eb42-8065-4174-ab79-0a6fa820e35e,11.682,7,79,79,22,1,257
16e33176-b73e-49b7-b0aa-c405b47a706e 2013 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,12.780999999999999,23,67,67,32,1,409
b8426cea-f8b9-4061-8d56-e70d1230103e 2013 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,9.353,12,34,0,17,0,159
5ed2cea8-e0c6-482c-9ee1-548c06612226 2013 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,12.8,10,86,86,20,1,256
7092bb09-a161-4ab9-8d19-fdcf1a91bb3d 2013 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,6.8,3,14,0,10,0,68
3e618eb6-41f2-4f20-ad70-2460f9366f43 2013 386bdbf9-9eea-4869-bb9a-274b0bc66e80,5.071000000000001,8,32,0,14,0,71
0366fd06-19a3-4b69-8448-6bfbfad1250b 2013 22052ff7-c065-42ee-bc8f-c4691c50e624,5.143,1,11,0,7,0,36
c87f0526-a85d-439d-a447-070c66ede612 2013 22052ff7-c065-42ee-bc8f-c4691c50e624,0.0,1,0,0,1,0,0
3283f152-d373-43b3-b88f-f6f261c48e81 2013 a20471b4-a8d9-40c7-95ad-90cc30e46932,7.667000000000001,5,16,0,3,0,23
da85107c-365c-4d58-90ab-479d97d798b4 2013 33405046-04ee-4058-a950-d606f8c30852,0.0,1,0,0,0,0,0
3aef6950-1c19-4454-a3d0-0afe9634ea9f 2013 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,12.154000000000002,26,41,0,26,0,316
5707d2b0-ea9e-4a5e-8289-9d52197301d9 2013 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,0.0,0,0,0,1,0,0
15b156b5-30cc-4070-b60a-1c09e62c5a9b 2013 0d855753-ea21-4953-89f9-0e20aff9eb73,6.69,21,28,0,29,0,194
b4ce3e07-7848-4da2-a33e-4f04ce540ba5 2013 0d855753-ea21-4953-89f9-0e20aff9eb73,0.0,1,0,0,1,0,0
c88d9352-b835-45ed-a909-1cfec09a58bc 2013 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,11.470999999999998,14,71,0,51,0,585
618bedee-9259-4536-b0ff-fec98d2a20de 2014 768c92aa-75ff-4a43-bcc0-f2798c2e1724,11.0,0,11,0,1,0,11
06e41dc1-d5dc-4bdc-8fc3-e0d7c3a99ac4 2014 4809ecb0-abd3-451d-9c4a-92a90b83ca06,8.16,19,32,0,25,0,204
769d7178-df4e-4127-8166-8116165921e8 2014 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,7.96,13,41,0,25,0,199
2bb70d56-a79a-4fa1-ae37-99858a3ffd55 2014 97354895-8c77-4fd4-a860-32e62ea7382a,11.96,6,84,84,25,1,299
973bfe3c-6d0d-4130-a79c-f860650b1da6 2014 97354895-8c77-4fd4-a860-32e62ea7382a,8.25,5,39,0,16,0,132
3289f9ce-e1d1-40ed-9d3f-242a1712c586 2014 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,9.667,14,49,0,18,0,174
