Key,Player Name,Player Team,Season,Position,Games Played,Games Started,Season Age,Rec Receptions,Rec Red Zone Targets,Rec Touchdowns,Rec Yards,Fumbles,Lost Fumbles,Rush Attempts,Rush Avg Yards,Rush Red Zone Attempts,Rush Scrambles,Rush Touchdowns,Rush Yards,Passing Completion Pct,Passing Hurries,Passing Interceptions,Passing Redzone Attempts,Passing Touchdowns,Passing Yards,Field Goal Attempts,Field Goal Longest,Field Goal Made,Field Goal Yards,Extra Pts Attempts,Extra Pts Made
9d04accc-a404-406f-b93c-0878410e55a6 2012 97354895-8c77-4fd4-a860-32e62ea7382a,James Develin,Patriots,2012,FB,1,0,24,,,,,,,,,,,,,,,,,,,,,,,,
9d04accc-a404-406f-b93c-0878410e55a6 2013 97354895-8c77-4fd4-a860-32e62ea7382a,James Develin,Patriots,2013,FB,16,6,25,4.0,0.0,0.0,62.0,,,4.0,2.5,1.0,0.0,1.0,10.0,,,,,,,,,,,,
9d04accc-a404-406f-b93c-0878410e55a6 2014 97354895-8c77-4fd4-a860-32e62ea7382a,James Develin,Patriots,2014,FB,16,4,26,6.0,2.0,0.0,43.0,1.0,0.0,3.0,1.6669999999999998,2.0,0.0,0.0,5.0,,,,,,,,,,,,
9d04accc-a404-406f-b93c-0878410e55a6 2016 97354895-8c77-4fd4-a860-32e62ea7382a,James Develin,Patriots,2016,FB,16,4,28,3.0,1.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,
9d04accc-a404-406f-b93c-0878410e55a6 2017 97354895-8c77-4fd4-a860-32e62ea7382a,James Develin,Patriots,2017,FB,16,7,29,6.0,0.0,0.0,38.0,,,,,,,,,,,,,,,,,,,,
9d04accc-a404-406f-b93c-0878410e55a6 2018 97354895-8c77-4fd4-a860-32e62ea7382a,James Develin,Patriots,2018,FB,16,8,30,12.0,0.0,0.0,61.0,0.0,0.0,6.0,1.3330000000000002,1.0,0.0,4.0,8.0,,,,,,,,,,,,
349f647e-bfc3-4d84-af89-b33f8a08e26e 2012 6680d28d-d4d2-49f6-aace-5292d3ec02c2,Patrick DiMarco,Chiefs,2012,FB,5,4,23,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
349f647e-bfc3-4d84-af89-b33f8a08e26e 2013 e6aa13a4-0055-48a9-bc41-be28dc106929,Patrick DiMarco,Falcons,2013,FB,14,7,24,8.0,0.0,0.0,49.0,,,,,,,,,,,,,,,,,,,,
349f647e-bfc3-4d84-af89-b33f8a08e26e 2014 e6aa13a4-0055-48a9-bc41-be28dc106929,Patrick DiMarco,Falcons,2014,FB,16,7,25,9.0,4.0,1.0,62.0,0.0,0.0,,,,,,,,,,,,,,,,,,
349f647e-bfc3-4d84-af89-b33f8a08e26e 2015 e6aa13a4-0055-48a9-bc41-be28dc106929,Patrick DiMarco,Falcons,2015,FB,16,8,26,13.0,2.0,2.0,110.0,,,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,
