Key,Player Name,Player Team,Season,Position,Games Played,Games Started,Season Age,Rec Receptions,Rec Red Zone Targets,Rec Touchdowns,Rec Yards,Fumbles,Lost Fumbles,Rush Attempts,Rush Avg Yards,Rush Red Zone Attempts,Rush Scrambles,Rush Touchdowns,Rush Yards,Passing Completion Pct,Passing Hurries,Passing Interceptions,Passing Redzone Attempts,Passing Touchdowns,Passing Yards,Field Goal Attempts,Field Goal Longest,Field Goal Made,Field Goal Yards,Extra Pts Attempts,Extra Pts Made
a527b7db-0b52-4379-9e4c-2e08c1fe1bed 2012 97354895-8c77-4fd4-a860-32e62ea7382a,Stephen Gostkowski,Patriots,2012,K,16,0,28,,,,,,,,,,,,,,,,,,,35.0,53.0,29.0,1040.0,66.0,66.0
a527b7db-0b52-4379-9e4c-2e08c1fe1bed 2013 97354895-8c77-4fd4-a860-32e62ea7382a,Stephen Gostkowski,Patriots,2013,K,16,0,29,,,,,,,,,,,,,,,,,,,41.0,54.0,38.0,1401.0,44.0,44.0
a527b7db-0b52-4379-9e4c-2e08c1fe1bed 2014 97354895-8c77-4fd4-a860-32e62ea7382a,Stephen Gostkowski,Patriots,2014,K,16,0,30,,,,,,,,,,,,,,,,,,,37.0,53.0,35.0,1243.0,51.0,51.0
a527b7db-0b52-4379-9e4c-2e08c1fe1bed 2015 97354895-8c77-4fd4-a860-32e62ea7382a,Stephen Gostkowski,Patriots,2015,K,16,0,31,,,,,,,,,,,,,,,,,,,36.0,57.0,33.0,1269.0,52.0,52.0
a527b7db-0b52-4379-9e4c-2e08c1fe1bed 2016 97354895-8c77-4fd4-a860-32e62ea7382a,Stephen Gostkowski,Patriots,2016,K,16,0,32,,,,,,,,,,,,,,,,,,,32.0,53.0,27.0,961.0,49.0,46.0
a527b7db-0b52-4379-9e4c-2e08c1fe1bed 2017 97354895-8c77-4fd4-a860-32e62ea7382a,Stephen Gostkowski,Patriots,2017,K,16,0,33,,,,,,,,,,,,,,,,,,,40.0,62.0,37.0,1287.0,47.0,45.0
a527b7db-0b52-4379-9e4c-2e08c1fe1bed 2018 97354895-8c77-4fd4-a860-32e62ea7382a,Stephen Gostkowski,Patriots,2018,K,16,0,34,,,,,,,,,,,,,,,,,,,32.0,52.0,27.0,911.0,50.0,49.0
e017e12b-07a7-4a35-b837-2faa9ffe3ce8 2012 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Mike Nugent,Bengals,2012,K,12,0,30,,,,,,,,,,,,,,,,,,,23.0,55.0,19.0,668.0,35.0,35.0
e017e12b-07a7-4a35-b837-2faa9ffe3ce8 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Mike Nugent,Bengals,2013,K,16,0,31,,,,,,,,,,,,,,,,,,,22.0,54.0,18.0,733.0,52.0,52.0
e017e12b-07a7-4a35-b837-2faa9ffe3ce8 2014 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Mike Nugent,Bengals,2014,K,16,0,32,,,,,,,,,,,,,,,,,,,33.0,49.0,26.0,943.0,39.0,39.0
e017e12b-07a7-4a35-b837-2faa9ffe3ce8 2015 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Mike Nugent,Bengals,2015,K,16,0,33,,,,,,,,,,,,,,,,,,,28.0,52.0,23.0,856.0,48.0,48.0
e017e12b-07a7-4a35-b837-2faa9ffe3ce8 2016 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Mike Nugent,Bengals,2016,K,13,0,34,,,,,,,,,,,,,,,,,,,29.0,47.0,23.0,746.0,29.0,23.0
e017e12b-07a7-4a35-b837-2faa9ffe3ce8 2017 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,Mike Nugent,Cowboys,2017,K,4,0,35,,,,,,,,,,,,,,,,,,,9.0,48.0,7.0,270.0,8.0,8.0
