Key,Player Name,Player Team,Season,Position,Games Played,Games Started,Season Age,Rec Receptions,Rec Red Zone Targets,Rec Touchdowns,Rec Yards,Fumbles,Lost Fumbles,Rush Attempts,Rush Avg Yards,Rush Red Zone Attempts,Rush Scrambles,Rush Touchdowns,Rush Yards,Passing Completion Pct,Passing Hurries,Passing Interceptions,Passing Redzone Attempts,Passing Touchdowns,Passing Yards,Field Goal Attempts,Field Goal Longest,Field Goal Made,Field Goal Yards,Extra Pts Attempts,Extra Pts Made
a212c5d8-67f8-48b9-99be-2c121ee56366 2012 4809ecb0-abd3-451d-9c4a-92a90b83ca06,Lamar Miller,Dolphins,2012,RB,13,1,21,6.0,1.0,0.0,45.0,,,51.0,4.902,0.0,0.0,1.0,250.0,,,,,,,,,,,,
a212c5d8-67f8-48b9-99be-2c121ee56366 2013 4809ecb0-abd3-451d-9c4a-92a90b83ca06,Lamar Miller,Dolphins,2013,RB,16,15,22,26.0,5.0,0.0,170.0,1.0,1.0,177.0,4.006,18.0,0.0,2.0,709.0,,,,,,,,,,,,
a212c5d8-67f8-48b9-99be-2c121ee56366 2014 4809ecb0-abd3-451d-9c4a-92a90b83ca06,Lamar Miller,Dolphins,2014,RB,16,16,23,38.0,8.0,1.0,275.0,3.0,3.0,216.0,5.088,44.0,0.0,8.0,1099.0,,,,,,,,,,,,
a212c5d8-67f8-48b9-99be-2c121ee56366 2015 4809ecb0-abd3-451d-9c4a-92a90b83ca06,Lamar Miller,Dolphins,2015,RB,16,16,24,47.0,4.0,2.0,397.0,1.0,1.0,194.0,4.495,19.0,0.0,8.0,872.0,,,,,,,,,,,,
a212c5d8-67f8-48b9-99be-2c121ee56366 2016 82d2d380-3834-4938-835f-aec541e5ece7,Lamar Miller,Texans,2016,RB,14,14,25,31.0,2.0,1.0,188.0,2.0,1.0,268.0,4.004,10.0,0.0,5.0,1073.0,,,,,,,,,,,,
a212c5d8-67f8-48b9-99be-2c121ee56366 2017 82d2d380-3834-4938-835f-aec541e5ece7,Lamar Miller,Texans,2017,RB,16,13,26,36.0,3.0,3.0,327.0,1.0,0.0,238.0,3.731,5.0,0.0,3.0,888.0,,,,,,,,,,,,
a212c5d8-67f8-48b9-99be-2c121ee56366 2018 82d2d380-3834-4938-835f-aec541e5ece7,Lamar Miller,Texans,2018,RB,14,14,27,25.0,1.0,1.0,163.0,1.0,1.0,210.0,4.633,9.0,0.0,5.0,973.0,,,,,,,,,,,,
4a38cda2-e92f-47f8-b324-0c34e09d83f2 2012 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,Bilal Powell,Jets,2012,RB,14,2,24,17.0,1.0,0.0,140.0,0.0,0.0,110.0,3.973,7.0,0.0,4.0,437.0,,,,,,,,,,,,
4a38cda2-e92f-47f8-b324-0c34e09d83f2 2013 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,Bilal Powell,Jets,2013,RB,16,11,25,36.0,3.0,0.0,272.0,1.0,0.0,176.0,3.96,18.0,0.0,1.0,697.0,100.0,0.0,0.0,0.0,0.0,30.0,,,,,,
4a38cda2-e92f-47f8-b324-0c34e09d83f2 2014 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,Bilal Powell,Jets,2014,RB,15,1,26,11.0,3.0,0.0,92.0,0.0,0.0,33.0,4.273,6.0,0.0,1.0,141.0,,,,,,,,,,,,
4a38cda2-e92f-47f8-b324-0c34e09d83f2 2015 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,Bilal Powell,Jets,2015,RB,11,2,27,47.0,7.0,2.0,388.0,2.0,0.0,70.0,4.471,7.0,0.0,1.0,313.0,,,,,,,,,,,,
4a38cda2-e92f-47f8-b324-0c34e09d83f2 2016 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,Bilal Powell,Jets,2016,RB,16,4,28,58.0,6.0,2.0,388.0,1.0,1.0,131.0,5.511,7.0,0.0,3.0,722.0,,,,,,,,,,,,
4a38cda2-e92f-47f8-b324-0c34e09d83f2 2017 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,Bilal Powell,Jets,2017,RB,15,10,29,23.0,1.0,0.0,170.0,1.0,1.0,178.0,4.337,6.0,0.0,5.0,772.0,,,,,,,,,,,,
4a38cda2-e92f-47f8-b324-0c34e09d83f2 2018 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,Bilal Powell,Jets,2018,RB,7,7,30,11.0,0.0,1.0,110.0,2.0,1.0,80.0,4.288,2.0,0.0,0.0,343.0,,,,,,,,,,,,
170b4c5f-a345-4899-8d81-e8982b0f3d65 2012 97354895-8c77-4fd4-a860-32e62ea7382a,Stevan Ridley,Patriots,2012,RB,16,12,23,6.0,0.0,0.0,51.0,4.0,2.0,290.0,4.355,3.0,0.0,12.0,1263.0,,,,,,,,,,,,
170b4c5f-a345-4899-8d81-e8982b0f3d65 2013 97354895-8c77-4fd4-a860-32e62ea7382a,Stevan Ridley,Patriots,2013,RB,14,6,24,10.0,1.0,0.0,62.0,4.0,4.0,178.0,4.343,31.0,0.0,7.0,773.0,,,,,,,,,,,,
170b4c5f-a345-4899-8d81-e8982b0f3d65 2014 97354895-8c77-4fd4-a860-32e62ea7382a,Stevan Ridley,Patriots,2014,RB,6,5,25,4.0,0.0,0.0,20.0,,,94.0,3.617,13.0,0.0,2.0,340.0,,,,,,,,,,,,
170b4c5f-a345-4899-8d81-e8982b0f3d65 2015 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,Stevan Ridley,Jets,2015,RB,8,1,26,4.0,1.0,0.0,-2.0,,,36.0,2.5,3.0,0.0,0.0,90.0,,,,,,,,,,,,
170b4c5f-a345-4899-8d81-e8982b0f3d65 2016 e6aa13a4-0055-48a9-bc41-be28dc106929,Stevan Ridley,Falcons,2016,RB,1,0,27,,,,,,,3.0,2.333,0.0,0.0,0.0,7.0,,,,,,,,,,,,
170b4c5f-a345-4899-8d81-e8982b0f3d65 2017 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,Stevan Ridley,Steelers,2017,RB,2,1,28,,,,,,,26.0,4.154,1.0,0.0,1.0,108.0,,,,,,,,,,,,
170b4c5f-a345-4899-8d81-e8982b0f3d65 2018 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,Stevan Ridley,Steelers,2018,RB,10,0,29,3.0,0.0,0.0,18.0,2.0,2.0,29.0,2.759,1.0,0.0,1.0,80.0,,,,,,,,,,,,
dba5e3ec-2c77-4f65-ad6e-cee246f816ef 2012 97354895-8c77-4fd4-a860-32e62ea7382a,Brandon Bolden,Patriots,2012,RB,10,0,22,2.0,0.0,0.0,11.0,,,56.0,4.893,0.0,0.0,2.0,274.0,,,,,,,,,,,,
dba5e3ec-2c77-4f65-ad6e-cee246f816ef 2013 97354895-8c77-4fd4-a860-32e62ea7382a,Brandon Bolden,Patriots,2013,RB,12,2,23,21.0,0.0,0.0,152.0,,,55.0,4.927,16.0,0.0,3.0,271.0,,,,,,,,,,,,
dba5e3ec-2c77-4f65-ad6e-cee246f816ef 2014 97354895-8c77-4fd4-a860-32e62ea7382a,Brandon Bolden,Patriots,2014,RB,16,2,24,2.0,0.0,0.0,8.0,0.0,0.0,28.0,3.179,7.0,0.0,1.0,89.0,,,,,,,,,,,,
dba5e3ec-2c77-4f65-ad6e-cee246f816ef 2015 97354895-8c77-4fd4-a860-32e62ea7382a,Brandon Bolden,Patriots,2015,RB,15,2,25,19.0,1.0,2.0,180.0,0.0,0.0,63.0,3.286,7.0,0.0,0.0,207.0,,,,,,,,,,,,
dba5e3ec-2c77-4f65-ad6e-cee246f816ef 2016 97354895-8c77-4fd4-a860-32e62ea7382a,Brandon Bolden,Patriots,2016,RB,14,0,26,2.0,0.0,0.0,15.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,
