Key,Player Name,Player Team,Season,Position,Games Played,Games Started,Season Age,Rec Receptions,Rec Red Zone Targets,Rec Touchdowns,Rec Yards,Fumbles,Lost Fumbles,Rush Attempts,Rush Avg Yards,Rush Red Zone Attempts,Rush Scrambles,Rush Touchdowns,Rush Yards,Passing Completion Pct,Passing Hurries,Passing Interceptions,Passing Redzone Attempts,Passing Touchdowns,Passing Yards,Field Goal Attempts,Field Goal Longest,Field Goal Made,Field Goal Yards,Extra Pts Attempts,Extra Pts Made
cf23126f-055b-4617-819b-bb4bcb84541a 2012 768c92aa-75ff-4a43-bcc0-f2798c2e1724,Lee Smith,Bills,2012,TE,16,7,25,4.0,1.0,2.0,13.0,,,,,,,,,,,,,,,,,,,,
cf23126f-055b-4617-819b-bb4bcb84541a 2013 768c92aa-75ff-4a43-bcc0-f2798c2e1724,Lee Smith,Bills,2013,TE,16,14,26,5.0,1.0,0.0,78.0,,,,,,,,,,,,,,,,,,,,
cf23126f-055b-4617-819b-bb4bcb84541a 2014 768c92aa-75ff-4a43-bcc0-f2798c2e1724,Lee Smith,Bills,2014,TE,14,10,27,7.0,1.0,1.0,42.0,,,,,,,,,,,,,,,,,,,,
cf23126f-055b-4617-819b-bb4bcb84541a 2015 1c1cec48-6352-4556-b789-35304c1a6ae1,Lee Smith,Raiders,2015,TE,15,15,28,12.0,1.0,1.0,70.0,,,,,,,,,,,,,,,,,,,,
cf23126f-055b-4617-819b-bb4bcb84541a 2016 1c1cec48-6352-4556-b789-35304c1a6ae1,Lee Smith,Raiders,2016,TE,4,4,29,6.0,0.0,0.0,29.0,,,,,,,,,,,,,,,,,,,,
cf23126f-055b-4617-819b-bb4bcb84541a 2017 1c1cec48-6352-4556-b789-35304c1a6ae1,Lee Smith,Raiders,2017,TE,16,9,30,8.0,0.0,0.0,76.0,,,,,,,,,,,,,,,,,,,,
cf23126f-055b-4617-819b-bb4bcb84541a 2018 1c1cec48-6352-4556-b789-35304c1a6ae1,Lee Smith,Raiders,2018,TE,16,4,31,10.0,3.0,3.0,73.0,,,,,,,,,,,,,,,,,,,,
04ca4fb9-194e-47fe-8fc8-adb5790a8e78 2012 4809ecb0-abd3-451d-9c4a-92a90b83ca06,Charles Clay,Dolphins,2012,TE,14,9,23,18.0,0.0,2.0,212.0,,,,,,,,,,,,,,,,,,,,
04ca4fb9-194e-47fe-8fc8-adb5790a8e78 2013 4809ecb0-abd3-451d-9c4a-92a90b83ca06,Charles Clay,Dolphins,2013,TE,16,15,24,69.0,15.0,6.0,759.0,,,7.0,2.143,3.0,0.0,1.0,15.0,,,,,,,,,,,,
04ca4fb9-194e-47fe-8fc8-adb5790a8e78 2014 4809ecb0-abd3-451d-9c4a-92a90b83ca06,Charles Clay,Dolphins,2014,TE,14,14,25,58.0,19.0,3.0,605.0,0.0,0.0,,,,,,,,,,,,,,,,,,
