Key,Player Name,Player Team,Season,Position,Games Played,Games Started,Season Age,Rec Receptions,Rec Red Zone Targets,Rec Touchdowns,Rec Yards,Fumbles,Lost Fumbles,Rush Attempts,Rush Avg Yards,Rush Red Zone Attempts,Rush Scrambles,Rush Touchdowns,Rush Yards,Passing Completion Pct,Passing Hurries,Passing Interceptions,Passing Redzone Attempts,Passing Touchdowns,Passing Yards,Field Goal Attempts,Field Goal Longest,Field Goal Made,Field Goal Yards,Extra Pts Attempts,Extra Pts Made
8fc65820-f565-44e2-8635-3e1cdf165bf6 2012 768c92aa-75ff-4a43-bcc0-f2798c2e1724,Chris Hogan,Bills,2012,WR,0,0,25,,,,,,,,,,,,,,,,,,,,,,,,
8fc65820-f565-44e2-8635-3e1cdf165bf6 2013 768c92aa-75ff-4a43-bcc0-f2798c2e1724,Chris Hogan,Bills,2013,WR,16,0,26,10.0,0.0,0.0,83.0,,,,,,,,,,,,,,,,,,,,
8fc65820-f565-44e2-8635-3e1cdf165bf6 2014 768c92aa-75ff-4a43-bcc0-f2798c2e1724,Chris Hogan,Bills,2014,WR,16,2,27,41.0,9.0,4.0,426.0,2.0,2.0,,,,,,,,,,,,,,,,,,
8fc65820-f565-44e2-8635-3e1cdf165bf6 2015 768c92aa-75ff-4a43-bcc0-f2798c2e1724,Chris Hogan,Bills,2015,WR,16,4,28,36.0,5.0,2.0,450.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,4.0,100.0,0.0,0.0,1.0,0.0,4.0,,,,,,
8fc65820-f565-44e2-8635-3e1cdf165bf6 2016 97354895-8c77-4fd4-a860-32e62ea7382a,Chris Hogan,Patriots,2016,WR,15,14,29,38.0,5.0,4.0,680.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,
8fc65820-f565-44e2-8635-3e1cdf165bf6 2017 97354895-8c77-4fd4-a860-32e62ea7382a,Chris Hogan,Patriots,2017,WR,9,7,30,34.0,5.0,5.0,439.0,,,3.0,5.667000000000002,0.0,0.0,0.0,17.0,,,,,,,,,,,,
8fc65820-f565-44e2-8635-3e1cdf165bf6 2018 97354895-8c77-4fd4-a860-32e62ea7382a,Chris Hogan,Patriots,2018,WR,16,7,31,35.0,3.0,3.0,532.0,0.0,0.0,,,,,,,,,,,,,,,,,,
969a4d68-1d76-4e64-bfff-e898a9ac6bd4 2012 4809ecb0-abd3-451d-9c4a-92a90b83ca06,Rishard Matthews,Dolphins,2012,WR,8,1,23,11.0,0.0,0.0,151.0,,,,,,,,,,,,,,,,,,,,
969a4d68-1d76-4e64-bfff-e898a9ac6bd4 2013 4809ecb0-abd3-451d-9c4a-92a90b83ca06,Rishard Matthews,Dolphins,2013,WR,16,5,24,41.0,5.0,2.0,448.0,,,,,,,,,,,,,,,,,,,,
969a4d68-1d76-4e64-bfff-e898a9ac6bd4 2014 4809ecb0-abd3-451d-9c4a-92a90b83ca06,Rishard Matthews,Dolphins,2014,WR,14,0,25,12.0,3.0,2.0,135.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,
969a4d68-1d76-4e64-bfff-e898a9ac6bd4 2015 4809ecb0-abd3-451d-9c4a-92a90b83ca06,Rishard Matthews,Dolphins,2015,WR,11,11,26,43.0,1.0,4.0,662.0,,,1.0,4.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,
969a4d68-1d76-4e64-bfff-e898a9ac6bd4 2016 d26a1ca5-722d-4274-8f97-c92e49c96315,Rishard Matthews,Titans,2016,WR,16,9,27,65.0,10.0,9.0,945.0,1.0,1.0,,,,,,,,,,,,,,,,,,
969a4d68-1d76-4e64-bfff-e898a9ac6bd4 2017 d26a1ca5-722d-4274-8f97-c92e49c96315,Rishard Matthews,Titans,2017,WR,14,11,28,53.0,3.0,4.0,795.0,,,1.0,-3.0,0.0,0.0,0.0,-3.0,,,,,,,,,,,,
969a4d68-1d76-4e64-bfff-e898a9ac6bd4 2018 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,Rishard Matthews,Jets,2018,WR,5,0,29,2.0,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,
969a4d68-1d76-4e64-bfff-e898a9ac6bd4 2018 d26a1ca5-722d-4274-8f97-c92e49c96315,Rishard Matthews,Titans,2018,WR,3,0,29,3.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,
