,Player Season,Player ID,Team ID,Rush Attempts,Rush Avg Yards,Rush Broken Tackles,Rush Kneel Downs,Rush Longest,Rush Longest TD,Rush Red Zone Attempts,Rush Scrambles,Rush Tackles for Loss,Rush Tackles for Loss Yards,Rush Touchdowns,Rush Yards,Rush Yards After Contact
0,2012,0742d2ea-1cf2-49a6-a150-77ba6e034d8c,768c92aa-75ff-4a43-bcc0-f2798c2e1724,48,4.104,0,10,20,1,0,0,1,-1,1,197,50
1,2012,5812204c-6dae-4450-8011-99e0f72864ac,4809ecb0-abd3-451d-9c4a-92a90b83ca06,49,4.306,0,16,31,2,0,0,3,-8,2,211,64
2,2012,a212c5d8-67f8-48b9-99be-2c121ee56366,4809ecb0-abd3-451d-9c4a-92a90b83ca06,51,4.902,0,0,28,15,0,0,2,-2,1,250,140
3,2012,4a38cda2-e92f-47f8-b324-0c34e09d83f2,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,110,3.973,0,0,18,11,7,0,9,-16,4,437,197
4,2012,769d7178-df4e-4127-8166-8116165921e8,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5,1.6,0,0,5,0,0,0,1,-1,0,8,7
5,2012,e6c40f79-1bbd-4f62-9391-7f535f110c0d,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,22,1.273,0,5,8,0,0,0,1,-8,0,28,14
6,2012,170b4c5f-a345-4899-8d81-e8982b0f3d65,97354895-8c77-4fd4-a860-32e62ea7382a,290,4.355,0,0,41,14,3,0,30,-58,12,1263,716
7,2012,2bb70d56-a79a-4fa1-ae37-99858a3ffd55,97354895-8c77-4fd4-a860-32e62ea7382a,4,11.25,0,0,47,0,0,0,1,-13,0,45,19
8,2012,41c44740-d0f6-44ab-8347-3b5d515e5ecf,97354895-8c77-4fd4-a860-32e62ea7382a,23,1.391,0,9,7,4,0,0,2,-2,4,32,9
9,2012,dba5e3ec-2c77-4f65-ad6e-cee246f816ef,97354895-8c77-4fd4-a860-32e62ea7382a,56,4.893,0,0,27,7,0,0,11,-23,2,274,162
10,2012,1726a359-9444-4761-a1f2-cb35ee6fa60e,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,5,3.0,0,0,7,0,0,0,1,-4,0,15,10
11,2012,1a2fbc23-e6db-4d2f-a152-2c774341b7c4,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,3,15.667,0,0,37,0,0,0,0,0,0,47,10
12,2012,3289f9ce-e1d1-40ed-9d3f-242a1712c586,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,1,0.0,0,0,0,0,0,0,0,0,0,0,2
13,2012,c9701373-23f6-4058-9189-8d9c085f3c49,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,4,9.5,0,0,20,0,0,0,0,0,0,38,5
14,2012,d2a0e5af-3850-4f16-8e40-a0b1d15c2ce1,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,47,2.553,0,18,17,11,0,0,0,0,4,120,66
15,2012,01291a8d-d97c-4d88-b497-b5ad4b72f626,d5a2eb42-8065-4174-ab79-0a6fa820e35e,27,4.111,0,5,25,0,0,0,0,0,0,111,93
16,2012,3699dfd9-d437-43f7-b674-adbb31e7e64b,d5a2eb42-8065-4174-ab79-0a6fa820e35e,4,3.75,0,2,15,0,0,0,0,0,0,15,19
17,2012,4f0053fc-5559-4551-bd81-dcd1cdf3a9ec,d5a2eb42-8065-4174-ab79-0a6fa820e35e,6,11.0,0,0,35,0,0,0,0,0,0,66,54
18,2012,64797df2-efd3-4b27-86ee-1d48f7edb09f,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,32,0.688,0,14,16,1,2,0,2,-11,3,22,17
19,2012,7f3ef024-eb34-46af-8b9e-544cdf09378f,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,14,5.214,0,3,28,1,2,0,0,0,1,73,61
20,2012,a735765c-3ca8-4557-b06e-a30fd415982c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,3,3.0,0,0,13,0,0,0,1,-4,0,9,8
21,2012,16e33176-b73e-49b7-b0aa-c405b47a706e,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,7,3.429,0,0,13,0,1,0,1,-13,0,24,16
22,2012,b37b5be9-4771-4368-988f-fb936f4fc0ad,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,5,1.4,0,0,13,0,0,0,2,-7,0,7,12
23,2012,ea357add-1a41-4a8b-8f34-bbfade7f4d98,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,26,3.538,0,8,14,0,0,0,0,0,0,92,19
24,2012,fd4e8681-f2f4-47c7-b954-a72be9b1ca00,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,1,4.0,0,0,4,0,0,0,0,0,0,4,2
25,2012,b8426cea-f8b9-4061-8d56-e70d1230103e,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,5,5.8,0,0,19,0,0,0,1,-2,0,29,15
26,2012,cc745cc3-d52a-454b-98c8-ac9155a9405c,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,3,1.667,0,0,3,0,0,0,0,0,0,5,2
27,2012,e3181493-6a2a-4e95-aa6f-3fc1ddeb7512,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,62,4.113,0,19,19,5,3,0,0,0,5,255,102
28,2012,de816e24-8442-49a4-99cd-dde7e7c05863,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,18,3.111,0,2,10,0,0,0,0,0,0,56,23
29,2012,f55053e4-4bfd-495d-981a-d62e3662f01b,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,19,3.368,0,3,15,1,0,0,0,0,1,64,25
30,2012,1f09583f-dcc1-43e8-a7fc-f063d2c96508,82d2d380-3834-4938-835f-aec541e5ece7,21,-0.429,0,16,8,0,0,0,0,0,0,-9,0
31,2012,441e8866-33f1-4820-9fa3-3aa2c7535975,d26a1ca5-722d-4274-8f97-c92e49c96315,1,4.0,0,0,4,0,0,0,0,0,0,4,4
32,2012,0847010c-9a77-4f0b-9d63-c8b4b224d263,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,8,-1.625,0,8,-1,0,0,0,0,0,0,-13,0
33,2012,8263e101-aa33-435f-bf0f-388e1c4eeb59,6680d28d-d4d2-49f6-aace-5292d3ec02c2,27,5.37,0,3,21,5,0,0,0,0,1,145,52
34,2012,aca06a5e-0e3a-4285-a025-199f8fa0376f,6680d28d-d4d2-49f6-aace-5292d3ec02c2,285,5.295,0,0,91,91,2,0,36,-98,5,1509,634
35,2012,adadafa1-dc37-486d-8538-7db1e1b5f71e,1c1cec48-6352-4556-b789-35304c1a6ae1,6,3.5,0,0,7,0,0,0,0,0,0,21,10
36,2012,af48c3f0-040b-40f9-95ab-6ebcb4c16cf8,1c1cec48-6352-4556-b789-35304c1a6ae1,10,5.1,0,0,9,3,3,0,1,-1,1,51,15
37,2012,c456e060-d4d8-46cb-acf4-296edfb4f7bd,1c1cec48-6352-4556-b789-35304c1a6ae1,2,8.0,0,0,20,0,0,0,1,-4,0,16,16
38,2012,166292fc-629e-4c7b-b7bf-f572ca9eeb43,386bdbf9-9eea-4869-bb9a-274b0bc66e80,200,4.2,0,0,34,2,2,0,27,-67,2,840,504
39,2012,3e618eb6-41f2-4f20-ad70-2460f9366f43,386bdbf9-9eea-4869-bb9a-274b0bc66e80,3,-2.333,0,0,5,0,0,0,1,-14,0,-7,2
40,2012,b25ba2bd-80bd-4295-9034-cf9242fb207b,386bdbf9-9eea-4869-bb9a-274b0bc66e80,13,5.308,0,0,17,17,0,0,1,-4,1,69,38
41,2012,c8232b55-6617-4dd9-a7cf-cf14cd9a29ab,386bdbf9-9eea-4869-bb9a-274b0bc66e80,11,3.818,0,0,14,10,1,0,0,0,1,42,10
42,2012,6cb6226e-f08c-4192-95f1-69709ed686c6,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,20,1.5,0,10,13,0,0,0,0,0,0,30,15
43,2012,38f5843a-8318-4eb7-b517-c83d415e77a4,22052ff7-c065-42ee-bc8f-c4691c50e624,1,-1.0,0,0,-1,0,0,0,1,-1,0,-1,1
44,2012,8dfb370d-460c-4bfc-9d62-888687248783,22052ff7-c065-42ee-bc8f-c4691c50e624,120,6.792,0,9,76,76,1,0,8,-36,7,815,260
45,2012,a824d9ff-12a4-4ed2-812d-404b0b4e52f9,22052ff7-c065-42ee-bc8f-c4691c50e624,2,4.5,0,0,7,0,0,0,0,0,0,9,6
46,2012,b030b668-0f41-484f-8e94-9fc576b8af63,22052ff7-c065-42ee-bc8f-c4691c50e624,1,14.0,0,0,14,0,0,0,0,0,0,14,7
