,Season,Team ID,TKey,3D Attempt,3D Successes,3D Pct,4D Attempt,4D Successes,4D Pct,Goal to Go Attempts,Goal to Go Successes,Goal to Go Pct,RedZone Attempts,RedZone Successes,RedZone Pct
0,2012,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242012,198,77,38.889,8,5,62.5,20,14,70.0,48,24,50.0
1,2012,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062012,207,78,37.681,15,5,33.333,19,15,78.947,38,21,55.263
2,2012,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32012,217,80,36.866,14,7,50.0,22,14,63.636,47,23,48.936
3,2012,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2012,226,110,48.673,12,8,66.667,49,39,79.592,70,49,70.0
4,2012,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232012,217,74,34.101,16,11,68.75,28,19,67.857,57,31,54.386
5,2012,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2012,218,67,30.734,16,7,43.75,21,15,71.429,39,17,43.59
6,2012,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2012,217,80,36.866,14,6,42.857,24,18,75.0,49,28,57.143
7,2012,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982012,224,94,41.964,13,6,46.154,24,20,83.333,49,27,55.102
8,2012,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92012,229,98,42.795,8,7,87.5,25,20,80.0,48,26,54.167
9,2012,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2012,216,64,29.63,26,8,30.769,18,12,66.667,36,16,44.444
10,2012,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72012,221,83,37.557,7,4,57.143,33,24,72.727,57,32,56.14
