,Season,Team ID,TKey,Fumble End Zone Touch Downs,Forced Fumbles,Fumbles,Lost Fumbles,Fumbles Opponent Recovery,Fumbles Opponent Recovery Touchdowns,Fumbles Opponent Recovery Yards,Fumbles Out of Bounds,Fumbles Own Recovery,Fumbles Own Recovery Touchdowns,Fumbles Own Recovery Yards
0,2012,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242012,0,21,23,17,9,0,8,0,6,0,-15
1,2012,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062012,0,15,25,13,6,0,21,3,9,0,-8
2,2012,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32012,0,14,32,18,12,1,82,1,13,0,-14
3,2012,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2012,0,30,14,7,21,3,82,3,4,1,-3
4,2012,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232012,0,16,19,10,16,1,53,1,8,0,-11
5,2012,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2012,0,16,22,8,12,0,39,1,13,0,-21
6,2012,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2012,0,10,14,5,12,0,45,1,8,0,2
7,2012,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982012,0,15,33,16,10,0,25,4,13,0,-14
8,2012,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92012,0,6,21,9,3,0,4,2,10,0,-3
9,2012,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2012,0,12,20,9,11,0,0,2,9,0,-2
10,2012,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72012,0,17,12,4,14,0,40,1,7,0,-2
11,2012,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152012,0,13,21,12,5,1,78,3,6,0,-6
12,2012,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02012,0,19,22,14,8,1,77,2,6,0,0
13,2012,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22012,0,14,26,17,6,1,80,1,8,0,-12
14,2012,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12012,0,9,22,10,8,0,4,1,11,0,-53
15,2012,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602012,1,14,20,10,9,2,56,0,10,0,-12
16,2012,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802012,0,13,37,22,5,0,4,2,13,0,-59
17,2012,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2012,0,16,13,6,14,1,105,0,7,0,1
18,2012,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242012,0,12,26,6,9,1,60,3,17,2,-2
19,2012,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82012,0,26,20,8,20,1,26,0,12,0,-6
20,2012,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2012,0,11,24,16,6,0,0,3,5,0,-7
21,2012,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322012,0,8,16,8,5,1,46,0,8,0,-6
22,2012,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522012,0,16,21,11,12,0,3,2,8,0,-12
23,2012,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692012,0,11,16,6,8,0,5,1,9,0,-12
24,2012,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292012,0,15,9,4,11,1,69,2,3,0,-2
25,2012,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142012,0,17,22,10,12,0,11,2,10,1,-8
26,2012,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732012,0,11,13,5,11,0,1,3,6,0,1
27,2012,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92012,0,15,26,8,11,1,145,3,15,1,-9
28,2012,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2012,0,13,25,13,11,1,155,2,10,0,0
29,2012,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82012,1,18,16,8,13,1,49,1,7,0,-19
30,2013,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242013,0,12,32,12,6,1,88,3,17,0,-10
31,2013,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062013,0,10,16,7,6,0,0,1,8,0,-32
32,2013,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32013,0,10,15,7,2,0,0,0,8,0,-33
33,2013,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2013,1,11,24,9,12,1,49,0,15,0,-10
34,2013,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232013,0,13,20,10,11,1,110,1,9,1,38
35,2013,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2013,0,8,17,9,7,1,58,2,6,0,-12
36,2013,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2013,0,14,15,6,7,0,7,0,9,0,-20
37,2013,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982013,0,16,16,10,10,0,87,0,6,0,0
38,2013,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92013,0,19,14,4,12,0,39,4,6,0,6
