,Season,Team ID,TKey,Punt Attempts,Punt Avg Hang Time,Punt Avg Net Yards,Punt Avg Yards,Punt Blocked,Punt Hangtime,Punt Inside 20,Punt Longest,Punt Net Yards,Punt Return Yards,Punt Touchbacks,Punt Yards
0,2012,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242012,80,4.146,37.063,44.275,0,331.70000000000005,25,66,2965,517,3,3542
1,2012,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062012,76,4.254,40.724,49.724,0,323.34000000000003,30,67,3095,484,10,3779
2,2012,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32012,86,4.387,39.44,45.81,2,368.50000000000006,27,61,3313,375,8,3848
3,2012,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2012,61,4.308,38.517,43.083,1,258.5,28,62,2311,154,6,2585
4,2012,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232012,76,4.297,41.974,46.579,0,326.54999999999995,33,69,3190,210,7,3540
5,2012,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2012,90,4.26,37.144,41.844,0,383.4,29,58,3343,343,4,3766
6,2012,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2012,83,4.325,40.819,47.12,0,359.0,28,60,3388,383,7,3911
7,2012,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982012,79,4.258,38.128,43.59,1,332.0999999999999,27,79,2974,306,6,3400
8,2012,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92012,74,4.429,40.89,48.219,1,323.3,26,64,2985,375,8,3520
9,2012,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2012,92,4.441,41.297,47.835,1,404.1,31,73,3758,495,5,4353
10,2012,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72012,88,4.52,40.534,47.159,0,397.8,28,66,3567,483,5,4150
11,2012,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152012,83,4.396,41.358,47.593,2,356.06,30,71,3350,405,5,3855
