Key,3D Attempt,3D Successes,3D Pct,4D Attempt,4D Successes,4D Pct,Goal to Go Attempts,Goal to Go Successes,Goal to Go Pct,RedZone Attempts,RedZone Successes,RedZone Pct
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2012,198,77,38.889,8,5,62.5,20,14,70.0,48,24,50.0
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2012,207,78,37.681,15,5,33.333,19,15,78.947,38,21,55.263000000000005
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2012,217,80,36.866,14,7,50.0,22,14,63.636,47,23,48.93600000000001
97354895-8c77-4fd4-a860-32e62ea7382a 2012,226,110,48.673,12,8,66.667,49,39,79.592,70,49,70.0
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2012,217,74,34.101,16,11,68.75,28,19,67.857,57,31,54.386
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2012,218,67,30.734,16,7,43.75,21,15,71.429,39,17,43.59
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2012,217,80,36.866,14,6,42.857,24,18,75.0,49,28,57.143
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2012,224,94,41.964,13,6,46.153999999999996,24,20,83.333,49,27,55.102
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2012,229,98,42.795,8,7,87.5,25,20,80.0,48,26,54.167
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2012,216,64,29.63,26,8,30.769000000000002,18,12,66.667,36,16,44.443999999999996
82d2d380-3834-4938-835f-aec541e5ece7 2012,221,83,37.556999999999995,7,4,57.143,33,24,72.727,57,32,56.14
d26a1ca5-722d-4274-8f97-c92e49c96315 2012,217,83,38.249,15,5,33.333,11,7,63.636,36,18,50.0
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2012,213,96,45.07,5,3,60.0,37,28,75.676,66,39,59.091
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2012,212,70,33.019,15,7,46.667,13,7,53.846000000000004,37,10,27.026999999999997
1c1cec48-6352-4556-b789-35304c1a6ae1 2012,220,77,35.0,16,4,25.0,22,12,54.545,42,18,42.857
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2012,212,93,43.868,11,8,72.727,19,11,57.895,49,25,51.02
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2012,222,83,37.387,24,14,58.333,28,13,46.428999999999995,50,22,44.0
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2012,192,78,40.625,10,5,50.0,33,24,72.727,62,34,54.839
22052ff7-c065-42ee-bc8f-c4691c50e624 2012,190,68,35.789,17,12,70.58800000000001,31,26,83.87100000000001,53,32,60.376999999999995
7b112545-38e6-483c-a55c-96cf6ee49cb8 2012,219,80,36.53,13,5,38.461999999999996,23,12,52.174,46,23,50.0
c5a59daa-53a7-4de0-851f-fb12be893e9e 2012,228,97,42.544,15,6,40.0,33,24,72.727,55,33,60.0
a20471b4-a8d9-40c7-95ad-90cc30e46932 2012,213,90,42.254,13,7,53.846000000000004,26,22,84.615,47,32,68.085
33405046-04ee-4058-a950-d606f8c30852 2012,210,78,37.143,11,7,63.636,26,21,80.76899999999999,52,28,53.846000000000004
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2012,212,76,35.849000000000004,17,7,41.176,25,17,68.0,47,28,59.574
e6aa13a4-0055-48a9-bc41-be28dc106929 2012,204,92,45.098,8,2,25.0,36,24,66.667,63,37,58.73
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2012,204,88,43.137,9,3,33.333,30,21,70.0,46,27,58.696000000000005
0d855753-ea21-4953-89f9-0e20aff9eb73 2012,207,91,43.961000000000006,14,8,57.143,32,23,71.875,57,39,68.421
f0e724b0-4cbf-495a-be47-013907608da9 2012,194,68,35.052,12,8,66.667,28,18,64.286,55,28,50.909
de760528-1dc0-416a-a978-b510d20692ff 2012,230,58,25.217,24,10,41.667,16,12,75.0,40,16,40.0
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2012,199,80,40.201,18,11,61.111000000000004,24,17,70.833,54,31,57.407
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2013,244,83,34.016,14,4,28.570999999999998,23,14,60.87,44,21,47.727
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2013,217,76,35.023,12,3,25.0,21,16,76.19,46,26,56.522
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2013,231,90,38.961,8,1,12.5,19,12,63.158,42,21,50.0
97354895-8c77-4fd4-a860-32e62ea7382a 2013,221,83,37.556999999999995,15,7,46.667,36,25,69.444,65,36,55.385
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2013,225,92,40.889,21,12,57.143,25,21,84.0,46,34,73.913
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2013,237,83,35.021,31,14,45.161,25,15,60.0,36,19,52.778
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2013,253,92,36.364000000000004,16,6,37.5,25,17,68.0,52,24,46.153999999999996
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2013,216,82,37.963,15,9,60.0,24,18,75.0,53,28,52.83
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2013,213,80,37.559,10,3,30.0,22,14,63.636,50,28,56.0
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2013,225,70,31.111,30,13,43.333,20,10,50.0,41,18,43.902
82d2d380-3834-4938-835f-aec541e5ece7 2013,231,83,35.931,17,6,35.294000000000004,21,14,66.667,40,20,50.0
d26a1ca5-722d-4274-8f97-c92e49c96315 2013,227,94,41.41,17,11,64.706,24,19,79.167,49,28,57.143
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2013,205,95,46.341,9,8,88.889,47,37,78.723,67,51,76.119
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2013,213,74,34.742,11,4,36.364000000000004,34,25,73.529,57,33,57.895
1c1cec48-6352-4556-b789-35304c1a6ae1 2013,223,78,34.978,12,7,58.333,23,17,73.913,42,25,59.523999999999994
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2013,180,63,35.0,6,4,66.667,32,25,78.125,51,35,68.627
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2013,213,83,38.967,14,7,50.0,34,24,70.58800000000001,57,30,52.632
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2013,211,69,32.701,12,6,50.0,17,11,64.706,36,17,47.222
22052ff7-c065-42ee-bc8f-c4691c50e624 2013,235,95,40.426,20,6,30.0,26,19,73.077,50,26,52.0
7b112545-38e6-483c-a55c-96cf6ee49cb8 2013,197,83,42.132,13,8,61.538000000000004,33,23,69.697,60,35,58.333
c5a59daa-53a7-4de0-851f-fb12be893e9e 2013,221,95,42.986000000000004,14,5,35.714,28,23,82.14299999999999,56,35,62.5
a20471b4-a8d9-40c7-95ad-90cc30e46932 2013,216,89,41.20399999999999,13,9,69.23100000000001,40,24,60.0,65,33,50.769
33405046-04ee-4058-a950-d606f8c30852 2013,214,78,36.449,19,10,52.632,24,17,70.833,48,25,52.083
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2013,221,69,31.221999999999998,22,8,36.364000000000004,20,15,75.0,37,19,51.351000000000006
e6aa13a4-0055-48a9-bc41-be28dc106929 2013,207,89,42.995,14,6,42.857,26,17,65.385,52,27,51.923
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2013,208,91,43.75,13,10,76.923,26,19,73.077,50,29,58.0
0d855753-ea21-4953-89f9-0e20aff9eb73 2013,221,97,43.891000000000005,19,9,47.368,31,23,74.194,57,32,56.14
f0e724b0-4cbf-495a-be47-013907608da9 2013,211,77,36.493,11,7,63.636,31,21,67.742,55,31,56.364
de760528-1dc0-416a-a978-b510d20692ff 2013,210,74,35.238,9,5,55.556000000000004,27,20,74.074,50,26,52.0
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2013,204,76,37.255,11,6,54.545,34,24,70.58800000000001,57,32,56.14
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2014,229,84,36.681,14,6,42.857,24,18,75.0,51,22,43.137
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2014,200,80,40.0,19,7,36.842,34,21,61.765,68,35,51.471000000000004
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2014,234,91,38.889,16,9,56.25,19,11,57.895,47,17,36.17
97354895-8c77-4fd4-a860-32e62ea7382a 2014,221,98,44.343999999999994,13,7,53.846000000000004,41,32,78.04899999999999,67,39,58.208999999999996
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2014,211,84,39.81,13,7,53.846000000000004,23,18,78.26100000000001,49,28,57.143
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2014,207,61,29.469,14,5,35.714,25,18,72.0,49,24,48.98
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2014,205,84,40.976000000000006,18,9,50.0,29,19,65.517,63,33,52.381
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2014,208,93,44.711999999999996,10,5,50.0,30,20,66.667,55,29,52.727
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2014,217,89,41.013999999999996,15,6,40.0,38,26,68.421,60,33,55.0
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2014,216,69,31.944000000000003,19,7,36.842,15,10,66.667,32,13,40.625
