Key,Extra Pts Attempts,Extra Pts Blocked,Extra Pts Made
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2012,39,0,39
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2012,29,0,29
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2012,30,0,30
97354895-8c77-4fd4-a860-32e62ea7382a 2012,66,0,66
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2012,43,0,43
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2012,29,0,29
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2012,42,0,42
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2012,34,0,34
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2012,37,0,37
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2012,19,1,18
82d2d380-3834-4938-835f-aec541e5ece7 2012,45,0,45
d26a1ca5-722d-4274-8f97-c92e49c96315 2012,35,0,35
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2012,55,0,55
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2012,17,0,17
1c1cec48-6352-4556-b789-35304c1a6ae1 2012,25,0,25
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2012,37,0,37
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2012,26,0,25
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2012,46,0,46
22052ff7-c065-42ee-bc8f-c4691c50e624 2012,51,1,50
7b112545-38e6-483c-a55c-96cf6ee49cb8 2012,40,0,40
c5a59daa-53a7-4de0-851f-fb12be893e9e 2012,38,0,38
a20471b4-a8d9-40c7-95ad-90cc30e46932 2012,50,0,50
33405046-04ee-4058-a950-d606f8c30852 2012,36,0,36
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2012,39,0,39
e6aa13a4-0055-48a9-bc41-be28dc106929 2012,44,0,44
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2012,44,0,43
0d855753-ea21-4953-89f9-0e20aff9eb73 2012,57,0,57
f0e724b0-4cbf-495a-be47-013907608da9 2012,44,0,44
de760528-1dc0-416a-a978-b510d20692ff 2012,25,0,25
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2012,48,2,46
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2013,32,0,32
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2013,33,0,33
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2013,27,0,27
97354895-8c77-4fd4-a860-32e62ea7382a 2013,44,0,44
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2013,53,1,52
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2013,33,0,33
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2013,26,0,26
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2013,39,0,39
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2013,34,0,34
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2013,23,1,22
82d2d380-3834-4938-835f-aec541e5ece7 2013,26,0,26
d26a1ca5-722d-4274-8f97-c92e49c96315 2013,41,0,41
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2013,75,0,75
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2013,52,0,52
1c1cec48-6352-4556-b789-35304c1a6ae1 2013,37,0,37
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2013,47,0,47
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2013,45,0,45
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2013,31,0,31
22052ff7-c065-42ee-bc8f-c4691c50e624 2013,33,0,33
7b112545-38e6-483c-a55c-96cf6ee49cb8 2013,46,1,45
c5a59daa-53a7-4de0-851f-fb12be893e9e 2013,43,1,42
a20471b4-a8d9-40c7-95ad-90cc30e46932 2013,42,0,42
33405046-04ee-4058-a950-d606f8c30852 2013,44,0,43
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2013,31,0,31
e6aa13a4-0055-48a9-bc41-be28dc106929 2013,39,0,39
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2013,42,0,42
0d855753-ea21-4953-89f9-0e20aff9eb73 2013,48,0,48
f0e724b0-4cbf-495a-be47-013907608da9 2013,44,0,44
de760528-1dc0-416a-a978-b510d20692ff 2013,37,0,37
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2013,44,0,44
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2014,32,0,31
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2014,41,0,41
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2014,23,0,23
97354895-8c77-4fd4-a860-32e62ea7382a 2014,51,0,51
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2014,39,0,39
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2014,30,0,30
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2014,42,0,42
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2014,45,0,45
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2014,50,0,50
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2014,23,0,23
82d2d380-3834-4938-835f-aec541e5ece7 2014,40,0,40
d26a1ca5-722d-4274-8f97-c92e49c96315 2014,27,0,27
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2014,56,0,56
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2014,38,0,38
1c1cec48-6352-4556-b789-35304c1a6ae1 2014,28,0,28
