Key,Field Goal Attempts,Field Goal Avg Yards,Field Goal Blocked,Field Goal Longest,Field Goal Made,Field Goal Yards
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2012,24,30.583000000000002,0,50,21,734
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2012,30,30.069000000000003,1,53,23,872
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2012,27,31.083000000000002,3,54,21,746
97354895-8c77-4fd4-a860-32e62ea7382a 2012,35,29.714000000000002,0,53,29,1040
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2012,35,30.285999999999998,0,55,30,1060
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2012,31,36.2,1,53,29,1086
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2012,33,35.211999999999996,0,56,30,1162
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2012,31,32.71,0,52,28,1014
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2012,33,31.0,2,53,26,961
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2012,28,32.393,0,50,25,907
82d2d380-3834-4938-835f-aec541e5ece7 2012,38,29.784000000000002,1,51,31,1102
d26a1ca5-722d-4274-8f97-c92e49c96315 2012,31,29.467,1,53,25,884
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2012,32,27.781,0,53,26,889
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2012,34,30.941,0,52,28,1052
1c1cec48-6352-4556-b789-35304c1a6ae1 2012,34,32.176,0,57,31,1094
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2012,31,33.903,0,51,29,1051
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2012,31,30.258000000000003,0,49,27,938
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2012,39,29.395,1,50,33,1117
22052ff7-c065-42ee-bc8f-c4691c50e624 2012,30,31.7,0,50,24,951
7b112545-38e6-483c-a55c-96cf6ee49cb8 2012,33,31.233,3,54,27,937
c5a59daa-53a7-4de0-851f-fb12be893e9e 2012,36,34.278,0,53,32,1234
a20471b4-a8d9-40c7-95ad-90cc30e46932 2012,33,24.605999999999998,0,54,21,812
33405046-04ee-4058-a950-d606f8c30852 2012,38,37.216,1,56,35,1377
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2012,33,35.063,1,57,28,1122
e6aa13a4-0055-48a9-bc41-be28dc106929 2012,38,31.526,0,55,33,1198
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2012,21,26.2,1,51,16,524
0d855753-ea21-4953-89f9-0e20aff9eb73 2012,22,26.726999999999997,0,53,18,588
f0e724b0-4cbf-495a-be47-013907608da9 2012,42,26.205,3,63,29,1022
de760528-1dc0-416a-a978-b510d20692ff 2012,28,35.407,1,61,25,956
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2012,27,30.576999999999998,1,52,24,795
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2013,36,32.167,0,55,33,1158
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2013,34,29.424,1,54,26,971
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2013,36,34.361,0,54,33,1237
97354895-8c77-4fd4-a860-32e62ea7382a 2013,41,34.171,0,54,38,1401
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2013,22,33.318000000000005,0,54,18,733
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2013,26,30.16,1,51,21,754
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2013,41,34.829,0,61,38,1428
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2013,32,32.094,0,48,30,1027
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2013,40,35.0,1,52,35,1365
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2013,25,36.208,1,55,23,869
82d2d380-3834-4938-835f-aec541e5ece7 2013,35,27.735,1,51,26,943
d26a1ca5-722d-4274-8f97-c92e49c96315 2013,29,29.655,0,55,25,860
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2013,26,37.961999999999996,0,64,25,987
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2013,28,28.296,1,51,22,764
1c1cec48-6352-4556-b789-35304c1a6ae1 2013,30,26.366999999999997,0,53,21,791
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2013,30,37.067,0,53,28,1112
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2013,28,28.820999999999998,0,51,23,807
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2013,26,30.346,0,52,23,789
22052ff7-c065-42ee-bc8f-c4691c50e624 2013,26,30.333000000000002,2,50,21,728
7b112545-38e6-483c-a55c-96cf6ee49cb8 2013,29,30.965999999999998,0,58,26,898
c5a59daa-53a7-4de0-851f-fb12be893e9e 2013,24,30.409000000000002,2,53,19,669
a20471b4-a8d9-40c7-95ad-90cc30e46932 2013,37,30.296999999999997,0,57,33,1121
33405046-04ee-4058-a950-d606f8c30852 2013,30,30.4,0,54,26,912
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2013,29,30.379,0,54,23,881
e6aa13a4-0055-48a9-bc41-be28dc106929 2013,27,31.296,0,53,24,845
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2013,27,34.0,1,55,24,884
0d855753-ea21-4953-89f9-0e20aff9eb73 2013,32,27.451999999999998,1,55,24,851
f0e724b0-4cbf-495a-be47-013907608da9 2013,36,32.417,0,56,32,1167
de760528-1dc0-416a-a978-b510d20692ff 2013,36,31.6,1,52,30,1106
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2013,35,35.5,1,53,33,1207
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2014,38,34.514,1,58,34,1277
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2014,37,27.857,2,53,29,975
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2014,39,30.162,2,55,32,1116
97354895-8c77-4fd4-a860-32e62ea7382a 2014,37,33.595,0,53,35,1243
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2014,33,29.469,1,49,26,943
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2014,32,28.484,1,52,25,883
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2014,34,30.485,1,55,29,1006
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2014,32,31.063000000000002,0,53,29,994
