Key,FD Pass,FD Penalty,FD Rush,FD Total
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2012,176,22,103,301
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2012,158,37,93,288
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2012,162,35,102,299
97354895-8c77-4fd4-a860-32e62ea7382a 2012,256,37,151,444
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2012,173,24,95,292
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2012,185,23,71,279
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2012,182,34,98,314
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2012,202,25,80,307
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2012,208,42,110,360
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2012,157,36,76,269
82d2d380-3834-4938-835f-aec541e5ece7 2012,205,22,114,341
d26a1ca5-722d-4274-8f97-c92e49c96315 2012,166,24,70,260
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2012,232,36,112,380
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2012,144,24,118,286
1c1cec48-6352-4556-b789-35304c1a6ae1 2012,200,28,72,300
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2012,237,25,76,338
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2012,190,31,111,332
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2012,187,37,103,327
22052ff7-c065-42ee-bc8f-c4691c50e624 2012,171,26,144,341
7b112545-38e6-483c-a55c-96cf6ee49cb8 2012,163,30,99,292
c5a59daa-53a7-4de0-851f-fb12be893e9e 2012,272,26,84,382
a20471b4-a8d9-40c7-95ad-90cc30e46932 2012,213,43,85,341
33405046-04ee-4058-a950-d606f8c30852 2012,163,30,113,306
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2012,188,24,89,301
e6aa13a4-0055-48a9-bc41-be28dc106929 2012,246,26,70,342
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2012,171,34,123,328
0d855753-ea21-4953-89f9-0e20aff9eb73 2012,267,21,64,352
f0e724b0-4cbf-495a-be47-013907608da9 2012,172,22,128,322
de760528-1dc0-416a-a978-b510d20692ff 2012,168,20,58,246
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2012,153,29,129,311
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2013,149,39,113,301
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2013,205,12,61,278
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2013,154,21,105,280
97354895-8c77-4fd4-a860-32e62ea7382a 2013,225,43,110,378
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2013,205,24,101,330
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2013,200,24,77,301
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2013,189,38,68,295
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2013,207,24,81,312
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2013,191,39,88,318
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2013,176,24,71,271
82d2d380-3834-4938-835f-aec541e5ece7 2013,198,19,90,307
d26a1ca5-722d-4274-8f97-c92e49c96315 2013,172,36,103,311
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2013,293,35,107,435
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2013,179,34,110,323
1c1cec48-6352-4556-b789-35304c1a6ae1 2013,168,17,90,275
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2013,213,32,80,325
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2013,197,25,133,355
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2013,176,27,77,280
22052ff7-c065-42ee-bc8f-c4691c50e624 2013,198,19,112,329
7b112545-38e6-483c-a55c-96cf6ee49cb8 2013,215,27,102,344
c5a59daa-53a7-4de0-851f-fb12be893e9e 2013,221,23,106,350
a20471b4-a8d9-40c7-95ad-90cc30e46932 2013,201,31,119,351
33405046-04ee-4058-a950-d606f8c30852 2013,173,30,106,309
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2013,157,37,75,269
e6aa13a4-0055-48a9-bc41-be28dc106929 2013,227,39,64,330
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2013,169,28,122,319
0d855753-ea21-4953-89f9-0e20aff9eb73 2013,244,28,87,359
f0e724b0-4cbf-495a-be47-013907608da9 2013,148,23,115,286
de760528-1dc0-416a-a978-b510d20692ff 2013,205,40,84,329
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2013,160,31,116,307
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2014,186,22,65,273
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2014,226,36,99,361
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2014,154,23,112,289
97354895-8c77-4fd4-a860-32e62ea7382a 2014,228,37,96,361
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2014,164,27,122,313
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2014,179,27,88,294
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2014,194,38,113,345
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2014,243,38,98,379
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2014,251,40,80,371
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2014,154,31,86,271
82d2d380-3834-4938-835f-aec541e5ece7 2014,171,34,108,313
d26a1ca5-722d-4274-8f97-c92e49c96315 2014,159,24,75,258
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2014,227,35,98,360
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2014,184,33,92,309
1c1cec48-6352-4556-b789-35304c1a6ae1 2014,173,19,56,248
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2014,205,31,106,342
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2014,218,29,109,356
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2014,218,35,83,336
22052ff7-c065-42ee-bc8f-c4691c50e624 2014,186,44,88,318
7b112545-38e6-483c-a55c-96cf6ee49cb8 2014,194,37,91,322
c5a59daa-53a7-4de0-851f-fb12be893e9e 2014,210,28,72,310
a20471b4-a8d9-40c7-95ad-90cc30e46932 2014,222,30,104,356
33405046-04ee-4058-a950-d606f8c30852 2014,171,27,90,288
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2014,162,29,72,263
e6aa13a4-0055-48a9-bc41-be28dc106929 2014,233,22,75,330
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2014,199,31,117,347
0d855753-ea21-4953-89f9-0e20aff9eb73 2014,258,36,101,395
f0e724b0-4cbf-495a-be47-013907608da9 2014,165,34,104,303
de760528-1dc0-416a-a978-b510d20692ff 2014,191,44,67,302
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2014,160,24,144,328
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2015,155,20,122,297
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2015,194,25,72,291
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2015,210,20,99,329
97354895-8c77-4fd4-a860-32e62ea7382a 2015,229,31,87,347
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2015,191,34,99,324
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2015,192,34,81,307
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2015,211,23,89,323
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2015,207,33,91,331
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2015,195,39,77,311
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2015,215,29,69,313
82d2d380-3834-4938-835f-aec541e5ece7 2015,210,35,90,335
d26a1ca5-722d-4274-8f97-c92e49c96315 2015,195,37,66,298
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2015,201,28,85,314
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2015,155,32,116,303
1c1cec48-6352-4556-b789-35304c1a6ae1 2015,193,33,74,300
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2015,175,38,94,307
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2015,193,36,110,339
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2015,208,46,77,331
22052ff7-c065-42ee-bc8f-c4691c50e624 2015,208,28,81,317
7b112545-38e6-483c-a55c-96cf6ee49cb8 2015,177,27,108,312
c5a59daa-53a7-4de0-851f-fb12be893e9e 2015,236,30,71,337
a20471b4-a8d9-40c7-95ad-90cc30e46932 2015,173,44,100,317
33405046-04ee-4058-a950-d606f8c30852 2015,153,31,113,297
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2015,201,36,99,336
e6aa13a4-0055-48a9-bc41-be28dc106929 2015,230,34,95,359
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2015,197,24,136,357
0d855753-ea21-4953-89f9-0e20aff9eb73 2015,247,36,98,381
f0e724b0-4cbf-495a-be47-013907608da9 2015,154,24,83,261
de760528-1dc0-416a-a978-b510d20692ff 2015,237,44,92,373
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2015,190,17,128,335
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2016,155,27,146,328
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2016,167,21,90,278
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2016,166,28,97,291
97354895-8c77-4fd4-a860-32e62ea7382a 2016,203,39,109,351
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2016,204,37,100,341
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2016,181,32,83,296
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2016,205,32,79,316
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2016,210,29,97,336
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2016,220,38,93,351
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2016,207,39,75,321
82d2d380-3834-4938-835f-aec541e5ece7 2016,173,30,102,305
d26a1ca5-722d-4274-8f97-c92e49c96315 2016,175,32,115,322
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2016,181,33,76,290
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2016,197,22,86,305
1c1cec48-6352-4556-b789-35304c1a6ae1 2016,198,38,98,334
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2016,191,25,142,358
