Key,Fumble End Zone Touch Downs,Forced Fumbles,Fumbles,Lost Fumbles,Fumbles Opponent Recovery,Fumbles Opponent Recovery Touchdowns,Fumbles Opponent Recovery Yards,Fumbles Out of Bounds,Fumbles Own Recovery,Fumbles Own Recovery Touchdowns,Fumbles Own Recovery Yards
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2012,0,21,23,17,9,0,8,0,6,0,-15
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2012,0,15,25,13,6,0,21,3,9,0,-8
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2012,0,14,32,18,12,1,82,1,13,0,-14
97354895-8c77-4fd4-a860-32e62ea7382a 2012,0,30,14,7,21,3,82,3,4,1,-3
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2012,0,16,19,10,16,1,53,1,8,0,-11
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2012,0,16,22,8,12,0,39,1,13,0,-21
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2012,0,10,14,5,12,0,45,1,8,0,2
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2012,0,15,33,16,10,0,25,4,13,0,-14
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2012,0,6,21,9,3,0,4,2,10,0,-3
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2012,0,12,20,9,11,0,0,2,9,0,-2
82d2d380-3834-4938-835f-aec541e5ece7 2012,0,17,12,4,14,0,40,1,7,0,-2
d26a1ca5-722d-4274-8f97-c92e49c96315 2012,0,13,21,12,5,1,78,3,6,0,-6
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2012,0,19,22,14,8,1,77,2,6,0,0
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2012,0,14,26,17,6,1,80,1,8,0,-12
1c1cec48-6352-4556-b789-35304c1a6ae1 2012,0,9,22,10,8,0,4,1,11,0,-53
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2012,1,14,20,10,9,2,56,0,10,0,-12
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2012,0,13,37,22,5,0,4,2,13,0,-59
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2012,0,16,13,6,14,1,105,0,7,0,1
22052ff7-c065-42ee-bc8f-c4691c50e624 2012,0,12,26,6,9,1,60,3,17,2,-2
7b112545-38e6-483c-a55c-96cf6ee49cb8 2012,0,26,20,8,20,1,26,0,12,0,-6
c5a59daa-53a7-4de0-851f-fb12be893e9e 2012,0,11,24,16,6,0,0,3,5,0,-7
a20471b4-a8d9-40c7-95ad-90cc30e46932 2012,0,8,16,8,5,1,46,0,8,0,-6
33405046-04ee-4058-a950-d606f8c30852 2012,0,16,21,11,12,0,3,2,8,0,-12
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2012,0,11,16,6,8,0,5,1,9,0,-12
e6aa13a4-0055-48a9-bc41-be28dc106929 2012,0,15,9,4,11,1,69,2,3,0,-2
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2012,0,17,22,10,12,0,11,2,10,1,-8
0d855753-ea21-4953-89f9-0e20aff9eb73 2012,0,11,13,5,11,0,1,3,6,0,1
f0e724b0-4cbf-495a-be47-013907608da9 2012,0,15,26,8,11,1,145,3,15,1,-9
de760528-1dc0-416a-a978-b510d20692ff 2012,0,13,25,13,11,1,155,2,10,0,0
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2012,1,18,16,8,13,1,49,1,7,0,-19
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2013,0,12,32,12,6,1,88,3,17,0,-10
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2013,0,10,16,7,6,0,0,1,8,0,-32
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2013,0,10,15,7,2,0,0,0,8,0,-33
97354895-8c77-4fd4-a860-32e62ea7382a 2013,1,11,24,9,12,1,49,0,15,0,-10
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2013,0,13,20,10,11,1,110,1,9,1,38
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2013,0,8,17,9,7,1,58,2,6,0,-12
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2013,0,14,15,6,7,0,7,0,9,0,-20
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2013,0,16,16,10,10,0,87,0,6,0,0
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2013,0,19,14,4,12,0,39,4,6,0,6
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2013,0,15,18,6,10,1,36,1,12,0,-24
82d2d380-3834-4938-835f-aec541e5ece7 2013,0,10,21,9,4,0,0,2,10,0,-10
d26a1ca5-722d-4274-8f97-c92e49c96315 2013,1,14,27,9,12,2,86,1,17,0,-44
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2013,0,16,27,16,9,1,74,3,9,0,1
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2013,1,13,21,10,15,2,66,3,8,0,-11
1c1cec48-6352-4556-b789-35304c1a6ae1 2013,0,19,27,11,13,2,136,1,15,0,-25
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2013,1,13,18,8,13,3,114,1,9,0,-8
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2013,0,13,19,10,12,1,11,3,6,0,-15
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2013,0,15,26,15,12,0,23,2,9,0,-47
22052ff7-c065-42ee-bc8f-c4691c50e624 2013,0,12,30,15,9,1,82,0,15,0,-36
7b112545-38e6-483c-a55c-96cf6ee49cb8 2013,0,19,21,10,9,1,42,0,11,0,-10
c5a59daa-53a7-4de0-851f-fb12be893e9e 2013,0,11,28,15,7,1,4,2,11,0,-43
a20471b4-a8d9-40c7-95ad-90cc30e46932 2013,0,16,19,9,11,2,71,2,9,1,4
33405046-04ee-4058-a950-d606f8c30852 2013,0,12,23,13,8,1,61,2,8,0,-9
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2013,0,15,18,9,10,0,34,1,8,0,-38
e6aa13a4-0055-48a9-bc41-be28dc106929 2013,0,13,17,11,11,1,64,2,4,0,0
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2013,0,11,12,6,10,0,-3,1,5,0,-8
0d855753-ea21-4953-89f9-0e20aff9eb73 2013,0,13,12,7,7,0,43,1,3,0,-2
f0e724b0-4cbf-495a-be47-013907608da9 2013,1,12,20,10,11,3,44,3,7,0,14
de760528-1dc0-416a-a978-b510d20692ff 2013,0,11,22,9,10,1,48,3,10,0,9
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2013,0,17,26,10,11,1,20,4,12,0,-23
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2014,0,14,22,10,11,1,53,4,9,0,-10
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2014,0,13,27,11,11,1,50,3,13,0,-10
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2014,0,9,25,9,7,0,2,5,11,0,-27
97354895-8c77-4fd4-a860-32e62ea7382a 2014,0,15,13,4,9,2,26,0,9,0,-4
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2014,0,7,20,9,6,0,0,3,8,0,-5
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2014,1,15,16,7,8,1,34,0,9,0,-12
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2014,0,16,17,8,11,0,51,2,7,0,-12
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2014,1,12,16,11,10,1,39,0,5,0,-56
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2014,0,21,31,15,14,1,60,2,14,0,-18
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2014,1,19,15,8,14,2,49,0,7,0,-6
82d2d380-3834-4938-835f-aec541e5ece7 2014,0,17,19,9,14,1,132,1,9,0,-35
d26a1ca5-722d-4274-8f97-c92e49c96315 2014,0,5,23,10,4,1,105,1,12,0,-24
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2014,0,15,16,5,7,1,22,0,11,0,-10
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2014,0,13,22,11,7,0,0,4,7,1,-15
1c1cec48-6352-4556-b789-35304c1a6ae1 2014,0,12,28,13,5,1,39,3,12,0,-50
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2014,0,15,22,14,13,1,35,1,7,0,-18
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2014,1,24,25,15,16,2,103,1,9,0,-32
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2014,0,15,21,14,8,1,32,0,7,0,-30
22052ff7-c065-42ee-bc8f-c4691c50e624 2014,0,14,31,13,12,0,19,2,17,0,-3
7b112545-38e6-483c-a55c-96cf6ee49cb8 2014,0,18,19,10,10,0,19,2,7,0,-29
c5a59daa-53a7-4de0-851f-fb12be893e9e 2014,0,11,21,8,7,1,40,1,12,0,-5
a20471b4-a8d9-40c7-95ad-90cc30e46932 2014,0,12,19,7,9,1,51,0,12,0,-16
33405046-04ee-4058-a950-d606f8c30852 2014,0,9,11,2,6,1,27,2,7,1,-29
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2014,0,16,29,13,11,0,14,2,14,0,-29
e6aa13a4-0055-48a9-bc41-be28dc106929 2014,0,13,16,8,12,1,125,0,8,0,-3
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2014,0,22,25,11,12,0,39,0,14,0,-24
