Key,Int Ret Avg Yds,Int Ret Longest,Int Ret Longest TD,Int Ret Returns,Int Ret Touchdowns,Int Ret Yds
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2012,14.833,45,20,12,1,178
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2012,9.9,31,0,10,0,99
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2012,10.636,40,40,11,2,117
97354895-8c77-4fd4-a860-32e62ea7382a 2012,18.55,87,87,20,2,371
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2012,11.714,44,17,14,2,164
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2012,13.529000000000002,50,27,17,2,230
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2012,15.077,63,63,13,2,196
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2012,12.7,53,53,10,1,127
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2012,12.917,51,32,12,4,155
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2012,10.167,21,0,12,0,122
82d2d380-3834-4938-835f-aec541e5ece7 2012,22.2,86,63,15,3,333
d26a1ca5-722d-4274-8f97-c92e49c96315 2012,18.842,79,79,19,4,358
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2012,21.688000000000002,98,98,16,5,347
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2012,17.0,32,0,7,0,119
1c1cec48-6352-4556-b789-35304c1a6ae1 2012,8.273,24,0,11,0,91
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2012,21.0,47,47,7,1,147
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2012,3.875,14,0,8,0,31
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2012,23.619,70,28,21,1,496
22052ff7-c065-42ee-bc8f-c4691c50e624 2012,12.238,49,28,21,3,257
7b112545-38e6-483c-a55c-96cf6ee49cb8 2012,20.333,74,74,24,8,488
c5a59daa-53a7-4de0-851f-fb12be893e9e 2012,12.273,29,0,11,0,135
a20471b4-a8d9-40c7-95ad-90cc30e46932 2012,13.667,72,72,18,1,246
33405046-04ee-4058-a950-d606f8c30852 2012,22.4,56,56,10,3,224
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2012,23.278000000000002,83,83,18,3,419
e6aa13a4-0055-48a9-bc41-be28dc106929 2012,12.3,79,79,20,1,246
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2012,16.455,74,74,11,3,181
0d855753-ea21-4953-89f9-0e20aff9eb73 2012,24.6,99,99,15,4,369
f0e724b0-4cbf-495a-be47-013907608da9 2012,15.429,63,50,14,2,216
de760528-1dc0-416a-a978-b510d20692ff 2012,13.909,102,102,22,2,306
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2012,14.167,57,57,18,2,255
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2013,12.565,57,32,23,2,289
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2013,11.333,94,94,18,2,204
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2013,12.845999999999998,38,23,13,1,167
97354895-8c77-4fd4-a860-32e62ea7382a 2013,12.940999999999999,79,79,17,2,220
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2013,10.0,60,60,20,4,200
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2013,19.570999999999998,44,44,14,3,274
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2013,10.0,37,37,16,1,160
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2013,20.3,40,40,10,3,203
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2013,12.4,46,41,15,1,186
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2013,15.636,59,59,11,1,172
82d2d380-3834-4938-835f-aec541e5ece7 2013,12.286,32,18,7,1,86
d26a1ca5-722d-4274-8f97-c92e49c96315 2013,8.692,34,23,13,1,113
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2013,8.294,75,75,17,1,141
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2013,23.238000000000003,100,100,21,5,488
1c1cec48-6352-4556-b789-35304c1a6ae1 2013,9.222000000000001,43,43,9,1,83
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2013,17.133,74,52,15,2,257
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2013,15.474,76,54,19,1,294
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2013,15.882,91,38,17,2,270
22052ff7-c065-42ee-bc8f-c4691c50e624 2013,15.437999999999999,45,45,16,4,247
7b112545-38e6-483c-a55c-96cf6ee49cb8 2013,22.526,49,48,19,5,428
c5a59daa-53a7-4de0-851f-fb12be893e9e 2013,14.067,66,66,15,1,211
a20471b4-a8d9-40c7-95ad-90cc30e46932 2013,3.273,11,0,11,0,36
33405046-04ee-4058-a950-d606f8c30852 2013,6.5,30,0,12,0,78
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2013,16.095,85,85,21,3,338
e6aa13a4-0055-48a9-bc41-be28dc106929 2013,17.6,71,71,10,2,176
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2013,11.7,45,45,20,4,234
0d855753-ea21-4953-89f9-0e20aff9eb73 2013,14.083,43,0,12,0,169
f0e724b0-4cbf-495a-be47-013907608da9 2013,15.444,89,89,18,2,278
de760528-1dc0-416a-a978-b510d20692ff 2013,12.55,43,23,20,4,251
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2013,13.75,58,58,28,3,385
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2014,16.947,45,0,19,0,322
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2014,21.357,81,81,14,2,299
