Key,Interceptions,Interception Return Yards,Interceptions Returned
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2012,12,178,12
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2012,10,99,10
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2012,11,117,11
97354895-8c77-4fd4-a860-32e62ea7382a 2012,20,371,20
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2012,14,164,14
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2012,17,230,17
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2012,13,196,13
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2012,10,127,10
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2012,12,155,12
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2012,12,122,12
82d2d380-3834-4938-835f-aec541e5ece7 2012,15,333,15
d26a1ca5-722d-4274-8f97-c92e49c96315 2012,19,358,19
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2012,16,347,16
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2012,7,119,7
1c1cec48-6352-4556-b789-35304c1a6ae1 2012,11,91,11
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2012,7,147,7
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2012,8,31,8
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2012,21,496,21
22052ff7-c065-42ee-bc8f-c4691c50e624 2012,21,257,21
7b112545-38e6-483c-a55c-96cf6ee49cb8 2012,24,488,24
c5a59daa-53a7-4de0-851f-fb12be893e9e 2012,11,135,11
a20471b4-a8d9-40c7-95ad-90cc30e46932 2012,18,246,18
33405046-04ee-4058-a950-d606f8c30852 2012,10,224,10
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2012,18,419,18
e6aa13a4-0055-48a9-bc41-be28dc106929 2012,20,246,20
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2012,11,181,11
0d855753-ea21-4953-89f9-0e20aff9eb73 2012,15,369,15
f0e724b0-4cbf-495a-be47-013907608da9 2012,14,216,14
de760528-1dc0-416a-a978-b510d20692ff 2012,22,306,22
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2012,18,255,18
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2013,23,289,23
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2013,18,204,18
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2013,13,167,13
97354895-8c77-4fd4-a860-32e62ea7382a 2013,17,220,17
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2013,20,200,20
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2013,14,274,14
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2013,16,160,16
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2013,10,203,10
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2013,15,186,15
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2013,11,172,11
