Key,Kick Off End Zone,Kick Off Inside 20,Kick Off Kick Offs,Kick Off Onside Attempts,Kick Off Onside Successes,Kick Off OOB,Kick Off Ret Yds,Kick Off Squib Kicks,Kick Off Touchbacks,Kick Off Yds
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2012,20,12,73,2,0,0,1144,0,20,4493
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2012,27,17,71,2,1,0,868,0,34,4545
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2012,30,26,69,2,0,1,1184,0,12,4298
97354895-8c77-4fd4-a860-32e62ea7382a 2012,35,20,112,1,0,0,1229,0,52,7121
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2012,42,23,88,1,0,0,1468,0,27,5727
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2012,25,21,77,2,0,1,853,0,30,4820
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2012,30,16,89,3,0,0,859,0,49,5671
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2012,27,8,75,0,0,0,1103,0,29,4746
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2012,30,13,79,0,0,0,841,0,45,5213
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2012,26,12,69,3,1,2,1009,0,26,4356
82d2d380-3834-4938-835f-aec541e5ece7 2012,33,11,92,2,0,0,1595,0,28,5690
d26a1ca5-722d-4274-8f97-c92e49c96315 2012,21,6,74,3,0,2,860,0,37,4583
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2012,17,7,99,0,0,0,751,0,65,6314
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2012,22,6,58,2,0,2,690,0,27,3579
1c1cec48-6352-4556-b789-35304c1a6ae1 2012,23,11,73,7,0,2,868,0,38,4473
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2012,31,19,84,5,1,1,1102,0,30,5089
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2012,26,13,70,3,1,0,1012,0,26,4405
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2012,43,19,94,1,0,0,1662,0,24,6010
22052ff7-c065-42ee-bc8f-c4691c50e624 2012,24,12,91,2,0,1,1264,0,33,5694
