Key,Kick Return Yards,Kick Return Avg Yards,Kick Return Fair Catches,Kick Return Longest,Kick Return Returns,Kick Return Touchdowns
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2012,1136,27.048000000000002,0,89,42,1
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2012,1082,27.05,0,96,40,1
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2012,1308,26.16,0,100,50,1
97354895-8c77-4fd4-a860-32e62ea7382a 2012,807,21.237,0,104,38,1
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2012,928,22.634,0,0,41,0
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2012,1269,25.38,0,0,50,0
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2012,1636,27.267,0,108,60,2
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2012,1086,25.256,1,0,43,0
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2012,957,22.256,0,101,43,1
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2012,1114,21.019000000000002,0,0,53,0
82d2d380-3834-4938-835f-aec541e5ece7 2012,953,21.659000000000002,0,0,44,0
d26a1ca5-722d-4274-8f97-c92e49c96315 2012,1489,23.635,0,105,63,1
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2012,646,23.070999999999998,0,105,28,1
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2012,1059,21.612,0,0,49,0
1c1cec48-6352-4556-b789-35304c1a6ae1 2012,935,22.261999999999997,0,0,42,0
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2012,741,20.583000000000002,0,0,36,0
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2012,1259,20.983,0,0,60,0
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2012,1648,26.159000000000002,0,97,63,1
22052ff7-c065-42ee-bc8f-c4691c50e624 2012,892,23.474,0,0,38,0
7b112545-38e6-483c-a55c-96cf6ee49cb8 2012,929,19.766,0,0,47,0
c5a59daa-53a7-4de0-851f-fb12be893e9e 2012,681,20.029,0,0,34,0
a20471b4-a8d9-40c7-95ad-90cc30e46932 2012,1074,24.976999999999997,0,0,43,0
33405046-04ee-4058-a950-d606f8c30852 2012,1171,26.614,1,105,44,1
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2012,630,20.323,0,0,31,0
e6aa13a4-0055-48a9-bc41-be28dc106929 2012,640,23.704,0,0,27,0
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2012,867,22.230999999999998,0,0,39,0
0d855753-ea21-4953-89f9-0e20aff9eb73 2012,1266,24.824,0,0,51,0
f0e724b0-4cbf-495a-be47-013907608da9 2012,1216,24.816,0,0,49,0
de760528-1dc0-416a-a978-b510d20692ff 2012,930,23.25,0,0,40,0
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2012,787,27.138,0,98,29,1
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2013,469,20.391,0,0,23,0
