Key,Penalties,Penalty Yards
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2012,104,871
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2012,82,724
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2012,83,708
97354895-8c77-4fd4-a860-32e62ea7382a 2012,97,840
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2012,99,857
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2012,113,1005
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2012,121,1127
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2012,92,938
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2012,94,801
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2012,101,955
82d2d380-3834-4938-835f-aec541e5ece7 2012,108,873
d26a1ca5-722d-4274-8f97-c92e49c96315 2012,106,847
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2012,100,805
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2012,92,733
1c1cec48-6352-4556-b789-35304c1a6ae1 2012,108,939
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2012,117,853
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2012,98,813
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2012,72,578
22052ff7-c065-42ee-bc8f-c4691c50e624 2012,116,985
7b112545-38e6-483c-a55c-96cf6ee49cb8 2012,102,811
c5a59daa-53a7-4de0-851f-fb12be893e9e 2012,103,944
a20471b4-a8d9-40c7-95ad-90cc30e46932 2012,103,923
33405046-04ee-4058-a950-d606f8c30852 2012,90,830
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2012,101,819
e6aa13a4-0055-48a9-bc41-be28dc106929 2012,55,415
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2012,98,835
0d855753-ea21-4953-89f9-0e20aff9eb73 2012,104,911
f0e724b0-4cbf-495a-be47-013907608da9 2012,109,960
de760528-1dc0-416a-a978-b510d20692ff 2012,102,857
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2012,110,890
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2013,110,952
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2013,70,598
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2013,108,837
97354895-8c77-4fd4-a860-32e62ea7382a 2013,69,625
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2013,102,1000
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2013,104,920
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2013,112,942
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2013,80,677
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2013,66,576
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2013,96,797
82d2d380-3834-4938-835f-aec541e5ece7 2013,112,1138
d26a1ca5-722d-4274-8f97-c92e49c96315 2013,101,900
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2013,117,1000
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2013,101,774
1c1cec48-6352-4556-b789-35304c1a6ae1 2013,116,912
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2013,102,867
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2013,95,846
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2013,91,786
22052ff7-c065-42ee-bc8f-c4691c50e624 2013,99,802
7b112545-38e6-483c-a55c-96cf6ee49cb8 2013,85,708
c5a59daa-53a7-4de0-851f-fb12be893e9e 2013,110,925
a20471b4-a8d9-40c7-95ad-90cc30e46932 2013,86,801
33405046-04ee-4058-a950-d606f8c30852 2013,70,695
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2013,121,1136
e6aa13a4-0055-48a9-bc41-be28dc106929 2013,91,788
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2013,80,671
0d855753-ea21-4953-89f9-0e20aff9eb73 2013,95,817
f0e724b0-4cbf-495a-be47-013907608da9 2013,103,845
de760528-1dc0-416a-a978-b510d20692ff 2013,97,744
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2013,128,1183
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2014,124,1031
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2014,81,635
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2014,109,932
97354895-8c77-4fd4-a860-32e62ea7382a 2014,120,1080
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2014,102,812
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2014,116,932
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2014,111,870
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2014,103,834
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2014,105,848
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2014,73,573
82d2d380-3834-4938-835f-aec541e5ece7 2014,94,834
d26a1ca5-722d-4274-8f97-c92e49c96315 2014,111,961
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2014,120,1045
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2014,88,681
1c1cec48-6352-4556-b789-35304c1a6ae1 2014,116,939
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2014,105,839
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2014,115,995
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2014,101,896
22052ff7-c065-42ee-bc8f-c4691c50e624 2014,120,1130
7b112545-38e6-483c-a55c-96cf6ee49cb8 2014,113,997
c5a59daa-53a7-4de0-851f-fb12be893e9e 2014,118,989
a20471b4-a8d9-40c7-95ad-90cc30e46932 2014,92,775
33405046-04ee-4058-a950-d606f8c30852 2014,100,836
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2014,118,939
e6aa13a4-0055-48a9-bc41-be28dc106929 2014,97,840
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2014,83,756
0d855753-ea21-4953-89f9-0e20aff9eb73 2014,80,670
f0e724b0-4cbf-495a-be47-013907608da9 2014,116,937
de760528-1dc0-416a-a978-b510d20692ff 2014,91,707
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2014,130,1009
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2015,143,1249
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2015,134,1090
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2015,96,787
97354895-8c77-4fd4-a860-32e62ea7382a 2015,96,859
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2015,111,917
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2015,120,1083
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2015,122,1153
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2015,94,868
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2015,108,931
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2015,105,880
82d2d380-3834-4938-835f-aec541e5ece7 2015,107,910
d26a1ca5-722d-4274-8f97-c92e49c96315 2015,93,779
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2015,115,1063
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2015,104,878
1c1cec48-6352-4556-b789-35304c1a6ae1 2015,139,1102
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2015,112,879
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2015,104,819
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2015,102,779
22052ff7-c065-42ee-bc8f-c4691c50e624 2015,105,827
7b112545-38e6-483c-a55c-96cf6ee49cb8 2015,99,909
