Key,Punt Returns Avg Yards,Punt Returns Fair Catches,Punt Returns Longest,Punt Returns Longest TD,Punt Returns Returns,Punt Returns Touchdowns,Punt Returns Yards
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2012,17.115,21,88,88,26,2,445
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2012,11.161,25,72,72,31,1,346
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2012,10.347999999999999,38,68,68,23,1,238
97354895-8c77-4fd4-a860-32e62ea7382a 2012,12.048,8,68,68,42,1,506
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2012,10.383,11,81,81,47,1,488
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2012,14.78,9,93,93,41,1,606
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2012,9.395,26,63,63,43,1,404
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2012,7.317,19,63,0,41,0,300
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2012,11.142999999999999,20,75,75,28,1,312
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2012,7.294,13,28,0,34,0,248
82d2d380-3834-4938-835f-aec541e5ece7 2012,10.895,16,71,0,38,0,414
d26a1ca5-722d-4274-8f97-c92e49c96315 2012,15.323,17,81,81,31,3,475
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2012,9.271,20,76,76,48,1,445
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2012,8.86,8,27,0,43,0,381
1c1cec48-6352-4556-b789-35304c1a6ae1 2012,5.088,14,47,0,34,0,173
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2012,12.353,13,78,78,34,1,420
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2012,10.333,26,98,98,30,1,310
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2012,7.2,19,18,0,20,0,144
22052ff7-c065-42ee-bc8f-c4691c50e624 2012,9.306000000000001,7,64,0,36,0,335
7b112545-38e6-483c-a55c-96cf6ee49cb8 2012,7.568,8,44,0,44,0,333
c5a59daa-53a7-4de0-851f-fb12be893e9e 2012,8.629,26,48,0,35,0,302
a20471b4-a8d9-40c7-95ad-90cc30e46932 2012,10.972000000000001,22,75,75,36,1,395
33405046-04ee-4058-a950-d606f8c30852 2012,8.969,27,77,77,32,1,287
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2012,9.0,19,39,0,36,0,324
e6aa13a4-0055-48a9-bc41-be28dc106929 2012,7.885,19,28,0,26,0,205
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2012,10.222000000000001,18,69,0,27,0,276
0d855753-ea21-4953-89f9-0e20aff9eb73 2012,7.6,20,37,0,25,0,190
f0e724b0-4cbf-495a-be47-013907608da9 2012,10.5,18,38,0,36,0,378
de760528-1dc0-416a-a978-b510d20692ff 2012,8.167,14,26,0,54,0,441
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2012,8.452,18,52,0,42,0,355
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2013,6.231,22,25,0,39,0,243
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2013,7.765,20,34,0,34,0,264
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2013,8.96,12,24,0,25,0,224
97354895-8c77-4fd4-a860-32e62ea7382a 2013,10.75,23,43,0,36,0,387
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2013,9.021,16,43,0,47,0,424
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2013,11.0,28,79,79,38,1,418
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2013,14.163,16,82,82,43,1,609
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2013,12.780999999999999,23,67,67,32,1,409
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2013,9.879,25,51,0,33,0,326
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2013,4.7330000000000005,22,17,0,30,0,142
82d2d380-3834-4938-835f-aec541e5ece7 2013,8.571,21,87,87,42,1,360
d26a1ca5-722d-4274-8f97-c92e49c96315 2013,7.742000000000001,20,35,0,31,0,240
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2013,7.795,15,81,81,44,1,343
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2013,11.78,11,89,89,59,2,695
1c1cec48-6352-4556-b789-35304c1a6ae1 2013,8.24,19,30,0,25,0,206
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2013,12.452,13,86,86,31,1,386
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2013,6.577000000000001,20,32,0,26,0,171
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2013,7.235,26,32,0,34,0,246
22052ff7-c065-42ee-bc8f-c4691c50e624 2013,6.428999999999999,11,34,0,35,0,225
7b112545-38e6-483c-a55c-96cf6ee49cb8 2013,14.222000000000001,12,81,81,18,1,256
c5a59daa-53a7-4de0-851f-fb12be893e9e 2013,10.315999999999999,29,58,58,38,1,392
a20471b4-a8d9-40c7-95ad-90cc30e46932 2013,11.3,21,93,93,30,1,339
33405046-04ee-4058-a950-d606f8c30852 2013,15.227,28,86,86,22,1,335
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2013,11.167,20,52,0,24,0,268
e6aa13a4-0055-48a9-bc41-be28dc106929 2013,8.333,13,25,0,30,0,250
