Key,Punt Attempts,Punt Avg Hang Time,Punt Avg Net Yards,Punt Avg Yards,Punt Blocked,Punt Hangtime,Punt Inside 20,Punt Longest,Punt Net Yards,Punt Return Yards,Punt Touchbacks,Punt Yards
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2012,80,4.146,37.063,44.275,0,331.7000000000001,25,66,2965,517,3,3542
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2012,76,4.254,40.724000000000004,49.724,0,323.3400000000001,30,67,3095,484,10,3779
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2012,86,4.387,39.44,45.81,2,368.50000000000006,27,61,3313,375,8,3848
97354895-8c77-4fd4-a860-32e62ea7382a 2012,61,4.308,38.516999999999996,43.083,1,258.5,28,62,2311,154,6,2585
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2012,76,4.297,41.974,46.57899999999999,0,326.5499999999999,33,69,3190,210,7,3540
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2012,90,4.26,37.144,41.843999999999994,0,383.4,29,58,3343,343,4,3766
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2012,83,4.325,40.819,47.12,0,359.0,28,60,3388,383,7,3911
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2012,79,4.258,38.128,43.59,1,332.0999999999999,27,79,2974,306,6,3400
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2012,74,4.428999999999999,40.89,48.218999999999994,1,323.3,26,64,2985,375,8,3520
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2012,92,4.441,41.297,47.835,1,404.1,31,73,3758,495,5,4353
82d2d380-3834-4938-835f-aec541e5ece7 2012,88,4.52,40.534,47.159,0,397.8,28,66,3567,483,5,4150
d26a1ca5-722d-4274-8f97-c92e49c96315 2012,83,4.396,41.358000000000004,47.593,2,356.06,30,71,3350,405,5,3855
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2012,67,4.551,42.119,46.343,0,304.9,27,67,2822,203,4,3105
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2012,83,4.457,40.783,46.831,0,369.9,45,71,3385,362,7,3887
1c1cec48-6352-4556-b789-35304c1a6ae1 2012,82,4.216,39.457,47.235,1,341.5,21,68,3196,450,9,3826
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2012,69,4.257,39.705999999999996,44.691,1,289.5,28,64,2700,279,3,3039
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2012,72,4.27,37.38,46.986000000000004,1,303.2000000000001,15,66,2654,542,7,3336
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2012,58,4.196000000000001,39.379,47.534,0,243.37,22,68,2284,353,6,2757
22052ff7-c065-42ee-bc8f-c4691c50e624 2012,70,4.465,38.294000000000004,43.882,2,303.6,22,61,2604,320,3,2984
7b112545-38e6-483c-a55c-96cf6ee49cb8 2012,81,4.265,39.444,41.963,0,345.5,34,64,3195,84,6,3399
c5a59daa-53a7-4de0-851f-fb12be893e9e 2012,76,4.283,36.855,41.434,0,325.5,24,58,2801,328,1,3149
a20471b4-a8d9-40c7-95ad-90cc30e46932 2012,71,4.43,39.486,43.471000000000004,1,310.1,30,65,2764,179,5,3043
33405046-04ee-4058-a950-d606f8c30852 2012,72,4.3260000000000005,39.667,44.958,0,311.44,18,59,2856,341,2,3237
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2012,77,4.343,37.895,45.263000000000005,1,330.1,22,64,2880,440,6,3440
e6aa13a4-0055-48a9-bc41-be28dc106929 2012,62,4.667,42.1,47.45,2,280.0,22,63,2526,241,4,2847
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2012,77,4.3180000000000005,36.961,42.986999999999995,1,328.2,20,63,2809,318,7,3267
0d855753-ea21-4953-89f9-0e20aff9eb73 2012,74,4.46,43.18899999999999,50.095,0,330.0100000000001,20,70,3196,391,6,3707
f0e724b0-4cbf-495a-be47-013907608da9 2012,67,4.439,43.239,48.148999999999994,0,297.4,36,66,2897,249,4,3226
de760528-1dc0-416a-a978-b510d20692ff 2012,112,4.382,41.375,46.50899999999999,0,490.80000000000007,46,70,4634,415,8,5209
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2012,65,4.394,40.785,45.585,0,285.6,30,73,2651,252,3,2963
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2013,96,4.348,36.115,42.958,0,417.4,26,66,3467,477,9,4124
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2013,85,4.118,42.388000000000005,48.824,0,350.00000000000006,33,74,3603,407,7,4150
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2013,89,4.372,38.977,45.659,1,384.7000000000001,24,84,3430,488,5,4018
97354895-8c77-4fd4-a860-32e62ea7382a 2013,77,4.33,39.779,45.753,0,333.39999999999986,29,65,3063,221,12,3523
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2013,75,4.313,39.946999999999996,44.4,0,323.50000000000006,27,75,2996,254,4,3330
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2013,86,4.205,38.071,43.681999999999995,1,357.4,28,59,3236,357,6,3713
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2013,91,4.228,39.321999999999996,45.978,1,380.5,27,69,3539,419,9,4138
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2013,76,4.121,36.16,41.667,1,309.1,17,70,2712,313,5,3125
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2013,77,4.416,38.986999999999995,46.038999999999994,1,335.60000000000014,27,65,2963,396,7,3499
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2013,95,4.425,40.516,45.663000000000004,0,420.4,31,61,3849,330,8,4338
82d2d380-3834-4938-835f-aec541e5ece7 2013,88,4.633,39.989000000000004,47.602,0,407.69999999999993,34,65,3519,530,7,4189
d26a1ca5-722d-4274-8f97-c92e49c96315 2013,79,4.409,40.205,43.41,1,343.9000000000001,32,63,3136,210,2,3386
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2013,66,4.5680000000000005,39.369,44.508,1,296.9,23,60,2559,274,3,2893
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2013,89,4.335,40.318000000000005,45.841,1,381.50000000000006,35,65,3548,246,12,4034
1c1cec48-6352-4556-b789-35304c1a6ae1 2013,86,4.221,41.06,48.893,2,354.6,23,66,3449,438,11,4107
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2013,77,4.586,39.065,45.026,0,353.1,30,62,3008,339,6,3467
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2013,83,4.293,40.951,44.89,1,352.0,33,70,3358,223,5,3681
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2013,91,4.191,38.198,46.934,0,381.4,25,68,3476,655,7,4271
22052ff7-c065-42ee-bc8f-c4691c50e624 2013,85,4.22,34.179,41.976000000000006,1,354.49999999999994,26,63,2871,655,0,3526
7b112545-38e6-483c-a55c-96cf6ee49cb8 2013,69,4.109,38.412,40.632,1,279.40000000000003,27,65,2612,111,2,2763
c5a59daa-53a7-4de0-851f-fb12be893e9e 2013,73,4.413,40.958,47.208,1,317.7000000000001,22,72,2949,250,10,3399
a20471b4-a8d9-40c7-95ad-90cc30e46932 2013,64,4.303,38.953,44.593999999999994,0,275.4,22,62,2493,261,5,2854
33405046-04ee-4058-a950-d606f8c30852 2013,75,4.268,39.173,44.213,0,320.1,23,65,2938,318,3,3316
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2013,87,4.348,38.31,44.207,0,378.30000000000007,19,62,3333,393,6,3846
e6aa13a4-0055-48a9-bc41-be28dc106929 2013,70,4.599,42.278999999999996,46.559,2,312.69999999999993,26,63,2875,251,2,3166
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2013,70,4.479,41.556999999999995,47.771,0,313.5,25,72,2909,335,5,3344
0d855753-ea21-4953-89f9-0e20aff9eb73 2013,61,4.492,42.278999999999996,46.869,0,274.0,25,61,2579,180,5,2859
f0e724b0-4cbf-495a-be47-013907608da9 2013,79,4.47,41.696000000000005,48.152,0,353.09999999999985,27,62,3294,330,9,3804
de760528-1dc0-416a-a978-b510d20692ff 2013,78,4.277,40.064,45.718,0,333.6,35,60,3125,321,6,3566
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2013,76,4.5,40.23,42.68899999999999,2,332.99999999999994,28,69,2977,82,5,3159
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2014,86,4.419,38.674,42.93,0,380.02,31,67,3326,246,6,3692
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2014,59,4.101,39.293,46.345,1,237.84000000000003,21,60,2279,349,3,2688
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2014,79,4.445,40.385,45.897,1,346.71999999999986,23,69,3150,250,9,3580
97354895-8c77-4fd4-a860-32e62ea7382a 2014,67,4.27,40.5,46.364,1,281.81,25,67,2673,267,6,3060
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2014,73,4.306,42.096000000000004,46.836000000000006,0,314.31,27,69,3073,226,6,3419
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2014,93,4.29,39.183,44.29,0,398.96,25,59,3644,295,9,4119
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2014,60,4.22,43.25,47.35,0,253.22000000000003,26,73,2595,166,4,2841
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2014,62,4.332,38.803000000000004,43.738,1,264.26,20,74,2367,221,4,2668
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2014,69,4.545,42.841,46.681000000000004,0,313.6,30,61,2956,205,3,3221
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2014,96,4.479,40.426,47.489,2,421.02,25,69,3800,464,10,4464
82d2d380-3834-4938-835f-aec541e5ece7 2014,84,4.312,39.145,46.349,1,357.88,27,71,3249,398,10,3847
d26a1ca5-722d-4274-8f97-c92e49c96315 2014,89,4.382,41.227,46.795,1,385.62,28,79,3628,350,7,4118
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2014,69,4.449,37.638000000000005,44.174,0,307.0100000000001,25,65,2597,371,4,3048
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2014,71,4.407,40.479,44.563,0,312.87,31,69,2874,190,5,3164
1c1cec48-6352-4556-b789-35304c1a6ae1 2014,109,4.502,39.972,45.229,0,490.71,31,62,4357,513,3,4930
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2014,58,4.497,40.455999999999996,45.368,1,256.35,21,64,2306,240,2,2586
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2014,76,4.29,38.855,43.82899999999999,0,326.04,34,68,2953,238,7,3331
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2014,81,4.122,39.113,45.5,1,329.77,25,71,3129,391,6,3640
22052ff7-c065-42ee-bc8f-c4691c50e624 2014,78,4.579,40.545,47.519,1,352.61000000000007,22,77,3122,397,7,3659
7b112545-38e6-483c-a55c-96cf6ee49cb8 2014,72,4.436,38.196999999999996,43.761,1,314.94,20,61,2712,335,3,3107
c5a59daa-53a7-4de0-851f-fb12be893e9e 2014,68,4.686,40.103,46.147,0,318.67,29,71,2727,311,5,3138
a20471b4-a8d9-40c7-95ad-90cc30e46932 2014,51,4.23,38.531,44.06100000000001,2,207.27,14,63,1888,191,4,2159
33405046-04ee-4058-a950-d606f8c30852 2014,76,4.3469999999999995,39.24,44.24,1,326.06,21,62,2943,255,6,3318
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2014,79,4.381,37.551,40.436,1,341.68,17,56,2929,185,2,3154
e6aa13a4-0055-48a9-bc41-be28dc106929 2014,67,4.755,40.791,45.716,0,318.5900000000001,27,66,2733,250,4,3063
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2014,74,4.473,37.514,44.943999999999996,2,322.09,26,72,2701,435,5,3236
0d855753-ea21-4953-89f9-0e20aff9eb73 2014,58,4.583,42.948,46.379,0,265.84,19,63,2491,99,5,2690
f0e724b0-4cbf-495a-be47-013907608da9 2014,73,4.487,40.181,46.792,1,323.05,28,71,2893,336,7,3369
de760528-1dc0-416a-a978-b510d20692ff 2014,92,4.508,37.9,42.388999999999996,2,405.69,35,67,3411,284,6,3815
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2014,62,4.527,38.902,44.066,1,276.15,28,66,2373,195,6,2688
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2015,82,4.333,41.268,46.305,0,355.311,22,65,3384,353,3,3797
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2015,92,4.167,39.717,47.608999999999995,0,383.32,30,70,3654,526,10,4380
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2015,80,4.398,36.684,43.646,1,347.40900000000005,27,68,2898,470,4,3448
97354895-8c77-4fd4-a860-32e62ea7382a 2015,74,4.309,40.425,46.0,1,314.54600000000005,31,67,2951,347,3,3358
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2015,69,4.396,41.074,45.824,1,298.936,22,67,2793,203,6,3116
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2015,70,4.418,40.129,46.714,0,309.27200000000005,25,67,2809,381,4,3270
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2015,74,4.335,42.946000000000005,46.676,0,320.816,29,67,3178,176,5,3454
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2015,59,4.434,39.085,42.559,0,261.619,28,79,2306,165,2,2511
