Key,Rush Attempts,Rush Avg Yards,Rush Broken Tackles,Rush Kneel Downs,Rush Longest,Rush Longest TD,Rush Red Zone Attempts,Rush Scrambles,Rush Tackles for Loss,Rush Tackles for Loss Yards,Rush Touchdowns,Rush Yards,Rush Yards After Contact
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2012,442,5.016,0,11,62,56,8,0,37,-92,12,2217,1219
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2012,440,4.095,0,20,65,65,4,0,41,-104,15,1802,907
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2012,494,3.838,0,7,61,11,12,0,32,-78,12,1896,1056
97354895-8c77-4fd4-a860-32e62ea7382a 2012,523,4.176,0,17,47,15,3,0,50,-124,25,2184,1175
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2012,430,4.058,0,20,48,11,2,0,24,-49,11,1745,876
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2012,396,4.023,0,7,35,32,10,0,36,-64,12,1593,935
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2012,444,4.282,0,17,78,34,11,0,30,-69,17,1901,1118
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2012,412,3.7310000000000003,0,8,34,31,6,0,42,-100,8,1537,1073
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2012,440,3.798,0,19,26,18,12,0,58,-135,11,1671,1009
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2012,358,3.824,0,5,59,59,2,0,26,-59,5,1369,749
82d2d380-3834-4938-835f-aec541e5ece7 2012,508,4.178999999999999,0,17,81,81,5,0,55,-118,19,2123,1201
d26a1ca5-722d-4274-8f97-c92e49c96315 2012,378,4.463,0,7,94,94,6,0,50,-161,10,1687,736
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2012,481,3.8089999999999997,0,25,31,7,19,0,47,-93,12,1832,984
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2012,500,4.79,0,6,91,91,5,0,54,-139,9,2395,1058
