Key,Season,Team ID,TD Fumble Returns,TD Interception Return,TD Kick Return,TD Other,TD Pass,TD Punt Return,TD Rush,TD Total,TD Total Return
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2012,2012,768c92aa-75ff-4a43-bcc0-f2798c2e1724,0,1,1,0,24,2,12,40,4
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2012,2012,4809ecb0-abd3-451d-9c4a-92a90b83ca06,0,0,1,1,13,1,15,31,2
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2012,2012,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,1,2,1,0,14,1,12,31,5
97354895-8c77-4fd4-a860-32e62ea7382a 2012,2012,97354895-8c77-4fd4-a860-32e62ea7382a,4,2,1,0,34,1,25,67,8
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2012,2012,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,1,2,0,0,28,1,11,43,4
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2012,2012,d5a2eb42-8065-4174-ab79-0a6fa820e35e,0,2,0,0,16,1,12,31,3
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2012,2012,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,0,2,2,0,22,1,17,44,5
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2012,2012,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0,1,0,0,27,0,8,36,1
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2012,2012,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,0,4,1,0,23,1,11,40,6
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2012,2012,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,0,0,0,1,20,0,5,26,0
82d2d380-3834-4938-835f-aec541e5ece7 2012,2012,82d2d380-3834-4938-835f-aec541e5ece7,0,3,0,2,22,0,19,46,3
d26a1ca5-722d-4274-8f97-c92e49c96315 2012,2012,d26a1ca5-722d-4274-8f97-c92e49c96315,1,4,1,0,17,3,10,36,9
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2012,2012,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,1,5,1,0,37,1,12,57,8
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2012,2012,6680d28d-d4d2-49f6-aace-5292d3ec02c2,1,0,0,0,8,0,9,18,1
1c1cec48-6352-4556-b789-35304c1a6ae1 2012,2012,1c1cec48-6352-4556-b789-35304c1a6ae1,0,0,0,0,24,0,4,28,0
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2012,2012,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,2,1,0,0,29,1,8,41,4
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2012,2012,386bdbf9-9eea-4869-bb9a-274b0bc66e80,0,0,0,0,18,1,10,29,1
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2012,2012,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,1,1,1,0,26,0,18,47,3
22052ff7-c065-42ee-bc8f-c4691c50e624 2012,2012,22052ff7-c065-42ee-bc8f-c4691c50e624,3,3,0,0,24,0,22,52,6
7b112545-38e6-483c-a55c-96cf6ee49cb8 2012,2012,7b112545-38e6-483c-a55c-96cf6ee49cb8,1,8,0,1,21,0,11,42,9
c5a59daa-53a7-4de0-851f-fb12be893e9e 2012,2012,c5a59daa-53a7-4de0-851f-fb12be893e9e,0,0,0,0,22,0,17,39,0
a20471b4-a8d9-40c7-95ad-90cc30e46932 2012,2012,a20471b4-a8d9-40c7-95ad-90cc30e46932,1,1,0,1,40,1,9,53,3
33405046-04ee-4058-a950-d606f8c30852 2012,2012,33405046-04ee-4058-a950-d606f8c30852,0,3,1,0,18,1,16,39,5
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2012,2012,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,0,3,0,1,27,0,13,44,3
e6aa13a4-0055-48a9-bc41-be28dc106929 2012,2012,e6aa13a4-0055-48a9-bc41-be28dc106929,1,1,0,0,32,0,12,46,2
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2012,2012,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,1,3,0,0,19,0,21,44,4
0d855753-ea21-4953-89f9-0e20aff9eb73 2012,2012,0d855753-ea21-4953-89f9-0e20aff9eb73,0,4,0,1,43,0,10,58,4
f0e724b0-4cbf-495a-be47-013907608da9 2012,2012,f0e724b0-4cbf-495a-be47-013907608da9,2,2,0,0,23,0,17,44,4
de760528-1dc0-416a-a978-b510d20692ff 2012,2012,de760528-1dc0-416a-a978-b510d20692ff,1,2,0,1,11,0,10,25,3
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2012,2012,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,1,2,1,2,27,0,16,49,4
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2013,2013,768c92aa-75ff-4a43-bcc0-f2798c2e1724,1,2,0,0,16,0,15,34,3
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2013,2013,4809ecb0-abd3-451d-9c4a-92a90b83ca06,0,2,0,0,24,0,8,34,2
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2013,2013,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,0,1,0,1,13,0,12,27,1
97354895-8c77-4fd4-a860-32e62ea7382a 2013,2013,97354895-8c77-4fd4-a860-32e62ea7382a,1,2,0,0,25,0,19,47,3
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2013,2013,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,2,4,0,1,33,0,14,54,6
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2013,2013,d5a2eb42-8065-4174-ab79-0a6fa820e35e,1,3,0,0,26,1,4,35,5
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2013,2013,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,0,1,1,0,19,1,7,29,3
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2013,2013,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0,3,0,0,28,1,9,41,4
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2013,2013,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,0,1,0,1,23,0,15,40,1
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2013,2013,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,1,1,0,0,16,0,7,25,2
82d2d380-3834-4938-835f-aec541e5ece7 2013,2013,82d2d380-3834-4938-835f-aec541e5ece7,0,1,0,0,19,1,7,28,2
d26a1ca5-722d-4274-8f97-c92e49c96315 2013,2013,d26a1ca5-722d-4274-8f97-c92e49c96315,2,1,0,0,22,0,16,41,3
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2013,2013,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,1,1,1,1,55,1,16,76,4
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2013,2013,6680d28d-d4d2-49f6-aace-5292d3ec02c2,2,5,2,0,24,2,17,52,11
1c1cec48-6352-4556-b789-35304c1a6ae1 2013,2013,1c1cec48-6352-4556-b789-35304c1a6ae1,2,1,0,1,17,0,16,37,3
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2013,2013,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,3,2,0,0,33,1,12,51,6
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2013,2013,386bdbf9-9eea-4869-bb9a-274b0bc66e80,1,1,0,0,32,0,19,53,2
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2013,2013,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,0,2,0,1,18,0,11,32,2
22052ff7-c065-42ee-bc8f-c4691c50e624 2013,2013,22052ff7-c065-42ee-bc8f-c4691c50e624,1,4,0,0,20,0,14,39,5
7b112545-38e6-483c-a55c-96cf6ee49cb8 2013,2013,7b112545-38e6-483c-a55c-96cf6ee49cb8,1,5,0,0,32,1,13,52,7
c5a59daa-53a7-4de0-851f-fb12be893e9e 2013,2013,c5a59daa-53a7-4de0-851f-fb12be893e9e,1,1,1,0,29,1,15,48,4
a20471b4-a8d9-40c7-95ad-90cc30e46932 2013,2013,a20471b4-a8d9-40c7-95ad-90cc30e46932,3,0,0,0,25,1,17,46,4
33405046-04ee-4058-a950-d606f8c30852 2013,2013,33405046-04ee-4058-a950-d606f8c30852,1,0,2,0,18,1,23,45,4
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2013,2013,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,0,3,0,0,22,0,6,31,3
e6aa13a4-0055-48a9-bc41-be28dc106929 2013,2013,e6aa13a4-0055-48a9-bc41-be28dc106929,1,2,0,0,26,0,11,40,3
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2013,2013,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,0,4,0,0,24,0,14,42,4
0d855753-ea21-4953-89f9-0e20aff9eb73 2013,2013,0d855753-ea21-4953-89f9-0e20aff9eb73,0,0,0,0,39,0,10,49,0
f0e724b0-4cbf-495a-be47-013907608da9 2013,2013,f0e724b0-4cbf-495a-be47-013907608da9,3,2,0,0,21,0,18,44,5
de760528-1dc0-416a-a978-b510d20692ff 2013,2013,de760528-1dc0-416a-a978-b510d20692ff,1,4,0,0,24,0,12,41,5
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2013,2013,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,1,3,0,0,27,0,14,45,4
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2014,2014,768c92aa-75ff-4a43-bcc0-f2798c2e1724,1,0,1,1,23,1,7,34,3
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2014,2014,4809ecb0-abd3-451d-9c4a-92a90b83ca06,1,2,0,0,27,0,12,42,3
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2014,2014,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,0,0,0,0,16,0,11,27,0
97354895-8c77-4fd4-a860-32e62ea7382a 2014,2014,97354895-8c77-4fd4-a860-32e62ea7382a,2,0,0,2,34,1,13,52,3
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2014,2014,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,0,1,0,0,20,0,19,40,1
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2014,2014,d5a2eb42-8065-4174-ab79-0a6fa820e35e,1,2,0,0,12,0,17,32,3
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2014,2014,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,0,1,1,1,27,0,16,46,2
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2014,2014,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,1,4,0,0,33,1,10,49,6
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2014,2014,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,1,1,0,0,42,0,9,53,2
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2014,2014,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,2,1,0,0,15,0,9,27,3
