Key,Season,Team ID,TD Fumble Returns,TD Interception Return,TD Kick Return,TD Other,TD Pass,TD Punt Return,TD Rush,TD Total,TD Total Return,Rush Attempts,Rush Avg Yards,Rush Broken Tackles,Rush Kneel Downs,Rush Longest,Rush Longest TD,Rush Red Zone Attempts,Rush Scrambles,Rush Tackles for Loss,Rush Tackles for Loss Yards,Rush Touchdowns,Rush Yards,Rush Yards After Contact,Rec Air Yards,Rec Avg Yards,Rec Broken Tackles,Rec Catchable Passes,Rec Dropped Passes,Rec Longest,Rec Longest TD,Rec Receptions,Rec Red Zone Targets,Rec Targets,Rec Touchdowns,Rec Yards,Rec Yards After Catch,Rec Yards After Contact,Punt Attempts,Punt Avg Hang Time,Punt Avg Net Yards,Punt Avg Yards,Punt Blocked,Punt Hangtime,Punt Inside 20,Punt Longest,Punt Net Yards,Punt Return Yards,Punt Touchbacks,Punt Yards,Punt Returns Avg Yards,Punt Returns Fair Catches,Punt Returns Longest,Punt Returns Longest TD,Punt Returns Returns,Punt Returns Touchdowns,Punt Returns Yards,Penalties,Penalty Yards,Pass Air Yds,Pass Attempts,Pass Avg Pocket Time,Pass Poor Throws,Passing Avg Yards,Passing Blitzes,Passing Completion Pct,Passing Completions,Passing Defended Passes,Passing Dropped Passes,Passing Gross Yards,Passing Hurries,Passing Interceptions,Passing Knockdowns,Passing Longest,Passing Longest TD,Passing Net Yds,Passing Pocket Time,Passing Rating,Passing Redzone Attempts,Passing Sack Yds,Passing Sacks,Passing Spikes,Passing Throw Away,Passing Touchdowns,Passing Yards,Kick Return Yards,Kick Return Avg Yards,Kick Return Fair Catches,Kick Return Longest,Kick Return Returns,Kick Return Touchdowns,Kick Off End Zone,Kick Off Inside 20,Kick Off Kick Offs,Kick Off Onside Attempts,Kick Off Onside Successes,Kick Off OOB,Kick Off Ret Yds,Kick Off Squib Kicks,Kick Off Touchbacks,Kick Off Yds,Interceptions,Interception Return Yards,Interceptions Returned,Int Ret Avg Yds,Int Ret Longest,Int Ret Longest TD,Int Ret Returns,Int Ret Touchdowns,Int Ret Yds,Games Played,Fumble End Zone Touch Downs,Forced Fumbles,Fumbles,Lost Fumbles,Fumbles Opponent Recovery,Fumbles Opponent Recovery Touchdowns,Fumbles Opponent Recovery Yards,Fumbles Out of Bounds,Fumbles Own Recovery,Fumbles Own Recovery Touchdowns,Fumbles Own Recovery Yards,FD Pass,FD Penalty,FD Rush,FD Total,Field Goal Attempts,Field Goal Avg Yards,Field Goal Blocked,Field Goal Longest,Field Goal Made,Field Goal Yards,Extra Pts Attempts,Extra Pts Blocked,Extra Pts Made,3D Attempt,3D Successes,3D Pct,4D Attempt,4D Successes,4D Pct,Goal to Go Attempts,Goal to Go Successes,Goal to Go Pct,RedZone Attempts,RedZone Successes,RedZone Pct,Def Assisted Tackles,Def Blitzes,Def Combined Tackles,Def Defensive Completions,Def Defensive Targets,Def Forced Fumbles,Def Fumble Recoveries,Def Hurries,Def Interceptions,Def Knockdowns,Def Misc Assists,Def Misc Forced Fumbles,Def Misc Fumble Recoveries,Def Misc Tackles,Def Missed Tackles,Def Passes Defended,Def QB Hits,Def Sack Yards,Def Sacks,Def Safeties,Def Special Team Assists,Def Special Team Bocks,Def Special Team Forced Fumbles,Def Special Team Fumble Recoveries,Def Special Team Tackles,Def Tackles,Def Tackles for Loss,Def Tackles for Loss Yards,Converse Defense Attempts,Converse Defense Success,Converse Pass Attempts,Converse Pass Success,Converse Rush Attempts,Converse Rush Success,Converse Turnover Success
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2012,2012,768c92aa-75ff-4a43-bcc0-f2798c2e1724,0,1,1,0,24,2,12,40,4,442,5.016,0,11,62,56,8,0,37,-92,12,2217,1219,1625,11.1,0,0,37,68,68,309,5,509,24,3430,1805,0,80,4.146,37.063,44.275,0,331.7000000000001,25,66,2965,517,3,3542,17.115,21,88,88,26,2,445,104,871,1625,511,0,0,6.712000000000001,167,60.47,309,0,37,3430,0,17,0,68,68,3269,0.0,82,5,161,30,0,0,24,3269,1136,27.048000000000002,0,89,42,1,20,12,73,2,0,0,1144,0,20,4493,12,178,12,14.833,45,20,12,1,178,16,0,21,23,17,9,0,8,0,6,0,-15,176,22,103,301,24,30.583000000000002,0,50,21,734,39,0,39,198,77,38.889,8,5,62.5,20,14,70.0,48,24,50.0,271,0,936,301,473,18,8,156,12,40,2,1,7,27,69,79,66,196.0,36.0,1,15,5,2,0,77,665,72.0,0.0,0,0,1,0,0,0,0
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2012,2012,4809ecb0-abd3-451d-9c4a-92a90b83ca06,0,0,1,1,13,1,15,31,2,440,4.095,0,20,65,65,4,0,41,-104,15,1802,907,2154,11.689,0,0,37,80,80,293,5,500,13,3425,1271,0,76,4.254,40.724000000000004,49.724,0,323.3400000000001,30,67,3095,484,10,3779,11.161,25,72,72,31,1,346,82,724,2154,504,0,0,6.796,192,58.135,293,0,37,3425,0,13,0,80,80,3182,0.0,76,5,243,37,0,0,13,3182,1082,27.05,0,96,40,1,27,17,71,2,1,0,868,0,34,4545,10,99,10,9.9,31,0,10,0,99,16,0,15,25,13,6,0,21,3,9,0,-8,158,37,93,288,30,30.069000000000003,1,53,23,872,29,0,29,207,78,37.681,15,5,33.333,19,15,78.947,38,21,55.263000000000005,209,0,897,346,559,11,5,138,10,69,0,0,8,20,92,66,96,242.0,42.0,0,19,3,4,2,67,688,78.0,0.0,0,0,2,2,0,0,0
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2012,2012,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,1,2,1,0,14,1,12,31,5,494,3.838,0,7,61,11,12,0,32,-78,12,1896,1056,2054,11.684000000000001,0,0,33,66,33,272,4,488,14,3178,1124,0,86,4.387,39.44,45.81,2,368.50000000000006,27,61,3313,375,8,3848,10.347999999999999,38,68,68,23,1,238,83,708,2054,493,0,0,6.446000000000001,213,55.172,272,0,33,3178,0,19,0,66,33,2891,0.0,68,4,287,47,0,0,14,2891,1308,26.16,0,100,50,1,30,26,69,2,0,1,1184,0,12,4298,11,117,11,10.636,40,40,11,2,117,16,0,14,32,18,12,1,82,1,13,0,-14,162,35,102,299,27,31.083000000000002,3,54,21,746,30,0,30,217,80,36.866,14,7,50.0,22,14,63.636,47,23,48.93600000000001,260,0,866,262,441,13,11,116,11,42,2,0,10,23,81,58,67,170.0,30.0,1,16,1,1,4,73,606,67.0,0.0,0,0,1,0,0,0,0
97354895-8c77-4fd4-a860-32e62ea7382a 2012,2012,97354895-8c77-4fd4-a860-32e62ea7382a,4,2,1,0,34,1,25,67,8,523,4.176,0,17,47,15,3,0,50,-124,25,2184,1175,2607,12.05,0,0,48,83,83,402,3,634,34,4844,2237,0,61,4.308,38.516999999999996,43.083,1,258.5,28,62,2311,154,6,2585,12.048,8,68,68,42,1,506,97,840,2607,641,0,0,7.557,177,62.715,402,0,48,4844,0,9,0,83,83,4662,0.0,97,3,182,27,0,0,34,4662,807,21.237,0,104,38,1,35,20,112,1,0,0,1229,0,52,7121,20,371,20,18.55,87,87,20,2,371,16,0,30,14,7,21,3,82,3,4,1,-3,256,37,151,444,35,29.714000000000002,0,53,29,1040,66,0,66,226,110,48.673,12,8,66.667,49,39,79.592,70,49,70.0,295,0,904,368,569,28,20,141,20,47,0,0,4,12,78,78,71,213.0,37.0,1,23,0,2,1,67,609,72.0,43.0,0,0,1,0,0,0,0
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2012,2012,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,1,2,0,0,28,1,11,43,4,430,4.058,0,20,48,11,2,0,24,-49,11,1745,876,2112,11.364,0,0,28,73,73,335,10,529,28,3807,1695,0,76,4.297,41.974,46.57899999999999,0,326.5499999999999,33,69,3190,210,7,3540,10.383,11,81,81,47,1,488,99,857,2112,540,0,0,7.05,196,62.037,335,0,28,3807,0,16,0,73,73,3578,0.0,88,10,229,46,0,0,28,3578,928,22.634,0,0,41,0,42,23,88,1,0,0,1468,0,27,5727,14,164,14,11.714,44,17,14,2,164,16,0,16,19,10,16,1,53,1,8,0,-11,173,24,95,292,35,30.285999999999998,0,55,30,1060,43,0,43,217,74,34.101,16,11,68.75,28,19,67.857,57,31,54.386,361,0,973,342,512,16,13,164,14,59,0,0,6,17,88,74,93,351.0,51.0,0,28,1,0,5,69,612,85.0,0.0,0,0,0,0,0,0,0
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2012,2012,d5a2eb42-8065-4174-ab79-0a6fa820e35e,0,2,0,0,16,1,12,31,3,396,4.023,0,7,35,32,10,0,36,-64,12,1593,935,1768,11.183,0,0,39,71,71,328,7,562,16,3668,1900,0,90,4.26,37.144,41.843999999999994,0,383.4,29,58,3343,343,4,3766,14.78,9,93,93,41,1,606,113,1005,1808,566,0,0,6.481,202,57.951,328,0,39,3668,0,18,0,71,71,3435,0.0,73,7,233,36,0,0,16,3435,1269,25.38,0,0,50,0,25,21,77,2,0,1,853,0,30,4820,17,230,17,13.529000000000002,50,27,17,2,230,16,0,16,22,8,12,0,39,1,13,0,-21,185,23,71,279,31,36.2,1,53,29,1086,29,0,29,218,67,30.734,16,7,43.75,21,15,71.429,39,17,43.59,292,0,978,377,564,16,13,124,17,39,0,0,11,17,88,81,68,231.0,38.0,0,29,0,0,1,67,686,59.0,0.0,0,0,0,0,2,0,0
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2012,2012,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,0,2,2,0,22,1,17,44,5,444,4.282,0,17,78,34,11,0,30,-69,17,1901,1118,2372,11.964,0,0,25,61,61,334,4,556,22,3996,1624,0,83,4.325,40.819,47.12,0,359.0,28,60,3388,383,7,3911,9.395,26,63,63,43,1,404,121,1127,2372,560,0,0,7.136,191,59.643,334,0,25,3996,0,11,0,61,61,3739,0.0,86,4,257,38,0,0,22,3739,1636,27.267,0,108,60,2,30,16,89,3,0,0,859,0,49,5671,13,196,13,15.077,63,63,13,2,196,16,0,10,14,5,12,0,45,1,8,0,2,182,34,98,314,33,35.211999999999996,0,56,30,1162,42,0,42,217,80,36.866,14,6,42.857,24,18,75.0,49,28,57.143,292,0,1021,331,504,6,10,136,13,71,0,0,5,11,95,86,87,250.0,37.0,0,13,0,4,5,83,729,80.0,0.0,0,0,1,1,1,0,0
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2012,2012,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0,1,0,0,27,0,8,36,1,412,3.7310000000000003,0,8,34,31,6,0,42,-100,8,1537,1073,2169,11.333,0,0,30,82,82,354,9,563,27,4012,1843,0,79,4.258,38.128,43.59,1,332.0999999999999,27,79,2974,306,6,3400,7.317,19,63,0,41,0,300,92,938,2166,574,0,0,6.99,171,61.672,354,0,30,4012,0,14,0,82,82,3787,0.0,88,9,225,37,0,0,27,3787,1086,25.256,1,0,43,0,27,8,75,0,0,0,1103,0,29,4746,10,127,10,12.7,53,53,10,1,127,16,0,15,33,16,10,0,25,4,13,0,-14,202,25,80,307,31,32.71,0,52,28,1014,34,0,34,224,94,41.964,13,6,46.153999999999996,24,20,83.333,49,27,55.102,257,0,864,299,496,15,9,95,10,51,0,0,11,20,82,80,76,196.0,37.0,0,26,1,0,3,60,607,65.0,0.0,0,0,2,1,0,0,0
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2012,2012,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,0,4,1,0,23,1,11,40,6,440,3.798,0,19,26,18,12,0,58,-135,11,1671,1009,2718,12.902999999999999,0,0,50,70,70,339,9,618,23,4374,1656,0,74,4.428999999999999,40.89,48.218999999999994,1,323.3,26,64,2985,375,8,3520,11.142999999999999,20,75,75,28,1,312,94,801,2718,628,0,0,6.5729999999999995,220,53.981,339,0,50,4374,0,18,0,70,70,0,0.0,76,9,246,41,0,0,23,4128,957,22.256,0,101,43,1,30,13,79,0,0,0,841,0,45,5213,12,155,12,12.917,51,32,12,4,155,16,0,6,21,9,3,0,4,2,10,0,-3,208,42,110,360,33,31.0,2,53,26,961,37,0,37,229,98,42.795,8,7,87.5,25,20,80.0,48,26,54.167,256,0,867,326,493,6,3,104,12,43,0,0,9,19,90,65,68,189.0,32.0,0,16,0,0,1,58,611,65.0,36.0,0,0,1,0,1,1,0
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2012,2012,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,0,0,0,1,20,0,5,26,0,358,3.824,0,5,59,59,2,0,26,-59,5,1369,749,2202,11.421,0,0,50,81,81,328,5,580,20,3746,1544,0,92,4.441,41.297,47.835,1,404.1,31,73,3758,495,5,4353,7.294,13,28,0,34,0,248,101,955,2202,586,0,0,6.392,215,55.973,328,0,50,3746,0,17,0,81,81,3419,0.0,74,5,327,50,0,0,20,3419,1114,21.019000000000002,0,0,53,0,26,12,69,3,1,2,1009,0,26,4356,12,122,12,10.167,21,0,12,0,122,16,0,12,20,9,11,0,0,2,9,0,-2,157,36,76,269,28,32.393,0,50,25,907,19,1,18,216,64,29.63,26,8,30.769000000000002,18,12,66.667,36,16,44.443999999999996,188,0,945,337,504,12,9,94,12,53,0,0,8,17,89,59,62,128.0,20.0,0,14,1,0,3,66,757,52.0,0.0,0,0,5,2,2,1,0
